,Mean,data,for,UKR,Province=,2:,"Chernihiv,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
107,1983,38.0,"0.287,289.00,","36.15,","39.65,",37.9,,,,,,,,,,,,,,,,
108,1983,39.0,"0.257,286.37,","30.62,","50.84,",40.73,,,,,,,,,,,,,,,,
109,1983,40.0,"0.231,284.18,","27.38,","53.52,",40.45,,,,,,,,,,,,,,,,
110,1983,41.0,"0.204,281.76,","23.92,","57.49,",40.71,,,,,,,,,,,,,,,,
111,1983,42.0,"0.180,279.35,","23.42,","59.88,",41.65,,,,,,,,,,,,,,,,
112,1983,43.0,"0.154,276.92,","23.90,","57.11,",40.51,,,,,,,,,,,,,,,,
113,1983,44.0,"0.133,273.88,","25.92,","55.60,",40.76,,,,,,,,,,,,,,,,
114,1983,45.0,"0.110,270.10,","24.49,","60.19,",42.34,,,,,,,,,,,,,,,,
115,1983,46.0,"0.089,265.79,","20.40,","65.90,",43.15,,,,,,,,,,,,,,,,
116,1983,47.0,"0.074,263.22,","18.01,","63.06,",40.53,,,,,,,,,,,,,,,,
117,1983,48.0,"0.067,261.58,","19.71,","59.25,",39.48,,,,,,,,,,,,,,,,
118,1983,49.0,"0.063,260.65,","21.57,","55.37,",38.47,,,,,,,,,,,,,,,,
119,1983,50.0,"0.061,260.10,","25.73,","52.58,",39.15,,,,,,,,,,,,,,,,
120,1983,51.0,"0.058,259.36,","27.05,","51.77,",39.41,,,,,,,,,,,,,,,,
121,1983,52.0,"0.056,258.52,","28.84,","52.33,",40.58,,,,,,,,,,,,,,,,
122,1984,1.0,"0.057,258.63,","36.12,","47.39,",41.76,,,,,,,,,,,,,,,,
123,1984,2.0,"0.058,259.20,","36.75,","44.99,",40.87,,,,,,,,,,,,,,,,
124,1984,3.0,"0.060,260.38,","37.81,","42.28,",40.04,,,,,,,,,,,,,,,,
125,1984,4.0,"0.063,262.08,","41.94,","38.68,",40.31,,,,,,,,,,,,,,,,
126,1984,5.0,"0.067,263.21,","46.53,","39.27,",42.9,,,,,,,,,,,,,,,,
127,1984,6.0,"0.068,263.97,","44.94,","42.41,",43.68,,,,,,,,,,,,,,,,
128,1984,7.0,"0.070,264.65,","40.81,","46.86,",43.83,,,,,,,,,,,,,,,,
129,1984,8.0,"0.071,265.64,","36.27,","50.10,",43.19,,,,,,,,,,,,,,,,
130,1984,9.0,"0.072,266.86,","32.25,","51.65,",41.95,,,,,,,,,,,,,,,,
131,1984,10.0,"0.076,268.95,","29.95,","50.18,",40.07,,,,,,,,,,,,,,,,
132,1984,11.0,"0.081,271.68,","27.95,","45.00,",36.48,,,,,,,,,,,,,,,,
133,1984,12.0,"0.091,274.77,","27.04,","41.85,",34.44,,,,,,,,,,,,,,,,
134,1984,13.0,"0.103,278.54,","26.49,","35.90,",31.19,,,,,,,,,,,,,,,,
135,1984,14.0,"0.118,282.20,","24.73,","29.43,",27.08,,,,,,,,,,,,,,,,
136,1984,15.0,"0.137,284.93,","20.83,","28.74,",24.78,,,,,,,,,,,,,,,,
137,1984,16.0,"0.160,286.98,","18.09,","33.51,",25.8,,,,,,,,,,,,,,,,
138,1984,17.0,"0.189,288.94,","16.65,","39.26,",27.96,,,,,,,,,,,,,,,,
139,1984,18.0,"0.225,290.44,","17.23,","44.77,",31.0,,,,,,,,,,,,,,,,
140,1984,19.0,"0.268,291.58,","18.17,","49.10,",33.64,,,,,,,,,,,,,,,,
141,1984,20.0,"0.308,292.35,","19.21,","54.49,",36.85,,,,,,,,,,,,,,,,
142,1984,21.0,"0.344,292.64,","21.48,","60.73,",41.11,,,,,,,,,,,,,,,,
143,1984,22.0,"0.370,292.53,","21.91,","65.87,",43.89,,,,,,,,,,,,,,,,
144,1984,23.0,"0.390,292.12,","22.39,","74.89,",48.64,,,,,,,,,,,,,,,,
145,1984,24.0,"0.404,291.85,","24.43,","83.13,",53.78,,,,,,,,,,,,,,,,
146,1984,25.0,"0.415,291.92,","29.11,","88.37,",58.74,,,,,,,,,,,,,,,,
147,1984,26.0,"0.420,291.90,","31.91,","90.84,",61.38,,,,,,,,,,,,,,,,
148,1984,27.0,"0.421,292.00,","33.89,","90.91,",62.4,,,,,,,,,,,,,,,,
149,1984,28.0,"0.419,292.20,","36.13,","90.96,",63.55,,,,,,,,,,,,,,,,
150,1984,29.0,"0.415,292.52,","38.94,","90.54,",64.74,,,,,,,,,,,,,,,,
151,1984,30.0,"0.408,292.56,","40.96,","91.42,",66.19,,,,,,,,,,,,,,,,
152,1984,31.0,"0.394,292.28,","37.29,","93.30,",65.29,,,,,,,,,,,,,,,,
153,1984,32.0,"0.386,292.18,","36.67,","92.06,",64.36,,,,,,,,,,,,,,,,
154,1984,33.0,"0.376,291.76,","35.87,","89.74,",62.81,,,,,,,,,,,,,,,,
155,1984,34.0,"0.361,291.18,","34.22,","84.89,",59.56,,,,,,,,,,,,,,,,
156,1984,35.0,"0.337,289.94,","29.83,","84.23,",57.03,,,,,,,,,,,,,,,,
157,1984,36.0,"0.312,288.69,","27.10,","79.91,",53.51,,,,,,,,,,,,,,,,
158,1984,37.0,"0.295,288.04,","30.03,","69.69,",49.86,,,,,,,,,,,,,,,,
159,1984,38.0,"0.278,287.16,","31.79,","62.82,",47.3,,,,,,,,,,,,,,,,
160,1984,39.0,"0.253,285.72,","29.31,","59.51,",44.41,,,,,,,,,,,,,,,,
161,1984,40.0,"0.233,284.15,","29.13,","54.09,",41.61,,,,,,,,,,,,,,,,
162,1984,41.0,"0.217,282.99,","32.12,","41.43,",36.78,,,,,,,,,,,,,,,,
163,1984,42.0,"0.201,281.79,","37.22,","30.27,",33.75,,,,,,,,,,,,,,,,
164,1984,43.0,"0.184,280.19,","42.74,","23.42,",33.08,,,,,,,,,,,,,,,,
165,1984,44.0,"0.159,278.29,","43.29,","16.81,",30.05,,,,,,,,,,,,,,,,
166,1984,45.0,"0.141,276.98,","46.57,","10.04,",28.31,,,,,,,,,,,,,,,,
167,1984,46.0,"0.113,274.83,","37.67,","10.29,",23.98,,,,,,,,,,,,,,,,
168,1984,47.0,"0.094,273.10,","31.83,","10.47,",21.15,,,,,,,,,,,,,,,,
169,1984,48.0,"0.084,272.28,","29.79,","10.19,",19.99,,,,,,,,,,,,,,,,
170,1984,49.0,"0.079,271.67,","30.95,","9.53,",20.24,,,,,,,,,,,,,,,,
171,1985,9.0,"0.052,264.57,","16.68,","60.21,",38.44,,,,,,,,,,,,,,,,
172,1985,10.0,"0.049,264.45,","13.48,","67.22,",40.35,,,,,,,,,,,,,,,,
173,1985,11.0,"0.053,267.37,","12.19,","62.53,",37.36,,,,,,,,,,,,,,,,
174,1985,12.0,"0.064,270.82,","13.00,","58.29,",35.65,,,,,,,,,,,,,,,,
175,1985,13.0,"0.084,275.10,","16.73,","52.17,",34.45,,,,,,,,,,,,,,,,
176,1985,14.0,"0.116,279.34,","23.25,","45.72,",34.49,,,,,,,,,,,,,,,,
177,1985,15.0,"0.152,282.81,","28.73,","43.91,",36.32,,,,,,,,,,,,,,,,
178,1985,16.0,"0.192,285.89,","34.11,","43.04,",38.58,,,,,,,,,,,,,,,,
179,1985,17.0,"0.237,288.80,","40.44,","41.09,",40.77,,,,,,,,,,,,,,,,
180,1985,18.0,"0.283,291.26,","45.31,","36.63,",40.97,,,,,,,,,,,,,,,,
181,1985,19.0,"0.327,292.94,","48.68,","35.04,",41.86,,,,,,,,,,,,,,,,
182,1985,20.0,"0.363,293.96,","48.78,","37.48,",43.13,,,,,,,,,,,,,,,,
183,1985,21.0,"0.393,294.42,","49.54,","42.05,",45.8,,,,,,,,,,,,,,,,
184,1985,22.0,"0.417,294.64,","50.50,","44.30,",47.4,,,,,,,,,,,,,,,,
185,1985,23.0,"0.428,294.26,","46.13,","52.80,",49.47,,,,,,,,,,,,,,,,
186,1985,24.0,"0.429,293.72,","40.31,","63.24,",51.78,,,,,,,,,,,,,,,,
187,1985,25.0,"0.432,293.69,","39.39,","68.66,",54.02,,,,,,,,,,,,,,,,
188,1985,26.0,"0.431,293.65,","38.66,","71.53,",55.1,,,,,,,,,,,,,,,,
189,1985,27.0,"0.429,293.61,","38.18,","74.01,",56.09,,,,,,,,,,,,,,,,
190,1985,28.0,"0.421,293.49,","37.27,","77.82,",57.54,,,,,,,,,,,,,,,,
191,1985,29.0,"0.418,293.81,","41.03,","77.82,",59.42,,,,,,,,,,,,,,,,
192,1985,30.0,"0.417,294.32,","46.33,","74.69,",60.51,,,,,,,,,,,,,,,,
193,1985,31.0,"0.416,294.93,","49.82,","67.97,",58.9,,,,,,,,,,,,,,,,
194,1985,32.0,"0.409,295.14,","50.39,","62.27,",56.33,,,,,,,,,,,,,,,,
195,1985,33.0,"0.397,295.21,","48.49,","52.78,",50.64,,,,,,,,,,,,,,,,
196,1985,34.0,"0.382,295.03,","45.97,","39.69,",42.83,,,,,,,,,,,,,,,,
197,1985,35.0,"0.363,293.87,","43.30,","36.54,",39.92,,,,,,,,,,,,,,,,
198,1985,36.0,"0.340,292.20,","41.07,","38.91,",39.99,,,,,,,,,,,,,,,,
199,1985,37.0,"0.310,290.36,","37.66,","42.41,",40.03,,,,,,,,,,,,,,,,
200,1985,38.0,"0.280,288.49,","32.36,","46.03,",39.2,,,,,,,,,,,,,,,,
201,1985,39.0,"0.247,286.25,","25.36,","52.09,",38.72,,,,,,,,,,,,,,,,
202,1985,40.0,"0.213,283.46,","17.61,","62.57,",40.09,,,,,,,,,,,,,,,,
203,1985,41.0,"0.191,280.95,","16.84,","67.80,",42.32,,,,,,,,,,,,,,,,
204,1985,42.0,"0.172,278.91,","19.73,","65.45,",42.59,,,,,,,,,,,,,,,,
205,1985,43.0,"0.157,277.12,","26.30,","55.52,",40.91,,,,,,,,,,,,,,,,
206,1985,44.0,"0.142,275.07,","32.76,","45.52,",39.14,,,,,,,,,,,,,,,,
207,1985,45.0,"0.120,272.35,","32.26,","44.24,",38.25,,,,,,,,,,,,,,,,
208,1985,46.0,"0.091,269.78,","22.45,","41.28,",31.86,,,,,,,,,,,,,,,,
209,1985,47.0,"0.069,267.29,","14.04,","40.82,",27.43,,,,,,,,,,,,,,,,
210,1985,48.0,"0.054,263.69,","8.71,","49.06,",28.88,,,,,,,,,,,,,,,,
211,1985,49.0,"0.048,260.43,","8.22,","55.97,",32.1,,,,,,,,,,,,,,,,
212,1985,50.0,"0.042,257.85,","5.79,","61.64,",33.72,,,,,,,,,,,,,,,,
213,1985,51.0,"0.037,255.89,","3.96,","66.18,",35.07,,,,,,,,,,,,,,,,
214,1985,52.0,"0.035,254.38,","3.46,","69.76,",36.61,,,,,,,,,,,,,,,,
215,1986,1.0,"0.031,253.19,","2.02,","71.56,",36.79,,,,,,,,,,,,,,,,
216,1986,2.0,"0.031,252.68,","3.23,","74.73,",38.98,,,,,,,,,,,,,,,,
217,1986,3.0,"0.030,254.02,","4.75,","71.57,",38.16,,,,,,,,,,,,,,,,
218,1986,4.0,"0.029,255.84,","6.06,","66.48,",36.27,,,,,,,,,,,,,,,,
219,1986,5.0,"0.029,257.49,","8.81,","63.64,",36.22,,,,,,,,,,,,,,,,
220,1986,6.0,"0.029,258.75,","9.30,","64.33,",36.82,,,,,,,,,,,,,,,,
221,1986,7.0,"0.028,260.56,","7.72,","64.85,",36.28,,,,,,,,,,,,,,,,
222,1986,8.0,"0.029,262.92,","6.93,","62.91,",34.92,,,,,,,,,,,,,,,,
223,1986,9.0,"0.033,265.12,","7.24,","60.37,",33.81,,,,,,,,,,,,,,,,
224,1986,10.0,"0.038,267.60,","7.45,","56.60,",32.02,,,,,,,,,,,,,,,,
225,1986,11.0,"0.049,271.26,","10.06,","47.05,",28.56,,,,,,,,,,,,,,,,
226,1986,12.0,"0.066,275.68,","13.98,","37.61,",25.8,,,,,,,,,,,,,,,,
227,1986,13.0,"0.089,279.76,","18.72,","29.55,",24.14,,,,,,,,,,,,,,,,
228,1986,14.0,"0.119,283.14,","24.77,","23.44,",24.1,,,,,,,,,,,,,,,,
229,1986,15.0,"0.155,286.07,","29.88,","19.76,",24.82,,,,,,,,,,,,,,,,
230,1986,16.0,"0.192,288.59,","34.15,","19.25,",26.7,,,,,,,,,,,,,,,,
231,1986,17.0,"0.235,290.62,","39.03,","22.36,",30.7,,,,,,,,,,,,,,,,
232,1986,18.0,"0.280,292.40,","43.89,","24.14,",34.01,,,,,,,,,,,,,,,,
233,1986,19.0,"0.319,293.98,","44.10,","23.53,",33.82,,,,,,,,,,,,,,,,
234,1986,20.0,"0.359,295.42,","46.55,","21.60,",34.08,,,,,,,,,,,,,,,,
235,1986,21.0,"0.395,296.37,","50.09,","21.43,",35.76,,,,,,,,,,,,,,,,
236,1986,22.0,"0.421,296.68,","52.06,","23.15,",37.61,,,,,,,,,,,,,,,,
237,1986,23.0,"0.434,296.78,","49.59,","26.02,",37.81,,,,,,,,,,,,,,,,
238,1986,24.0,"0.441,296.66,","47.53,","30.65,",39.09,,,,,,,,,,,,,,,,
239,1986,25.0,"0.447,296.66,","48.61,","34.22,",41.41,,,,,,,,,,,,,,,,
240,1986,26.0,"0.444,296.27,","46.49,","41.90,",44.2,,,,,,,,,,,,,,,,
241,1986,27.0,"0.439,295.74,","45.17,","51.25,",48.21,,,,,,,,,,,,,,,,
242,1986,28.0,"0.437,295.74,","47.62,","55.20,",51.41,,,,,,,,,,,,,,,,
243,1986,29.0,"0.434,295.94,","50.96,","57.25,",54.1,,,,,,,,,,,,,,,,
244,1986,30.0,"0.428,295.90,","52.75,","60.14,",56.45,,,,,,,,,,,,,,,,
245,1986,31.0,"0.414,295.34,","48.92,","64.45,",56.69,,,,,,,,,,,,,,,,
246,1986,32.0,"0.401,294.40,","45.49,","70.17,",57.83,,,,,,,,,,,,,,,,
247,1986,33.0,"0.394,293.74,","46.37,","69.02,",57.69,,,,,,,,,,,,,,,,
248,1986,34.0,"0.377,292.64,","42.93,","68.16,",55.55,,,,,,,,,,,,,,,,
249,1986,35.0,"0.362,291.65,","42.46,","63.84,",53.15,,,,,,,,,,,,,,,,
250,1986,36.0,"0.344,290.16,","42.40,","63.03,",52.72,,,,,,,,,,,,,,,,
251,1986,37.0,"0.327,288.07,","45.54,","69.63,",57.59,,,,,,,,,,,,,,,,
252,1986,38.0,"0.308,285.93,","47.14,","78.37,",62.75,,,,,,,,,,,,,,,,
253,1986,39.0,"0.289,284.23,","47.76,","79.03,",63.39,,,,,,,,,,,,,,,,
254,1986,40.0,"0.266,282.24,","47.22,","79.38,",63.3,,,,,,,,,,,,,,,,
255,1986,41.0,"0.243,280.62,","47.35,","73.12,",60.24,,,,,,,,,,,,,,,,
256,1986,42.0,"0.218,279.21,","46.99,","62.28,",54.63,,,,,,,,,,,,,,,,
257,1986,43.0,"0.186,277.46,","43.11,","51.94,",47.53,,,,,,,,,,,,,,,,
258,1986,44.0,"0.145,274.96,","32.90,","46.44,",39.67,,,,,,,,,,,,,,,,
259,1986,45.0,"0.114,272.43,","26.66,","43.71,",35.18,,,,,,,,,,,,,,,,
260,1986,46.0,"0.090,270.33,","20.48,","38.03,",29.26,,,,,,,,,,,,,,,,
261,1986,47.0,"0.076,268.58,","18.64,","34.34,",26.49,,,,,,,,,,,,,,,,
262,1986,48.0,"0.066,266.99,","17.88,","34.16,",26.02,,,,,,,,,,,,,,,,
263,1986,49.0,"0.057,264.84,","15.54,","38.01,",26.78,,,,,,,,,,,,,,,,
264,1986,50.0,"0.050,261.78,","13.36,","46.24,",29.8,,,,,,,,,,,,,,,,
265,1986,51.0,"0.047,258.56,","14.07,","55.89,",34.98,,,,,,,,,,,,,,,,
266,1986,52.0,"0.045,255.60,","15.73,","65.51,",40.62,,,,,,,,,,,,,,,,
267,1987,1.0,"0.040,253.19,","13.72,","72.87,",43.29,,,,,,,,,,,,,,,,
268,1987,2.0,"0.037,252.02,","11.10,","79.06,",45.08,,,,,,,,,,,,,,,,
269,1987,3.0,"0.038,251.83,","13.00,","82.45,",47.73,,,,,,,,,,,,,,,,
270,1987,4.0,"0.036,252.36,","11.92,","82.47,",47.19,,,,,,,,,,,,,,,,
271,1987,5.0,"0.031,253.01,","9.81,","83.05,",46.43,,,,,,,,,,,,,,,,
272,1987,6.0,"0.030,253.71,","8.42,","85.25,",46.83,,,,,,,,,,,,,,,,
273,1987,7.0,"0.029,254.93,","6.94,","88.56,",47.75,,,,,,,,,,,,,,,,
274,1987,8.0,"0.030,256.33,","6.56,","91.63,",49.1,,,,,,,,,,,,,,,,
275,1987,9.0,"0.030,257.84,","4.99,","92.49,",48.74,,,,,,,,,,,,,,,,
276,1987,10.0,"0.030,258.74,","2.60,","94.65,",48.62,,,,,,,,,,,,,,,,
277,1987,11.0,"0.032,259.84,","1.25,","96.19,",48.72,,,,,,,,,,,,,,,,
278,1987,12.0,"0.039,261.87,","0.61,","96.85,",48.73,,,,,,,,,,,,,,,,
