,Mean,data,for,UKR,Province=,24:,"Vinnytsya,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
118,1983,49.0,"0.057,266.74,","30.90,","38.39,",34.65,,,,,,,,,,,,,,,,
119,1983,50.0,"0.050,265.65,","32.30,","34.14,",33.22,,,,,,,,,,,,,,,,
120,1983,51.0,"0.045,264.30,","33.06,","31.18,",32.12,,,,,,,,,,,,,,,,
121,1983,52.0,"0.042,263.19,","31.83,","30.49,",31.16,,,,,,,,,,,,,,,,
122,1984,1.0,"0.042,262.39,","30.97,","32.12,",31.54,,,,,,,,,,,,,,,,
123,1984,2.0,"0.039,260.76,","28.74,","40.07,",34.4,,,,,,,,,,,,,,,,
124,1984,3.0,"0.036,258.47,","27.19,","50.29,",38.74,,,,,,,,,,,,,,,,
125,1984,4.0,"0.032,257.00,","24.45,","55.91,",40.18,,,,,,,,,,,,,,,,
126,1984,5.0,"0.028,256.15,","20.84,","60.85,",40.84,,,,,,,,,,,,,,,,
127,1984,6.0,"0.026,255.35,","17.72,","67.97,",42.85,,,,,,,,,,,,,,,,
128,1984,7.0,"0.027,255.27,","16.17,","73.41,",44.79,,,,,,,,,,,,,,,,
129,1984,8.0,"0.027,255.75,","15.30,","79.42,",47.36,,,,,,,,,,,,,,,,
130,1984,9.0,"0.027,257.36,","14.12,","84.42,",49.27,,,,,,,,,,,,,,,,
131,1984,10.0,"0.029,259.24,","11.28,","89.36,",50.32,,,,,,,,,,,,,,,,
132,1984,11.0,"0.036,262.53,","10.68,","88.52,",49.6,,,,,,,,,,,,,,,,
133,1984,12.0,"0.049,267.36,","10.62,","85.15,",47.88,,,,,,,,,,,,,,,,
134,1984,13.0,"0.064,272.65,","8.21,","80.25,",44.23,,,,,,,,,,,,,,,,
135,1984,14.0,"0.087,278.55,","7.98,","71.99,",39.98,,,,,,,,,,,,,,,,
136,1984,15.0,"0.115,282.98,","11.16,","68.30,",39.73,,,,,,,,,,,,,,,,
137,1984,16.0,"0.147,286.19,","14.16,","64.98,",39.57,,,,,,,,,,,,,,,,
138,1984,17.0,"0.186,289.08,","17.92,","58.36,",38.14,,,,,,,,,,,,,,,,
139,1984,18.0,"0.235,291.06,","25.53,","56.62,",41.08,,,,,,,,,,,,,,,,
140,1984,19.0,"0.285,292.11,","32.03,","59.03,",45.53,,,,,,,,,,,,,,,,
141,1984,20.0,"0.331,292.78,","37.99,","62.47,",50.23,,,,,,,,,,,,,,,,
142,1984,21.0,"0.369,293.12,","42.15,","66.39,",54.27,,,,,,,,,,,,,,,,
143,1984,22.0,"0.393,292.63,","41.80,","75.37,",58.58,,,,,,,,,,,,,,,,
144,1984,23.0,"0.409,291.90,","41.40,","85.48,",63.44,,,,,,,,,,,,,,,,
145,1984,24.0,"0.426,291.76,","45.76,","90.53,",68.14,,,,,,,,,,,,,,,,
146,1984,25.0,"0.437,291.88,","50.41,","92.94,",71.68,,,,,,,,,,,,,,,,
147,1984,26.0,"0.440,291.79,","51.05,","95.64,",73.35,,,,,,,,,,,,,,,,
148,1984,27.0,"0.438,292.04,","51.95,","96.68,",74.32,,,,,,,,,,,,,,,,
149,1984,28.0,"0.437,292.49,","56.38,","95.63,",76.0,,,,,,,,,,,,,,,,
150,1984,29.0,"0.432,292.98,","59.17,","92.95,",76.06,,,,,,,,,,,,,,,,
151,1984,30.0,"0.420,293.33,","56.90,","90.16,",73.53,,,,,,,,,,,,,,,,
152,1984,31.0,"0.405,293.46,","52.08,","88.68,",70.38,,,,,,,,,,,,,,,,
153,1984,32.0,"0.394,293.72,","49.75,","83.90,",66.82,,,,,,,,,,,,,,,,
154,1984,33.0,"0.382,293.46,","47.93,","82.70,",65.31,,,,,,,,,,,,,,,,
155,1984,34.0,"0.367,293.05,","45.58,","81.48,",63.53,,,,,,,,,,,,,,,,
156,1984,35.0,"0.344,292.33,","41.55,","77.22,",59.39,,,,,,,,,,,,,,,,
157,1984,36.0,"0.319,291.38,","38.74,","69.61,",54.17,,,,,,,,,,,,,,,,
158,1984,37.0,"0.293,290.33,","36.47,","64.23,",50.35,,,,,,,,,,,,,,,,
159,1984,38.0,"0.266,288.49,","31.30,","68.36,",49.83,,,,,,,,,,,,,,,,
160,1984,39.0,"0.242,286.68,","28.18,","72.18,",50.18,,,,,,,,,,,,,,,,
161,1984,40.0,"0.226,285.28,","28.77,","70.88,",49.83,,,,,,,,,,,,,,,,
162,1984,41.0,"0.212,282.81,","33.04,","73.31,",53.17,,,,,,,,,,,,,,,,
163,1984,42.0,"0.196,280.68,","38.32,","70.09,",54.2,,,,,,,,,,,,,,,,
164,1984,43.0,"0.172,278.69,","38.67,","65.26,",51.97,,,,,,,,,,,,,,,,
165,1984,44.0,"0.144,275.77,","36.00,","61.97,",48.98,,,,,,,,,,,,,,,,
166,1984,45.0,"0.120,270.27,","33.01,","73.88,",53.45,,,,,,,,,,,,,,,,
167,1984,46.0,"0.099,266.16,","31.64,","75.52,",53.58,,,,,,,,,,,,,,,,
168,1984,47.0,"0.086,263.09,","35.67,","76.66,",56.16,,,,,,,,,,,,,,,,
169,1984,48.0,"0.080,260.47,","44.45,","78.49,",61.47,,,,,,,,,,,,,,,,
170,1984,49.0,"0.072,262.17,","47.99,","59.88,",53.94,,,,,,,,,,,,,,,,
171,1985,9.0,"0.023,265.64,","11.62,","56.18,",33.9,,,,,,,,,,,,,,,,
172,1985,10.0,"0.024,265.53,","8.46,","66.54,",37.5,,,,,,,,,,,,,,,,
173,1985,11.0,"0.031,267.94,","7.89,","67.15,",37.52,,,,,,,,,,,,,,,,
174,1985,12.0,"0.043,271.34,","7.63,","68.22,",37.93,,,,,,,,,,,,,,,,
175,1985,13.0,"0.063,276.26,","7.85,","62.87,",35.36,,,,,,,,,,,,,,,,
176,1985,14.0,"0.092,280.99,","10.88,","57.55,",34.22,,,,,,,,,,,,,,,,
177,1985,15.0,"0.126,284.82,","16.38,","55.88,",36.13,,,,,,,,,,,,,,,,
178,1985,16.0,"0.165,287.66,","22.13,","54.46,",38.29,,,,,,,,,,,,,,,,
179,1985,17.0,"0.209,289.82,","27.82,","52.89,",40.35,,,,,,,,,,,,,,,,
180,1985,18.0,"0.251,291.05,","31.94,","57.24,",44.59,,,,,,,,,,,,,,,,
181,1985,19.0,"0.291,292.09,","34.80,","59.66,",47.23,,,,,,,,,,,,,,,,
182,1985,20.0,"0.327,293.17,","36.13,","59.15,",47.64,,,,,,,,,,,,,,,,
183,1985,21.0,"0.353,293.30,","34.14,","65.01,",49.57,,,,,,,,,,,,,,,,
184,1985,22.0,"0.372,293.09,","30.48,","71.66,",51.07,,,,,,,,,,,,,,,,
185,1985,23.0,"0.388,292.89,","28.36,","77.34,",52.85,,,,,,,,,,,,,,,,
186,1985,24.0,"0.397,292.51,","27.70,","84.57,",56.14,,,,,,,,,,,,,,,,
187,1985,25.0,"0.406,292.72,","29.78,","85.97,",57.87,,,,,,,,,,,,,,,,
188,1985,26.0,"0.410,293.12,","31.60,","84.02,",57.81,,,,,,,,,,,,,,,,
189,1985,27.0,"0.413,293.59,","35.28,","82.85,",59.07,,,,,,,,,,,,,,,,
190,1985,28.0,"0.414,294.29,","42.05,","78.65,",60.35,,,,,,,,,,,,,,,,
191,1985,29.0,"0.417,295.12,","49.77,","70.80,",60.28,,,,,,,,,,,,,,,,
192,1985,30.0,"0.416,295.89,","54.64,","61.76,",58.2,,,,,,,,,,,,,,,,
193,1985,31.0,"0.412,296.74,","56.36,","50.34,",53.35,,,,,,,,,,,,,,,,
194,1985,32.0,"0.413,297.38,","61.48,","38.93,",50.2,,,,,,,,,,,,,,,,
195,1985,33.0,"0.408,297.67,","64.37,","29.80,",47.09,,,,,,,,,,,,,,,,
196,1985,34.0,"0.392,297.41,","61.78,","26.01,",43.9,,,,,,,,,,,,,,,,
197,1985,35.0,"0.373,296.68,","59.33,","24.74,",42.03,,,,,,,,,,,,,,,,
198,1985,36.0,"0.350,295.28,","57.58,","27.15,",42.36,,,,,,,,,,,,,,,,
199,1985,37.0,"0.323,293.51,","53.26,","31.13,",42.2,,,,,,,,,,,,,,,,
200,1985,38.0,"0.296,291.88,","48.26,","32.06,",40.16,,,,,,,,,,,,,,,,
201,1985,39.0,"0.270,290.05,","43.95,","33.69,",38.82,,,,,,,,,,,,,,,,
202,1985,40.0,"0.241,287.98,","37.79,","37.77,",37.78,,,,,,,,,,,,,,,,
203,1985,41.0,"0.209,285.49,","32.22,","40.55,",36.38,,,,,,,,,,,,,,,,
204,1985,42.0,"0.179,282.76,","29.54,","46.60,",38.07,,,,,,,,,,,,,,,,
205,1985,43.0,"0.151,280.40,","27.34,","49.10,",38.22,,,,,,,,,,,,,,,,
206,1985,44.0,"0.128,277.78,","26.33,","44.75,",35.54,,,,,,,,,,,,,,,,
207,1985,45.0,"0.104,274.49,","22.79,","44.95,",33.87,,,,,,,,,,,,,,,,
208,1985,46.0,"0.078,270.41,","16.20,","52.13,",34.17,,,,,,,,,,,,,,,,
209,1985,47.0,"0.054,266.86,","8.50,","57.79,",33.15,,,,,,,,,,,,,,,,
210,1985,48.0,"0.040,263.20,","5.67,","65.26,",35.47,,,,,,,,,,,,,,,,
211,1985,49.0,"0.033,258.91,","5.57,","73.79,",39.68,,,,,,,,,,,,,,,,
212,1985,50.0,"0.028,254.99,","5.52,","78.49,",42.0,,,,,,,,,,,,,,,,
213,1985,51.0,"0.025,252.00,","6.35,","79.21,",42.78,,,,,,,,,,,,,,,,
214,1985,52.0,"0.023,249.47,","6.80,","79.96,",43.38,,,,,,,,,,,,,,,,
215,1986,1.0,"0.022,248.10,","6.15,","80.76,",43.45,,,,,,,,,,,,,,,,
216,1986,2.0,"0.022,248.45,","8.11,","80.79,",44.45,,,,,,,,,,,,,,,,
217,1986,3.0,"0.020,250.35,","10.22,","76.55,",43.39,,,,,,,,,,,,,,,,
218,1986,4.0,"0.019,252.15,","11.02,","70.68,",40.85,,,,,,,,,,,,,,,,
219,1986,5.0,"0.018,252.52,","10.80,","71.33,",41.06,,,,,,,,,,,,,,,,
220,1986,6.0,"0.017,253.44,","9.70,","73.19,",41.45,,,,,,,,,,,,,,,,
221,1986,7.0,"0.016,255.97,","8.62,","70.87,",39.74,,,,,,,,,,,,,,,,
222,1986,8.0,"0.018,258.86,","9.11,","69.29,",39.2,,,,,,,,,,,,,,,,
223,1986,9.0,"0.021,261.35,","10.34,","70.95,",40.64,,,,,,,,,,,,,,,,
224,1986,10.0,"0.026,263.94,","9.76,","72.90,",41.33,,,,,,,,,,,,,,,,
225,1986,11.0,"0.040,268.01,","12.69,","67.75,",40.22,,,,,,,,,,,,,,,,
226,1986,12.0,"0.060,273.36,","16.26,","60.87,",38.56,,,,,,,,,,,,,,,,
227,1986,13.0,"0.088,279.31,","20.68,","49.36,",35.02,,,,,,,,,,,,,,,,
228,1986,14.0,"0.127,284.19,","28.10,","39.39,",33.75,,,,,,,,,,,,,,,,
229,1986,15.0,"0.169,288.84,","36.36,","26.15,",31.26,,,,,,,,,,,,,,,,
230,1986,16.0,"0.210,292.02,","41.90,","18.78,",30.34,,,,,,,,,,,,,,,,
231,1986,17.0,"0.259,294.27,","49.27,","14.11,",31.69,,,,,,,,,,,,,,,,
232,1986,18.0,"0.314,295.91,","58.77,","12.17,",35.47,,,,,,,,,,,,,,,,
233,1986,19.0,"0.357,297.30,","63.05,","11.33,",37.19,,,,,,,,,,,,,,,,
234,1986,20.0,"0.393,298.78,","65.99,","8.71,",37.35,,,,,,,,,,,,,,,,
235,1986,21.0,"0.418,299.27,","66.08,","11.27,",38.67,,,,,,,,,,,,,,,,
236,1986,22.0,"0.436,299.28,","64.62,","16.21,",40.41,,,,,,,,,,,,,,,,
237,1986,23.0,"0.443,299.39,","61.16,","19.49,",40.33,,,,,,,,,,,,,,,,
238,1986,24.0,"0.443,299.11,","56.11,","24.17,",40.14,,,,,,,,,,,,,,,,
239,1986,25.0,"0.436,298.80,","49.32,","27.87,",38.59,,,,,,,,,,,,,,,,
240,1986,26.0,"0.422,298.48,","38.94,","32.56,",35.75,,,,,,,,,,,,,,,,
241,1986,27.0,"0.402,297.97,","28.51,","40.97,",34.74,,,,,,,,,,,,,,,,
242,1986,28.0,"0.379,297.66,","20.31,","45.03,",32.67,,,,,,,,,,,,,,,,
243,1986,29.0,"0.359,297.55,","15.42,","45.26,",30.34,,,,,,,,,,,,,,,,
244,1986,30.0,"0.348,297.80,","15.35,","40.66,",28.0,,,,,,,,,,,,,,,,
245,1986,31.0,"0.343,298.19,","15.45,","33.70,",24.58,,,,,,,,,,,,,,,,
246,1986,32.0,"0.337,297.95,","15.69,","32.69,",24.19,,,,,,,,,,,,,,,,
247,1986,33.0,"0.331,297.69,","16.01,","30.29,",23.15,,,,,,,,,,,,,,,,
248,1986,34.0,"0.321,297.13,","16.73,","30.25,",23.49,,,,,,,,,,,,,,,,
249,1986,35.0,"0.310,296.45,","20.23,","28.21,",24.22,,,,,,,,,,,,,,,,
250,1986,36.0,"0.296,295.16,","25.09,","28.91,",27.0,,,,,,,,,,,,,,,,
251,1986,37.0,"0.280,293.26,","29.25,","34.15,",31.7,,,,,,,,,,,,,,,,
252,1986,38.0,"0.265,291.44,","31.18,","37.20,",34.19,,,,,,,,,,,,,,,,
253,1986,39.0,"0.247,289.59,","31.29,","39.45,",35.37,,,,,,,,,,,,,,,,
254,1986,40.0,"0.223,287.53,","28.53,","43.59,",36.06,,,,,,,,,,,,,,,,
255,1986,41.0,"0.194,285.39,","24.62,","42.05,",33.33,,,,,,,,,,,,,,,,
256,1986,42.0,"0.168,283.47,","23.93,","38.81,",31.37,,,,,,,,,,,,,,,,
257,1986,43.0,"0.140,280.81,","22.01,","45.36,",33.69,,,,,,,,,,,,,,,,
258,1986,44.0,"0.113,277.35,","18.46,","48.37,",33.41,,,,,,,,,,,,,,,,
259,1986,45.0,"0.090,274.65,","14.34,","43.83,",29.09,,,,,,,,,,,,,,,,
260,1986,46.0,"0.069,272.38,","10.53,","40.76,",25.65,,,,,,,,,,,,,,,,
261,1986,47.0,"0.056,269.66,","11.26,","43.06,",27.16,,,,,,,,,,,,,,,,
262,1986,48.0,"0.047,266.52,","13.58,","49.10,",31.34,,,,,,,,,,,,,,,,
263,1986,49.0,"0.041,262.64,","14.50,","57.56,",36.03,,,,,,,,,,,,,,,,
264,1986,50.0,"0.038,259.10,","17.58,","62.36,",39.97,,,,,,,,,,,,,,,,
265,1986,51.0,"0.035,256.44,","19.50,","63.18,",41.34,,,,,,,,,,,,,,,,
266,1986,52.0,"0.033,254.10,","20.86,","64.63,",42.74,,,,,,,,,,,,,,,,
267,1987,1.0,"0.031,251.92,","17.30,","69.17,",43.24,,,,,,,,,,,,,,,,
268,1987,2.0,"0.028,251.11,","15.65,","73.34,",44.5,,,,,,,,,,,,,,,,
269,1987,3.0,"0.028,251.67,","18.74,","73.49,",46.11,,,,,,,,,,,,,,,,
270,1987,4.0,"0.025,252.26,","17.49,","71.38,",44.43,,,,,,,,,,,,,,,,
271,1987,5.0,"0.021,252.96,","14.36,","70.83,",42.6,,,,,,,,,,,,,,,,
272,1987,6.0,"0.020,254.41,","12.86,","70.90,",41.88,,,,,,,,,,,,,,,,
273,1987,7.0,"0.021,256.86,","11.75,","68.62,",40.18,,,,,,,,,,,,,,,,
274,1987,8.0,"0.023,259.09,","12.81,","68.96,",40.88,,,,,,,,,,,,,,,,
275,1987,9.0,"0.026,260.65,","13.82,","73.67,",43.74,,,,,,,,,,,,,,,,
276,1987,10.0,"0.029,262.06,","11.55,","79.76,",45.66,,,,,,,,,,,,,,,,
277,1987,11.0,"0.035,264.21,","10.21,","82.57,",46.39,,,,,,,,,,,,,,,,
278,1987,12.0,"0.044,267.66,","8.34,","84.36,",46.35,,,,,,,,,,,,,,,,
