,Mean,data,for,UKR,Province=,16:,"Mykolayiv,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
87,1983,18.0,"0.241,298.70,","40.28,","26.56,",33.42,,,,,,,,,,,,,,,,
88,1983,19.0,"0.262,299.41,","37.70,","35.77,",36.74,,,,,,,,,,,,,,,,
89,1983,20.0,"0.276,300.04,","32.79,","41.84,",37.32,,,,,,,,,,,,,,,,
90,1983,21.0,"0.286,300.70,","29.23,","44.52,",36.88,,,,,,,,,,,,,,,,
91,1983,22.0,"0.290,301.07,","27.02,","47.09,",37.05,,,,,,,,,,,,,,,,
92,1983,23.0,"0.289,301.10,","26.76,","49.52,",38.14,,,,,,,,,,,,,,,,
93,1983,24.0,"0.279,300.69,","23.19,","55.05,",39.12,,,,,,,,,,,,,,,,
94,1983,25.0,"0.269,300.68,","21.15,","58.69,",39.92,,,,,,,,,,,,,,,,
95,1983,26.0,"0.263,300.72,","21.43,","61.26,",41.35,,,,,,,,,,,,,,,,
96,1983,27.0,"0.254,300.50,","20.56,","64.85,",42.7,,,,,,,,,,,,,,,,
97,1983,28.0,"0.238,299.73,","17.58,","70.27,",43.93,,,,,,,,,,,,,,,,
98,1983,29.0,"0.223,298.94,","15.07,","76.18,",45.63,,,,,,,,,,,,,,,,
99,1983,30.0,"0.207,297.74,","13.29,","83.47,",48.38,,,,,,,,,,,,,,,,
100,1983,31.0,"0.204,297.07,","16.48,","85.96,",51.22,,,,,,,,,,,,,,,,
101,1983,32.0,"0.210,297.26,","23.45,","82.86,",53.16,,,,,,,,,,,,,,,,
102,1983,33.0,"0.221,297.78,","32.94,","77.82,",55.38,,,,,,,,,,,,,,,,
103,1983,34.0,"0.232,298.23,","42.91,","72.47,",57.69,,,,,,,,,,,,,,,,
104,1983,35.0,"0.238,298.86,","50.98,","60.38,",55.68,,,,,,,,,,,,,,,,
105,1983,36.0,"0.233,298.64,","52.77,","47.41,",50.09,,,,,,,,,,,,,,,,
106,1983,37.0,"0.222,298.12,","51.99,","35.31,",43.65,,,,,,,,,,,,,,,,
107,1983,38.0,"0.212,297.04,","51.05,","29.18,",40.12,,,,,,,,,,,,,,,,
108,1983,39.0,"0.202,295.29,","49.95,","27.98,",38.96,,,,,,,,,,,,,,,,
109,1983,40.0,"0.191,293.51,","48.64,","23.55,",36.1,,,,,,,,,,,,,,,,
110,1983,41.0,"0.176,290.92,","46.04,","23.14,",34.59,,,,,,,,,,,,,,,,
111,1983,42.0,"0.161,288.11,","43.94,","22.75,",33.34,,,,,,,,,,,,,,,,
112,1983,43.0,"0.142,285.06,","40.22,","26.45,",33.34,,,,,,,,,,,,,,,,
113,1983,44.0,"0.124,281.57,","36.16,","30.68,",33.42,,,,,,,,,,,,,,,,
114,1983,45.0,"0.111,278.81,","34.41,","32.63,",33.52,,,,,,,,,,,,,,,,
115,1983,46.0,"0.099,275.54,","33.09,","38.45,",35.77,,,,,,,,,,,,,,,,
116,1983,47.0,"0.089,271.82,","31.82,","47.18,",39.5,,,,,,,,,,,,,,,,
117,1983,48.0,"0.081,269.03,","32.62,","50.11,",41.37,,,,,,,,,,,,,,,,
118,1983,49.0,"0.072,265.93,","31.69,","52.02,",41.85,,,,,,,,,,,,,,,,
119,1983,50.0,"0.063,263.15,","29.47,","53.78,",41.63,,,,,,,,,,,,,,,,
120,1983,51.0,"0.055,260.18,","27.73,","58.22,",42.98,,,,,,,,,,,,,,,,
121,1983,52.0,"0.049,257.65,","24.98,","61.75,",43.37,,,,,,,,,,,,,,,,
122,1984,1.0,"0.046,256.43,","26.74,","65.24,",45.99,,,,,,,,,,,,,,,,
123,1984,2.0,"0.043,254.71,","27.12,","68.99,",48.05,,,,,,,,,,,,,,,,
124,1984,3.0,"0.040,252.77,","26.39,","70.66,",48.53,,,,,,,,,,,,,,,,
125,1984,4.0,"0.038,251.35,","25.41,","72.10,",48.75,,,,,,,,,,,,,,,,
126,1984,5.0,"0.035,250.62,","23.19,","74.69,",48.94,,,,,,,,,,,,,,,,
127,1984,6.0,"0.033,250.28,","21.43,","79.96,",50.69,,,,,,,,,,,,,,,,
128,1984,7.0,"0.033,250.55,","19.50,","85.27,",52.38,,,,,,,,,,,,,,,,
129,1984,8.0,"0.034,250.75,","18.68,","90.13,",54.4,,,,,,,,,,,,,,,,
130,1984,9.0,"0.034,252.92,","17.34,","93.59,",55.47,,,,,,,,,,,,,,,,
131,1984,10.0,"0.035,255.40,","12.80,","96.02,",54.41,,,,,,,,,,,,,,,,
132,1984,11.0,"0.041,260.11,","10.91,","92.50,",51.7,,,,,,,,,,,,,,,,
133,1984,12.0,"0.054,267.02,","11.74,","82.45,",47.09,,,,,,,,,,,,,,,,
134,1984,13.0,"0.068,274.34,","12.86,","69.49,",41.17,,,,,,,,,,,,,,,,
135,1984,14.0,"0.089,281.04,","16.93,","56.61,",36.77,,,,,,,,,,,,,,,,
136,1984,15.0,"0.113,285.95,","20.52,","50.88,",35.7,,,,,,,,,,,,,,,,
137,1984,16.0,"0.140,289.33,","21.95,","54.59,",38.27,,,,,,,,,,,,,,,,
138,1984,17.0,"0.171,292.12,","24.17,","61.06,",42.62,,,,,,,,,,,,,,,,
139,1984,18.0,"0.206,293.89,","27.49,","67.08,",47.29,,,,,,,,,,,,,,,,
140,1984,19.0,"0.244,295.28,","30.30,","72.77,",51.54,,,,,,,,,,,,,,,,
141,1984,20.0,"0.279,296.68,","33.91,","71.63,",52.77,,,,,,,,,,,,,,,,
142,1984,21.0,"0.307,297.33,","38.79,","72.65,",55.72,,,,,,,,,,,,,,,,
143,1984,22.0,"0.324,297.41,","43.11,","75.39,",59.25,,,,,,,,,,,,,,,,
144,1984,23.0,"0.334,296.85,","47.75,","80.72,",64.23,,,,,,,,,,,,,,,,
145,1984,24.0,"0.344,297.07,","54.39,","81.76,",68.08,,,,,,,,,,,,,,,,
146,1984,25.0,"0.354,297.96,","61.63,","79.04,",70.33,,,,,,,,,,,,,,,,
147,1984,26.0,"0.356,298.08,","65.13,","80.64,",72.89,,,,,,,,,,,,,,,,
148,1984,27.0,"0.353,298.30,","65.45,","80.44,",72.94,,,,,,,,,,,,,,,,
149,1984,28.0,"0.345,298.73,","64.21,","77.36,",70.79,,,,,,,,,,,,,,,,
150,1984,29.0,"0.332,298.82,","61.28,","77.11,",69.19,,,,,,,,,,,,,,,,
151,1984,30.0,"0.314,298.76,","58.35,","76.34,",67.35,,,,,,,,,,,,,,,,
152,1984,31.0,"0.298,298.35,","56.93,","76.87,",66.9,,,,,,,,,,,,,,,,
153,1984,32.0,"0.287,298.19,","58.64,","76.01,",67.33,,,,,,,,,,,,,,,,
154,1984,33.0,"0.282,298.01,","62.01,","75.96,",68.99,,,,,,,,,,,,,,,,
155,1984,34.0,"0.275,297.66,","63.69,","77.11,",70.4,,,,,,,,,,,,,,,,
156,1984,35.0,"0.262,297.05,","62.82,","76.17,",69.49,,,,,,,,,,,,,,,,
157,1984,36.0,"0.246,296.36,","58.86,","68.51,",63.69,,,,,,,,,,,,,,,,
158,1984,37.0,"0.228,295.73,","54.40,","57.40,",55.9,,,,,,,,,,,,,,,,
159,1984,38.0,"0.208,294.84,","49.05,","49.90,",49.48,,,,,,,,,,,,,,,,
160,1984,39.0,"0.188,293.25,","43.64,","48.04,",45.84,,,,,,,,,,,,,,,,
161,1984,40.0,"0.170,291.40,","39.13,","44.85,",41.99,,,,,,,,,,,,,,,,
162,1984,41.0,"0.157,289.44,","37.73,","38.24,",37.99,,,,,,,,,,,,,,,,
163,1984,42.0,"0.143,287.06,","36.95,","32.75,",34.85,,,,,,,,,,,,,,,,
164,1984,43.0,"0.124,284.16,","33.37,","33.80,",33.59,,,,,,,,,,,,,,,,
165,1984,44.0,"0.104,280.74,","29.15,","36.11,",32.63,,,,,,,,,,,,,,,,
166,1984,45.0,"0.091,277.02,","27.30,","43.06,",35.18,,,,,,,,,,,,,,,,
167,1984,46.0,"0.077,273.69,","24.57,","48.64,",36.61,,,,,,,,,,,,,,,,
168,1984,47.0,"0.068,271.25,","22.85,","50.00,",36.43,,,,,,,,,,,,,,,,
169,1984,48.0,"0.063,269.44,","23.48,","47.99,",35.73,,,,,,,,,,,,,,,,
170,1984,49.0,"0.057,269.82,","23.56,","35.31,",29.43,,,,,,,,,,,,,,,,
171,1985,9.0,"0.028,265.17,","13.25,","58.59,",35.92,,,,,,,,,,,,,,,,
172,1985,10.0,"0.024,264.96,","8.22,","67.30,",37.76,,,,,,,,,,,,,,,,
173,1985,11.0,"0.025,267.05,","4.70,","69.62,",37.16,,,,,,,,,,,,,,,,
174,1985,12.0,"0.030,269.75,","2.71,","71.68,",37.19,,,,,,,,,,,,,,,,
175,1985,13.0,"0.039,273.15,","2.31,","71.75,",37.03,,,,,,,,,,,,,,,,
176,1985,14.0,"0.053,278.11,","3.91,","65.52,",34.71,,,,,,,,,,,,,,,,
177,1985,15.0,"0.074,282.90,","6.59,","62.43,",34.51,,,,,,,,,,,,,,,,
178,1985,16.0,"0.102,286.82,","9.28,","65.40,",37.34,,,,,,,,,,,,,,,,
179,1985,17.0,"0.142,290.07,","14.54,","72.12,",43.33,,,,,,,,,,,,,,,,
180,1985,18.0,"0.185,292.54,","20.23,","76.10,",48.16,,,,,,,,,,,,,,,,
181,1985,19.0,"0.223,295.16,","22.65,","73.10,",47.88,,,,,,,,,,,,,,,,
182,1985,20.0,"0.256,296.92,","24.31,","69.34,",46.83,,,,,,,,,,,,,,,,
183,1985,21.0,"0.284,296.41,","28.23,","79.94,",54.09,,,,,,,,,,,,,,,,
184,1985,22.0,"0.309,296.44,","35.61,","82.63,",59.12,,,,,,,,,,,,,,,,
185,1985,23.0,"0.328,297.04,","45.30,","79.37,",62.33,,,,,,,,,,,,,,,,
186,1985,24.0,"0.340,296.90,","53.31,","83.04,",68.18,,,,,,,,,,,,,,,,
187,1985,25.0,"0.349,297.07,","59.79,","85.63,",72.71,,,,,,,,,,,,,,,,
188,1985,26.0,"0.350,297.22,","62.28,","86.93,",74.6,,,,,,,,,,,,,,,,
189,1985,27.0,"0.347,297.51,","62.48,","86.09,",74.29,,,,,,,,,,,,,,,,
190,1985,28.0,"0.342,298.13,","62.94,","81.60,",72.27,,,,,,,,,,,,,,,,
191,1985,29.0,"0.338,298.89,","63.86,","76.69,",70.28,,,,,,,,,,,,,,,,
192,1985,30.0,"0.332,299.60,","65.64,","70.23,",67.94,,,,,,,,,,,,,,,,
193,1985,31.0,"0.321,300.45,","67.18,","61.35,",64.27,,,,,,,,,,,,,,,,
194,1985,32.0,"0.308,301.13,","68.93,","53.60,",61.27,,,,,,,,,,,,,,,,
195,1985,33.0,"0.293,301.48,","68.42,","48.66,",58.54,,,,,,,,,,,,,,,,
196,1985,34.0,"0.274,301.20,","64.57,","47.63,",56.1,,,,,,,,,,,,,,,,
197,1985,35.0,"0.255,300.47,","60.23,","45.58,",52.91,,,,,,,,,,,,,,,,
198,1985,36.0,"0.236,299.03,","54.88,","43.11,",49.0,,,,,,,,,,,,,,,,
199,1985,37.0,"0.219,297.30,","50.00,","42.36,",46.18,,,,,,,,,,,,,,,,
200,1985,38.0,"0.205,295.60,","47.68,","42.83,",45.26,,,,,,,,,,,,,,,,
201,1985,39.0,"0.190,293.65,","44.41,","44.34,",44.38,,,,,,,,,,,,,,,,
202,1985,40.0,"0.173,291.27,","40.30,","46.58,",43.44,,,,,,,,,,,,,,,,
203,1985,41.0,"0.157,288.38,","37.62,","49.77,",43.69,,,,,,,,,,,,,,,,
204,1985,42.0,"0.139,285.60,","34.95,","47.14,",41.04,,,,,,,,,,,,,,,,
205,1985,43.0,"0.125,283.23,","33.17,","41.34,",37.25,,,,,,,,,,,,,,,,
206,1985,44.0,"0.113,280.32,","31.84,","39.08,",35.46,,,,,,,,,,,,,,,,
207,1985,45.0,"0.097,277.37,","28.82,","41.03,",34.93,,,,,,,,,,,,,,,,
208,1985,46.0,"0.078,274.81,","23.66,","42.27,",32.97,,,,,,,,,,,,,,,,
209,1985,47.0,"0.058,271.85,","16.48,","46.68,",31.58,,,,,,,,,,,,,,,,
210,1985,48.0,"0.044,268.51,","11.98,","52.63,",32.31,,,,,,,,,,,,,,,,
211,1985,49.0,"0.036,265.79,","9.29,","53.16,",31.23,,,,,,,,,,,,,,,,
212,1985,50.0,"0.030,263.37,","6.77,","53.44,",30.1,,,,,,,,,,,,,,,,
213,1985,51.0,"0.028,262.07,","7.71,","51.75,",29.73,,,,,,,,,,,,,,,,
214,1985,52.0,"0.026,260.86,","7.65,","51.46,",29.55,,,,,,,,,,,,,,,,
215,1986,1.0,"0.027,260.72,","12.41,","51.57,",31.99,,,,,,,,,,,,,,,,
216,1986,2.0,"0.027,261.64,","16.67,","47.14,",31.9,,,,,,,,,,,,,,,,
217,1986,3.0,"0.028,263.06,","18.30,","40.96,",29.63,,,,,,,,,,,,,,,,
218,1986,4.0,"0.028,264.04,","18.90,","38.34,",28.62,,,,,,,,,,,,,,,,
219,1986,5.0,"0.026,263.62,","18.29,","40.68,",29.48,,,,,,,,,,,,,,,,
220,1986,6.0,"0.025,264.01,","16.90,","43.37,",30.14,,,,,,,,,,,,,,,,
221,1986,7.0,"0.026,265.98,","15.96,","43.41,",29.69,,,,,,,,,,,,,,,,
222,1986,8.0,"0.029,267.52,","16.04,","44.76,",30.4,,,,,,,,,,,,,,,,
223,1986,9.0,"0.033,269.58,","16.87,","46.61,",31.74,,,,,,,,,,,,,,,,
224,1986,10.0,"0.041,272.85,","15.66,","45.18,",30.42,,,,,,,,,,,,,,,,
225,1986,11.0,"0.057,277.28,","18.09,","38.07,",28.08,,,,,,,,,,,,,,,,
226,1986,12.0,"0.078,282.36,","22.23,","30.05,",26.14,,,,,,,,,,,,,,,,
227,1986,13.0,"0.104,287.45,","27.91,","21.05,",24.48,,,,,,,,,,,,,,,,
228,1986,14.0,"0.138,290.91,","36.08,","16.01,",26.05,,,,,,,,,,,,,,,,
229,1986,15.0,"0.171,293.71,","41.82,","13.20,",27.51,,,,,,,,,,,,,,,,
230,1986,16.0,"0.201,295.84,","43.76,","14.32,",29.04,,,,,,,,,,,,,,,,
231,1986,17.0,"0.233,297.48,","46.03,","19.61,",32.82,,,,,,,,,,,,,,,,
232,1986,18.0,"0.261,298.35,","47.09,","29.60,",38.35,,,,,,,,,,,,,,,,
233,1986,19.0,"0.281,299.45,","44.57,","35.80,",40.18,,,,,,,,,,,,,,,,
234,1986,20.0,"0.296,300.90,","40.89,","34.89,",37.89,,,,,,,,,,,,,,,,
235,1986,21.0,"0.304,301.78,","37.98,","36.23,",37.1,,,,,,,,,,,,,,,,
236,1986,22.0,"0.308,302.21,","35.62,","38.93,",37.28,,,,,,,,,,,,,,,,
237,1986,23.0,"0.302,302.30,","32.68,","41.26,",36.97,,,,,,,,,,,,,,,,
238,1986,24.0,"0.293,302.17,","29.57,","44.89,",37.23,,,,,,,,,,,,,,,,
239,1986,25.0,"0.281,302.26,","26.56,","47.57,",37.06,,,,,,,,,,,,,,,,
240,1986,26.0,"0.267,302.32,","23.00,","50.12,",36.56,,,,,,,,,,,,,,,,
241,1986,27.0,"0.255,302.08,","20.84,","54.07,",37.46,,,,,,,,,,,,,,,,
242,1986,28.0,"0.242,301.92,","19.41,","55.39,",37.4,,,,,,,,,,,,,,,,
243,1986,29.0,"0.234,302.17,","20.01,","53.35,",36.68,,,,,,,,,,,,,,,,
244,1986,30.0,"0.233,302.80,","24.31,","46.96,",35.64,,,,,,,,,,,,,,,,
245,1986,31.0,"0.231,303.56,","28.06,","38.36,",33.21,,,,,,,,,,,,,,,,
246,1986,32.0,"0.223,303.58,","29.54,","34.91,",32.22,,,,,,,,,,,,,,,,
247,1986,33.0,"0.216,303.85,","30.60,","30.03,",30.31,,,,,,,,,,,,,,,,
248,1986,34.0,"0.207,303.84,","30.20,","25.90,",28.05,,,,,,,,,,,,,,,,
249,1986,35.0,"0.191,303.02,","26.44,","23.18,",24.81,,,,,,,,,,,,,,,,
250,1986,36.0,"0.171,301.31,","20.18,","22.01,",21.1,,,,,,,,,,,,,,,,
251,1986,37.0,"0.153,299.18,","15.43,","24.57,",20.0,,,,,,,,,,,,,,,,
252,1986,38.0,"0.138,296.67,","13.24,","32.47,",22.85,,,,,,,,,,,,,,,,
253,1986,39.0,"0.123,294.13,","10.81,","39.75,",25.28,,,,,,,,,,,,,,,,
254,1986,40.0,"0.104,290.78,","7.17,","52.09,",29.63,,,,,,,,,,,,,,,,
255,1986,41.0,"0.083,287.36,","3.94,","60.21,",32.07,,,,,,,,,,,,,,,,
256,1986,42.0,"0.062,284.30,","1.60,","58.36,",29.98,,,,,,,,,,,,,,,,
257,1986,43.0,"0.046,280.23,","0.55,","63.97,",32.26,,,,,,,,,,,,,,,,
258,1986,44.0,"0.036,275.93,","0.26,","67.57,",33.92,,,,,,,,,,,,,,,,
259,1986,45.0,"0.030,272.67,","0.15,","68.74,",34.45,,,,,,,,,,,,,,,,
260,1986,46.0,"0.025,270.26,","0.20,","67.78,",33.99,,,,,,,,,,,,,,,,
261,1986,47.0,"0.023,268.15,","0.45,","66.60,",33.52,,,,,,,,,,,,,,,,
262,1986,48.0,"0.022,265.51,","0.78,","67.29,",34.04,,,,,,,,,,,,,,,,
263,1986,49.0,"0.022,262.08,","1.14,","68.64,",34.89,,,,,,,,,,,,,,,,
264,1986,50.0,"0.024,259.33,","2.40,","68.65,",35.53,,,,,,,,,,,,,,,,
265,1986,51.0,"0.025,256.79,","5.09,","69.93,",37.51,,,,,,,,,,,,,,,,
266,1986,52.0,"0.025,254.83,","7.14,","70.51,",38.82,,,,,,,,,,,,,,,,
267,1987,1.0,"0.026,252.57,","11.71,","77.22,",44.47,,,,,,,,,,,,,,,,
268,1987,2.0,"0.025,251.78,","15.04,","77.84,",46.44,,,,,,,,,,,,,,,,
269,1987,3.0,"0.024,252.12,","15.82,","72.17,",44.0,,,,,,,,,,,,,,,,
270,1987,4.0,"0.022,252.80,","15.31,","67.91,",41.61,,,,,,,,,,,,,,,,
271,1987,5.0,"0.021,253.02,","15.21,","68.15,",41.68,,,,,,,,,,,,,,,,
272,1987,6.0,"0.021,254.52,","14.72,","68.47,",41.6,,,,,,,,,,,,,,,,
273,1987,7.0,"0.021,256.65,","12.95,","68.56,",40.76,,,,,,,,,,,,,,,,
274,1987,8.0,"0.021,258.00,","12.35,","70.46,",41.4,,,,,,,,,,,,,,,,
275,1987,9.0,"0.023,259.72,","12.02,","74.71,",43.37,,,,,,,,,,,,,,,,
276,1987,10.0,"0.026,260.45,","9.06,","82.10,",45.58,,,,,,,,,,,,,,,,
277,1987,11.0,"0.029,261.74,","5.79,","88.05,",46.92,,,,,,,,,,,,,,,,
278,1987,12.0,"0.032,263.51,","2.49,","94.00,",48.24,,,,,,,,,,,,,,,,
