,Mean,data,for,UKR,Province=,19:,"Rivne,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
44,1982,27.0,"0.382,292.16,","31.41,","69.34,",50.37,,,,,,,,,,,,,,,,
45,1982,28.0,"0.386,292.78,","34.30,","66.07,",50.18,,,,,,,,,,,,,,,,
46,1982,29.0,"0.391,293.51,","40.27,","61.52,",50.89,,,,,,,,,,,,,,,,
47,1982,30.0,"0.392,294.15,","44.67,","56.80,",50.73,,,,,,,,,,,,,,,,
48,1982,31.0,"0.386,294.45,","43.24,","52.37,",47.8,,,,,,,,,,,,,,,,
49,1982,32.0,"0.376,294.33,","38.99,","51.87,",45.43,,,,,,,,,,,,,,,,
50,1982,33.0,"0.372,294.25,","40.04,","48.69,",44.37,,,,,,,,,,,,,,,,
51,1982,34.0,"0.366,294.14,","41.62,","41.79,",41.7,,,,,,,,,,,,,,,,
52,1982,35.0,"0.359,293.57,","45.18,","36.86,",41.02,,,,,,,,,,,,,,,,
53,1982,36.0,"0.347,292.80,","48.32,","30.80,",39.56,,,,,,,,,,,,,,,,
54,1982,37.0,"0.325,291.76,","46.49,","26.63,",36.56,,,,,,,,,,,,,,,,
55,1982,38.0,"0.303,290.13,","43.90,","29.93,",36.92,,,,,,,,,,,,,,,,
56,1982,39.0,"0.279,288.24,","40.72,","33.37,",37.05,,,,,,,,,,,,,,,,
57,1982,40.0,"0.252,286.29,","35.75,","35.12,",35.44,,,,,,,,,,,,,,,,
58,1982,41.0,"0.223,284.57,","31.94,","31.56,",31.75,,,,,,,,,,,,,,,,
59,1982,42.0,"0.200,282.84,","31.56,","32.01,",31.79,,,,,,,,,,,,,,,,
60,1982,43.0,"0.178,280.96,","31.54,","34.34,",32.94,,,,,,,,,,,,,,,,
61,1982,44.0,"0.158,279.05,","32.60,","28.14,",30.37,,,,,,,,,,,,,,,,
62,1982,45.0,"0.133,276.90,","29.60,","26.11,",27.86,,,,,,,,,,,,,,,,
63,1982,46.0,"0.116,275.33,","30.28,","23.68,",26.98,,,,,,,,,,,,,,,,
64,1982,47.0,"0.102,273.71,","32.30,","23.18,",27.74,,,,,,,,,,,,,,,,
65,1982,48.0,"0.088,271.21,","31.70,","29.53,",30.62,,,,,,,,,,,,,,,,
66,1982,49.0,"0.078,268.73,","29.22,","35.11,",32.17,,,,,,,,,,,,,,,,
67,1982,50.0,"0.069,266.61,","25.28,","37.39,",31.34,,,,,,,,,,,,,,,,
68,1982,51.0,"0.066,264.81,","26.65,","38.66,",32.66,,,,,,,,,,,,,,,,
69,1982,52.0,"0.065,264.01,","29.05,","37.70,",33.37,,,,,,,,,,,,,,,,
70,1983,1.0,"0.066,264.13,","34.42,","34.43,",34.42,,,,,,,,,,,,,,,,
71,1983,2.0,"0.069,265.09,","39.57,","29.07,",34.32,,,,,,,,,,,,,,,,
72,1983,3.0,"0.070,266.10,","41.12,","25.60,",33.36,,,,,,,,,,,,,,,,
73,1983,4.0,"0.072,267.09,","40.46,","25.44,",32.95,,,,,,,,,,,,,,,,
74,1983,5.0,"0.069,266.49,","32.98,","35.83,",34.4,,,,,,,,,,,,,,,,
75,1983,6.0,"0.061,266.10,","22.61,","44.89,",33.75,,,,,,,,,,,,,,,,
76,1983,7.0,"0.060,266.98,","19.36,","47.23,",33.29,,,,,,,,,,,,,,,,
77,1983,8.0,"0.060,267.24,","17.83,","54.71,",36.27,,,,,,,,,,,,,,,,
78,1983,9.0,"0.063,267.71,","17.14,","62.04,",39.59,,,,,,,,,,,,,,,,
79,1983,10.0,"0.073,269.25,","19.49,","64.93,",42.21,,,,,,,,,,,,,,,,
80,1983,11.0,"0.084,271.08,","19.92,","66.05,",42.99,,,,,,,,,,,,,,,,
81,1983,12.0,"0.099,273.30,","20.06,","70.40,",45.23,,,,,,,,,,,,,,,,
82,1983,13.0,"0.119,275.98,","21.01,","71.57,",46.29,,,,,,,,,,,,,,,,
83,1983,14.0,"0.143,278.84,","22.76,","73.28,",48.02,,,,,,,,,,,,,,,,
84,1983,15.0,"0.174,281.78,","26.60,","74.17,",50.38,,,,,,,,,,,,,,,,
85,1983,16.0,"0.203,284.25,","28.71,","73.66,",51.18,,,,,,,,,,,,,,,,
86,1983,17.0,"0.232,286.80,","30.14,","68.21,",49.17,,,,,,,,,,,,,,,,
87,1983,18.0,"0.264,288.57,","32.13,","64.90,",48.51,,,,,,,,,,,,,,,,
88,1983,19.0,"0.295,290.38,","33.63,","58.52,",46.08,,,,,,,,,,,,,,,,
89,1983,20.0,"0.328,292.32,","37.73,","47.97,",42.85,,,,,,,,,,,,,,,,
90,1983,21.0,"0.352,292.87,","38.17,","49.43,",43.8,,,,,,,,,,,,,,,,
91,1983,22.0,"0.371,293.37,","39.06,","47.53,",43.29,,,,,,,,,,,,,,,,
92,1983,23.0,"0.385,293.75,","40.58,","45.19,",42.89,,,,,,,,,,,,,,,,
93,1983,24.0,"0.382,293.16,","33.71,","52.38,",43.05,,,,,,,,,,,,,,,,
94,1983,25.0,"0.380,293.08,","30.49,","55.39,",42.94,,,,,,,,,,,,,,,,
95,1983,26.0,"0.382,293.58,","30.91,","51.24,",41.08,,,,,,,,,,,,,,,,
96,1983,27.0,"0.380,293.57,","29.54,","53.40,",41.47,,,,,,,,,,,,,,,,
97,1983,28.0,"0.372,293.24,","25.73,","60.42,",43.08,,,,,,,,,,,,,,,,
98,1983,29.0,"0.362,292.93,","22.96,","68.22,",45.59,,,,,,,,,,,,,,,,
99,1983,30.0,"0.356,293.00,","23.24,","70.88,",47.06,,,,,,,,,,,,,,,,
100,1983,31.0,"0.362,293.20,","28.71,","67.87,",48.29,,,,,,,,,,,,,,,,
101,1983,32.0,"0.367,293.33,","33.08,","64.77,",48.92,,,,,,,,,,,,,,,,
102,1983,33.0,"0.367,293.65,","36.79,","56.76,",46.77,,,,,,,,,,,,,,,,
103,1983,34.0,"0.367,293.96,","41.68,","44.22,",42.95,,,,,,,,,,,,,,,,
104,1983,35.0,"0.364,294.20,","48.35,","28.37,",38.36,,,,,,,,,,,,,,,,
105,1983,36.0,"0.354,293.61,","52.08,","20.87,",36.48,,,,,,,,,,,,,,,,
106,1983,37.0,"0.335,292.34,","51.13,","19.29,",35.21,,,,,,,,,,,,,,,,
107,1983,38.0,"0.315,290.95,","49.75,","19.18,",34.47,,,,,,,,,,,,,,,,
108,1983,39.0,"0.294,288.77,","47.99,","26.23,",37.11,,,,,,,,,,,,,,,,
109,1983,40.0,"0.265,286.48,","42.39,","32.41,",37.4,,,,,,,,,,,,,,,,
110,1983,41.0,"0.235,284.04,","37.48,","37.27,",37.37,,,,,,,,,,,,,,,,
111,1983,42.0,"0.206,281.82,","34.51,","41.83,",38.17,,,,,,,,,,,,,,,,
112,1983,43.0,"0.179,280.08,","31.53,","41.35,",36.44,,,,,,,,,,,,,,,,
113,1983,44.0,"0.153,277.73,","29.39,","37.84,",33.61,,,,,,,,,,,,,,,,
114,1983,45.0,"0.126,275.04,","25.32,","38.40,",31.86,,,,,,,,,,,,,,,,
115,1983,46.0,"0.102,271.89,","22.01,","43.97,",32.99,,,,,,,,,,,,,,,,
116,1983,47.0,"0.087,269.17,","22.34,","48.16,",35.25,,,,,,,,,,,,,,,,
117,1983,48.0,"0.077,267.42,","24.06,","49.43,",36.74,,,,,,,,,,,,,,,,
118,1983,49.0,"0.068,266.47,","22.45,","46.65,",34.55,,,,,,,,,,,,,,,,
119,1983,50.0,"0.063,265.76,","20.81,","41.76,",31.29,,,,,,,,,,,,,,,,
120,1983,51.0,"0.058,265.08,","20.39,","37.46,",28.92,,,,,,,,,,,,,,,,
121,1983,52.0,"0.056,264.11,","21.59,","37.65,",29.62,,,,,,,,,,,,,,,,
122,1984,1.0,"0.056,262.80,","24.18,","41.89,",33.03,,,,,,,,,,,,,,,,
123,1984,2.0,"0.055,261.17,","25.15,","50.10,",37.63,,,,,,,,,,,,,,,,
124,1984,3.0,"0.055,260.32,","25.94,","56.27,",41.11,,,,,,,,,,,,,,,,
125,1984,4.0,"0.054,260.19,","24.41,","60.65,",42.53,,,,,,,,,,,,,,,,
126,1984,5.0,"0.053,260.66,","20.94,","63.98,",42.46,,,,,,,,,,,,,,,,
127,1984,6.0,"0.053,261.51,","17.52,","65.73,",41.63,,,,,,,,,,,,,,,,
128,1984,7.0,"0.055,262.46,","16.35,","67.67,",42.01,,,,,,,,,,,,,,,,
129,1984,8.0,"0.058,263.45,","16.59,","72.08,",44.34,,,,,,,,,,,,,,,,
130,1984,9.0,"0.064,265.15,","17.52,","73.56,",45.54,,,,,,,,,,,,,,,,
131,1984,10.0,"0.073,267.78,","19.31,","71.16,",45.24,,,,,,,,,,,,,,,,
132,1984,11.0,"0.088,270.99,","21.57,","65.53,",43.55,,,,,,,,,,,,,,,,
133,1984,12.0,"0.106,274.51,","23.47,","63.26,",43.37,,,,,,,,,,,,,,,,
134,1984,13.0,"0.127,278.32,","24.85,","57.73,",41.29,,,,,,,,,,,,,,,,
135,1984,14.0,"0.149,281.57,","25.79,","53.92,",39.86,,,,,,,,,,,,,,,,
136,1984,15.0,"0.171,284.50,","25.29,","49.99,",37.64,,,,,,,,,,,,,,,,
137,1984,16.0,"0.193,286.98,","23.64,","45.46,",34.55,,,,,,,,,,,,,,,,
138,1984,17.0,"0.212,288.70,","20.48,","47.20,",33.84,,,,,,,,,,,,,,,,
139,1984,18.0,"0.234,289.98,","17.74,","49.00,",33.37,,,,,,,,,,,,,,,,
140,1984,19.0,"0.253,290.82,","14.02,","53.77,",33.89,,,,,,,,,,,,,,,,
141,1984,20.0,"0.273,290.78,","11.60,","65.94,",38.77,,,,,,,,,,,,,,,,
142,1984,21.0,"0.294,290.62,","10.54,","74.65,",42.6,,,,,,,,,,,,,,,,
143,1984,22.0,"0.312,290.26,","10.68,","80.13,",45.4,,,,,,,,,,,,,,,,
144,1984,23.0,"0.324,289.69,","10.59,","86.94,",48.76,,,,,,,,,,,,,,,,
145,1984,24.0,"0.341,289.76,","13.89,","88.54,",51.21,,,,,,,,,,,,,,,,
146,1984,25.0,"0.355,290.01,","18.93,","88.91,",53.92,,,,,,,,,,,,,,,,
147,1984,26.0,"0.364,290.08,","22.68,","90.35,",56.52,,,,,,,,,,,,,,,,
148,1984,27.0,"0.370,290.21,","25.92,","91.33,",58.63,,,,,,,,,,,,,,,,
149,1984,28.0,"0.376,290.58,","29.35,","91.89,",60.62,,,,,,,,,,,,,,,,
150,1984,29.0,"0.381,291.13,","34.81,","90.93,",62.87,,,,,,,,,,,,,,,,
151,1984,30.0,"0.381,291.82,","38.27,","86.09,",62.18,,,,,,,,,,,,,,,,
152,1984,31.0,"0.369,291.87,","33.79,","84.32,",59.06,,,,,,,,,,,,,,,,
153,1984,32.0,"0.357,291.89,","28.41,","82.77,",55.59,,,,,,,,,,,,,,,,
154,1984,33.0,"0.347,291.69,","25.32,","82.14,",53.73,,,,,,,,,,,,,,,,
155,1984,34.0,"0.336,291.32,","24.20,","79.84,",52.02,,,,,,,,,,,,,,,,
156,1984,35.0,"0.313,290.35,","20.76,","79.89,",50.33,,,,,,,,,,,,,,,,
157,1984,36.0,"0.285,289.09,","17.68,","75.99,",46.83,,,,,,,,,,,,,,,,
158,1984,37.0,"0.261,288.04,","15.46,","69.23,",42.35,,,,,,,,,,,,,,,,
159,1984,38.0,"0.232,286.62,","10.15,","70.37,",40.26,,,,,,,,,,,,,,,,
160,1984,39.0,"0.203,284.76,","5.40,","74.30,",39.85,,,,,,,,,,,,,,,,
161,1984,40.0,"0.183,283.33,","3.99,","68.97,",36.48,,,,,,,,,,,,,,,,
162,1984,41.0,"0.168,281.81,","5.46,","62.99,",34.23,,,,,,,,,,,,,,,,
163,1984,42.0,"0.155,280.50,","9.04,","55.18,",32.11,,,,,,,,,,,,,,,,
164,1984,43.0,"0.138,278.81,","10.88,","52.18,",31.53,,,,,,,,,,,,,,,,
165,1984,44.0,"0.117,276.60,","10.59,","46.31,",28.45,,,,,,,,,,,,,,,,
166,1984,45.0,"0.105,274.20,","13.50,","43.55,",28.52,,,,,,,,,,,,,,,,
167,1984,46.0,"0.094,272.27,","17.30,","40.63,",28.96,,,,,,,,,,,,,,,,
168,1984,47.0,"0.087,271.00,","23.46,","36.70,",30.08,,,,,,,,,,,,,,,,
169,1984,48.0,"0.085,270.25,","30.52,","33.15,",31.83,,,,,,,,,,,,,,,,
170,1984,49.0,"0.085,270.47,","34.59,","25.54,",30.07,,,,,,,,,,,,,,,,
171,1985,9.0,"0.069,262.11,","18.69,","69.71,",44.2,,,,,,,,,,,,,,,,
172,1985,10.0,"0.066,263.09,","15.57,","75.59,",45.58,,,,,,,,,,,,,,,,
173,1985,11.0,"0.075,266.60,","15.32,","73.20,",44.26,,,,,,,,,,,,,,,,
174,1985,12.0,"0.091,271.23,","16.45,","71.00,",43.72,,,,,,,,,,,,,,,,
175,1985,13.0,"0.118,276.45,","20.52,","64.35,",42.44,,,,,,,,,,,,,,,,
176,1985,14.0,"0.148,281.00,","25.00,","55.51,",40.25,,,,,,,,,,,,,,,,
177,1985,15.0,"0.178,284.75,","28.83,","45.96,",37.4,,,,,,,,,,,,,,,,
178,1985,16.0,"0.208,287.41,","31.46,","40.11,",35.79,,,,,,,,,,,,,,,,
179,1985,17.0,"0.235,289.30,","31.88,","39.68,",35.78,,,,,,,,,,,,,,,,
180,1985,18.0,"0.259,290.48,","29.87,","42.71,",36.29,,,,,,,,,,,,,,,,
181,1985,19.0,"0.290,291.64,","31.23,","43.70,",37.47,,,,,,,,,,,,,,,,
182,1985,20.0,"0.316,292.46,","31.44,","46.24,",38.84,,,,,,,,,,,,,,,,
183,1985,21.0,"0.337,292.43,","30.27,","54.44,",42.35,,,,,,,,,,,,,,,,
184,1985,22.0,"0.353,292.29,","29.48,","59.17,",44.33,,,,,,,,,,,,,,,,
185,1985,23.0,"0.361,292.08,","27.63,","62.89,",45.26,,,,,,,,,,,,,,,,
186,1985,24.0,"0.362,291.51,","23.59,","70.53,",47.06,,,,,,,,,,,,,,,,
187,1985,25.0,"0.363,291.37,","22.13,","74.49,",48.31,,,,,,,,,,,,,,,,
188,1985,26.0,"0.369,291.70,","24.19,","72.66,",48.42,,,,,,,,,,,,,,,,
189,1985,27.0,"0.374,292.15,","27.20,","69.82,",48.51,,,,,,,,,,,,,,,,
190,1985,28.0,"0.375,292.43,","28.14,","70.42,",49.28,,,,,,,,,,,,,,,,
191,1985,29.0,"0.379,292.95,","32.86,","68.56,",50.71,,,,,,,,,,,,,,,,
192,1985,30.0,"0.382,293.43,","38.31,","66.03,",52.17,,,,,,,,,,,,,,,,
193,1985,31.0,"0.382,294.17,","40.62,","55.95,",48.29,,,,,,,,,,,,,,,,
194,1985,32.0,"0.385,294.87,","43.98,","44.93,",44.46,,,,,,,,,,,,,,,,
195,1985,33.0,"0.378,295.12,","43.32,","37.25,",40.29,,,,,,,,,,,,,,,,
196,1985,34.0,"0.364,294.85,","39.74,","32.31,",36.02,,,,,,,,,,,,,,,,
197,1985,35.0,"0.343,293.85,","36.23,","32.94,",34.59,,,,,,,,,,,,,,,,
198,1985,36.0,"0.325,292.40,","37.04,","34.96,",36.0,,,,,,,,,,,,,,,,
199,1985,37.0,"0.305,290.45,","36.45,","40.84,",38.65,,,,,,,,,,,,,,,,
200,1985,38.0,"0.284,288.67,","34.63,","46.14,",40.39,,,,,,,,,,,,,,,,
201,1985,39.0,"0.261,286.24,","32.02,","57.10,",44.56,,,,,,,,,,,,,,,,
202,1985,40.0,"0.232,283.45,","26.27,","68.32,",47.3,,,,,,,,,,,,,,,,
203,1985,41.0,"0.200,280.73,","20.66,","75.73,",48.2,,,,,,,,,,,,,,,,
204,1985,42.0,"0.173,278.49,","18.23,","74.53,",46.38,,,,,,,,,,,,,,,,
205,1985,43.0,"0.149,276.11,","16.64,","73.91,",45.28,,,,,,,,,,,,,,,,
206,1985,44.0,"0.127,273.26,","15.70,","70.39,",43.04,,,,,,,,,,,,,,,,
207,1985,45.0,"0.105,270.12,","13.16,","69.38,",41.27,,,,,,,,,,,,,,,,
208,1985,46.0,"0.078,266.22,","7.67,","74.05,",40.86,,,,,,,,,,,,,,,,
209,1985,47.0,"0.057,263.25,","3.60,","77.09,",40.35,,,,,,,,,,,,,,,,
210,1985,48.0,"0.044,260.68,","2.86,","81.36,",42.11,,,,,,,,,,,,,,,,
211,1985,49.0,"0.041,259.47,","3.49,","79.53,",41.51,,,,,,,,,,,,,,,,
212,1985,50.0,"0.040,258.52,","3.50,","76.52,",40.01,,,,,,,,,,,,,,,,
213,1985,51.0,"0.040,257.40,","5.30,","75.18,",40.24,,,,,,,,,,,,,,,,
214,1985,52.0,"0.039,255.56,","6.06,","78.73,",42.4,,,,,,,,,,,,,,,,
215,1986,1.0,"0.039,254.96,","6.32,","79.14,",42.73,,,,,,,,,,,,,,,,
216,1986,2.0,"0.041,255.76,","10.24,","75.69,",42.97,,,,,,,,,,,,,,,,
217,1986,3.0,"0.042,257.58,","12.38,","69.39,",40.89,,,,,,,,,,,,,,,,
218,1986,4.0,"0.042,259.21,","13.62,","65.43,",39.53,,,,,,,,,,,,,,,,
219,1986,5.0,"0.044,260.42,","13.67,","65.61,",39.64,,,,,,,,,,,,,,,,
220,1986,6.0,"0.046,262.05,","12.87,","64.31,",38.59,,,,,,,,,,,,,,,,
221,1986,7.0,"0.048,263.57,","11.96,","63.93,",37.95,,,,,,,,,,,,,,,,
222,1986,8.0,"0.049,265.55,","11.36,","63.47,",37.41,,,,,,,,,,,,,,,,
223,1986,9.0,"0.055,268.06,","12.87,","60.67,",36.77,,,,,,,,,,,,,,,,
224,1986,10.0,"0.064,270.99,","14.69,","56.27,",35.48,,,,,,,,,,,,,,,,
225,1986,11.0,"0.079,274.37,","17.45,","48.44,",32.95,,,,,,,,,,,,,,,,
226,1986,12.0,"0.099,277.80,","19.93,","45.47,",32.7,,,,,,,,,,,,,,,,
227,1986,13.0,"0.122,281.64,","22.58,","37.04,",29.81,,,,,,,,,,,,,,,,
228,1986,14.0,"0.156,285.11,","28.76,","26.13,",27.44,,,,,,,,,,,,,,,,
229,1986,15.0,"0.196,288.08,","37.51,","15.45,",26.48,,,,,,,,,,,,,,,,
230,1986,16.0,"0.237,290.37,","45.56,","8.81,",27.18,,,,,,,,,,,,,,,,
231,1986,17.0,"0.283,292.25,","54.97,","6.11,",30.54,,,,,,,,,,,,,,,,
232,1986,18.0,"0.327,293.67,","62.46,","6.24,",34.35,,,,,,,,,,,,,,,,
233,1986,19.0,"0.361,294.85,","64.94,","7.04,",35.99,,,,,,,,,,,,,,,,
234,1986,20.0,"0.385,295.76,","64.44,","8.70,",36.57,,,,,,,,,,,,,,,,
235,1986,21.0,"0.400,296.20,","61.18,","12.20,",36.69,,,,,,,,,,,,,,,,
236,1986,22.0,"0.415,296.47,","61.12,","14.71,",37.92,,,,,,,,,,,,,,,,
237,1986,23.0,"0.426,296.81,","61.07,","13.13,",37.1,,,,,,,,,,,,,,,,
238,1986,24.0,"0.429,296.86,","57.73,","11.79,",34.76,,,,,,,,,,,,,,,,
239,1986,25.0,"0.428,296.89,","55.07,","12.09,",33.58,,,,,,,,,,,,,,,,
240,1986,26.0,"0.421,296.69,","50.98,","15.58,",33.28,,,,,,,,,,,,,,,,
241,1986,27.0,"0.409,296.37,","45.31,","20.97,",33.14,,,,,,,,,,,,,,,,
242,1986,28.0,"0.391,296.06,","36.61,","25.89,",31.25,,,,,,,,,,,,,,,,
243,1986,29.0,"0.371,295.52,","27.43,","35.25,",31.34,,,,,,,,,,,,,,,,
244,1986,30.0,"0.360,295.10,","25.35,","44.70,",35.02,,,,,,,,,,,,,,,,
245,1986,31.0,"0.354,294.92,","24.19,","46.47,",35.33,,,,,,,,,,,,,,,,
246,1986,32.0,"0.347,294.21,","21.76,","53.57,",37.66,,,,,,,,,,,,,,,,
247,1986,33.0,"0.339,293.59,","20.33,","57.58,",38.95,,,,,,,,,,,,,,,,
248,1986,34.0,"0.328,292.36,","19.09,","66.15,",42.62,,,,,,,,,,,,,,,,
249,1986,35.0,"0.315,291.04,","21.43,","71.03,",46.23,,,,,,,,,,,,,,,,
250,1986,36.0,"0.302,289.66,","25.85,","69.57,",47.71,,,,,,,,,,,,,,,,
251,1986,37.0,"0.290,287.95,","29.57,","71.26,",50.42,,,,,,,,,,,,,,,,
252,1986,38.0,"0.282,286.67,","33.86,","71.02,",52.44,,,,,,,,,,,,,,,,
253,1986,39.0,"0.277,285.51,","39.75,","67.02,",53.38,,,,,,,,,,,,,,,,
254,1986,40.0,"0.263,284.25,","41.11,","59.43,",50.27,,,,,,,,,,,,,,,,
255,1986,41.0,"0.240,282.76,","40.11,","52.84,",46.48,,,,,,,,,,,,,,,,
256,1986,42.0,"0.214,281.05,","38.68,","49.82,",44.25,,,,,,,,,,,,,,,,
257,1986,43.0,"0.185,278.91,","34.67,","51.37,",43.02,,,,,,,,,,,,,,,,
258,1986,44.0,"0.150,276.46,","27.66,","47.65,",37.65,,,,,,,,,,,,,,,,
259,1986,45.0,"0.119,274.51,","21.15,","41.88,",31.51,,,,,,,,,,,,,,,,
260,1986,46.0,"0.093,272.40,","16.65,","40.56,",28.61,,,,,,,,,,,,,,,,
261,1986,47.0,"0.076,269.88,","15.28,","43.79,",29.54,,,,,,,,,,,,,,,,
262,1986,48.0,"0.061,267.54,","13.72,","48.25,",30.99,,,,,,,,,,,,,,,,
263,1986,49.0,"0.051,264.76,","11.15,","54.47,",32.81,,,,,,,,,,,,,,,,
264,1986,50.0,"0.047,261.56,","8.80,","62.08,",35.44,,,,,,,,,,,,,,,,
265,1986,51.0,"0.043,259.01,","8.59,","67.69,",38.14,,,,,,,,,,,,,,,,
266,1986,52.0,"0.042,256.68,","9.40,","73.92,",41.66,,,,,,,,,,,,,,,,
267,1987,1.0,"0.040,255.30,","8.45,","78.07,",43.26,,,,,,,,,,,,,,,,
268,1987,2.0,"0.040,254.75,","8.94,","80.66,",44.8,,,,,,,,,,,,,,,,
269,1987,3.0,"0.042,254.64,","12.26,","83.77,",48.01,,,,,,,,,,,,,,,,
270,1987,4.0,"0.041,254.79,","12.21,","86.63,",49.42,,,,,,,,,,,,,,,,
271,1987,5.0,"0.039,255.37,","9.99,","88.84,",49.42,,,,,,,,,,,,,,,,
272,1987,6.0,"0.040,256.11,","8.93,","90.72,",49.82,,,,,,,,,,,,,,,,
273,1987,7.0,"0.044,257.50,","9.73,","91.28,",50.51,,,,,,,,,,,,,,,,
274,1987,8.0,"0.050,259.78,","11.74,","90.49,",51.11,,,,,,,,,,,,,,,,
275,1987,9.0,"0.054,261.77,","12.17,","91.36,",51.77,,,,,,,,,,,,,,,,
276,1987,10.0,"0.057,263.67,","11.22,","93.05,",52.14,,,,,,,,,,,,,,,,
277,1987,11.0,"0.065,266.02,","10.53,","93.59,",52.06,,,,,,,,,,,,,,,,
278,1987,12.0,"0.077,269.35,","9.86,","93.02,",51.44,,,,,,,,,,,,,,,,
