,Mean,data,for,UKR,Province=,27:,"Zhytomyr,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
70,1983,1.0,"0.055,263.49,","28.72,","33.26,",30.99,,,,,,,,,,,,,,,,
71,1983,2.0,"0.057,264.21,","30.07,","31.85,",30.96,,,,,,,,,,,,,,,,
72,1983,3.0,"0.059,265.18,","33.72,","29.17,",31.45,,,,,,,,,,,,,,,,
73,1983,4.0,"0.063,266.19,","37.05,","27.57,",32.31,,,,,,,,,,,,,,,,
74,1983,5.0,"0.063,266.34,","34.09,","32.67,",33.38,,,,,,,,,,,,,,,,
75,1983,6.0,"0.059,266.47,","27.78,","39.20,",33.49,,,,,,,,,,,,,,,,
76,1983,7.0,"0.061,267.15,","25.82,","42.03,",33.92,,,,,,,,,,,,,,,,
77,1983,8.0,"0.064,267.79,","25.71,","46.08,",35.89,,,,,,,,,,,,,,,,
78,1983,9.0,"0.070,268.71,","26.79,","49.29,",38.04,,,,,,,,,,,,,,,,
79,1983,10.0,"0.083,270.53,","29.52,","49.73,",39.63,,,,,,,,,,,,,,,,
80,1983,11.0,"0.099,272.80,","31.51,","47.59,",39.55,,,,,,,,,,,,,,,,
81,1983,12.0,"0.116,275.34,","33.04,","49.77,",41.4,,,,,,,,,,,,,,,,
82,1983,13.0,"0.136,277.91,","33.91,","51.25,",42.58,,,,,,,,,,,,,,,,
83,1983,14.0,"0.160,280.48,","34.80,","53.53,",44.17,,,,,,,,,,,,,,,,
84,1983,15.0,"0.192,283.29,","38.57,","53.82,",46.2,,,,,,,,,,,,,,,,
85,1983,16.0,"0.225,285.64,","42.26,","54.76,",48.51,,,,,,,,,,,,,,,,
86,1983,17.0,"0.261,288.09,","44.70,","51.22,",47.96,,,,,,,,,,,,,,,,
87,1983,18.0,"0.295,289.89,","44.84,","49.52,",47.18,,,,,,,,,,,,,,,,
88,1983,19.0,"0.326,291.23,","42.94,","49.11,",46.03,,,,,,,,,,,,,,,,
89,1983,20.0,"0.351,292.44,","40.13,","48.20,",44.16,,,,,,,,,,,,,,,,
90,1983,21.0,"0.369,292.96,","36.57,","50.27,",43.42,,,,,,,,,,,,,,,,
91,1983,22.0,"0.386,293.61,","36.78,","47.06,",41.92,,,,,,,,,,,,,,,,
92,1983,23.0,"0.399,293.89,","36.87,","46.50,",41.69,,,,,,,,,,,,,,,,
93,1983,24.0,"0.397,293.36,","30.13,","53.67,",41.9,,,,,,,,,,,,,,,,
94,1983,25.0,"0.394,293.23,","24.85,","57.89,",41.37,,,,,,,,,,,,,,,,
95,1983,26.0,"0.397,293.53,","24.59,","55.67,",40.13,,,,,,,,,,,,,,,,
96,1983,27.0,"0.394,293.51,","22.33,","58.23,",40.28,,,,,,,,,,,,,,,,
97,1983,28.0,"0.383,293.14,","18.11,","67.24,",42.68,,,,,,,,,,,,,,,,
98,1983,29.0,"0.369,292.82,","15.39,","75.20,",45.29,,,,,,,,,,,,,,,,
99,1983,30.0,"0.357,292.77,","14.53,","78.18,",46.35,,,,,,,,,,,,,,,,
100,1983,31.0,"0.359,292.83,","18.37,","76.50,",47.44,,,,,,,,,,,,,,,,
101,1983,32.0,"0.363,292.97,","22.43,","72.76,",47.6,,,,,,,,,,,,,,,,
102,1983,33.0,"0.363,293.27,","26.17,","63.81,",44.99,,,,,,,,,,,,,,,,
103,1983,34.0,"0.362,293.59,","32.10,","48.41,",40.25,,,,,,,,,,,,,,,,
104,1983,35.0,"0.362,294.01,","41.16,","27.42,",34.29,,,,,,,,,,,,,,,,
105,1983,36.0,"0.350,293.40,","45.11,","20.54,",32.83,,,,,,,,,,,,,,,,
106,1983,37.0,"0.329,292.13,","44.81,","20.91,",32.86,,,,,,,,,,,,,,,,
107,1983,38.0,"0.309,290.72,","43.80,","20.64,",32.22,,,,,,,,,,,,,,,,
108,1983,39.0,"0.286,288.56,","42.60,","26.45,",34.52,,,,,,,,,,,,,,,,
109,1983,40.0,"0.260,286.41,","38.42,","30.56,",34.49,,,,,,,,,,,,,,,,
110,1983,41.0,"0.231,284.17,","32.61,","32.83,",32.72,,,,,,,,,,,,,,,,
111,1983,42.0,"0.202,281.79,","28.76,","37.06,",32.91,,,,,,,,,,,,,,,,
112,1983,43.0,"0.172,279.73,","25.66,","39.52,",32.59,,,,,,,,,,,,,,,,
113,1983,44.0,"0.141,276.92,","21.94,","40.70,",31.32,,,,,,,,,,,,,,,,
114,1983,45.0,"0.117,273.89,","18.46,","42.93,",30.7,,,,,,,,,,,,,,,,
115,1983,46.0,"0.096,270.64,","16.87,","46.66,",31.76,,,,,,,,,,,,,,,,
116,1983,47.0,"0.081,268.02,","18.58,","49.00,",33.79,,,,,,,,,,,,,,,,
117,1983,48.0,"0.073,266.52,","23.40,","47.76,",35.58,,,,,,,,,,,,,,,,
118,1983,49.0,"0.065,265.08,","22.21,","46.96,",34.59,,,,,,,,,,,,,,,,
119,1983,50.0,"0.063,264.45,","23.90,","42.17,",33.03,,,,,,,,,,,,,,,,
120,1983,51.0,"0.060,263.55,","24.93,","38.72,",31.83,,,,,,,,,,,,,,,,
121,1983,52.0,"0.056,262.58,","24.72,","38.34,",31.53,,,,,,,,,,,,,,,,
122,1984,1.0,"0.054,261.83,","27.83,","39.88,",33.85,,,,,,,,,,,,,,,,
123,1984,2.0,"0.054,261.31,","26.98,","44.39,",35.69,,,,,,,,,,,,,,,,
124,1984,3.0,"0.052,260.46,","27.22,","50.14,",38.68,,,,,,,,,,,,,,,,
125,1984,4.0,"0.051,260.21,","26.22,","53.93,",40.07,,,,,,,,,,,,,,,,
126,1984,5.0,"0.048,259.97,","22.12,","59.95,",41.04,,,,,,,,,,,,,,,,
127,1984,6.0,"0.046,259.96,","18.27,","65.61,",41.94,,,,,,,,,,,,,,,,
128,1984,7.0,"0.046,259.75,","16.08,","72.03,",44.05,,,,,,,,,,,,,,,,
129,1984,8.0,"0.046,259.90,","14.42,","77.89,",46.15,,,,,,,,,,,,,,,,
130,1984,9.0,"0.046,261.34,","13.23,","79.06,",46.14,,,,,,,,,,,,,,,,
131,1984,10.0,"0.052,263.66,","12.59,","78.28,",45.44,,,,,,,,,,,,,,,,
132,1984,11.0,"0.064,267.33,","13.48,","72.19,",42.84,,,,,,,,,,,,,,,,
133,1984,12.0,"0.081,271.14,","15.05,","69.65,",42.35,,,,,,,,,,,,,,,,
134,1984,13.0,"0.101,275.69,","15.40,","63.44,",39.42,,,,,,,,,,,,,,,,
135,1984,14.0,"0.126,279.74,","16.54,","58.74,",37.64,,,,,,,,,,,,,,,,
136,1984,15.0,"0.157,283.20,","19.43,","54.85,",37.14,,,,,,,,,,,,,,,,
137,1984,16.0,"0.186,285.69,","21.25,","54.46,",37.85,,,,,,,,,,,,,,,,
138,1984,17.0,"0.217,287.84,","22.11,","54.14,",38.13,,,,,,,,,,,,,,,,
139,1984,18.0,"0.253,289.54,","23.16,","53.46,",38.31,,,,,,,,,,,,,,,,
140,1984,19.0,"0.287,290.57,","23.07,","56.52,",39.79,,,,,,,,,,,,,,,,
141,1984,20.0,"0.317,291.00,","22.69,","63.71,",43.2,,,,,,,,,,,,,,,,
142,1984,21.0,"0.341,290.95,","22.78,","70.92,",46.85,,,,,,,,,,,,,,,,
143,1984,22.0,"0.356,290.38,","21.75,","78.80,",50.27,,,,,,,,,,,,,,,,
144,1984,23.0,"0.367,289.83,","20.91,","85.85,",53.38,,,,,,,,,,,,,,,,
145,1984,24.0,"0.379,289.83,","22.45,","88.93,",55.69,,,,,,,,,,,,,,,,
146,1984,25.0,"0.390,290.03,","24.82,","91.58,",58.2,,,,,,,,,,,,,,,,
147,1984,26.0,"0.393,289.99,","24.97,","94.68,",59.82,,,,,,,,,,,,,,,,
148,1984,27.0,"0.397,290.25,","26.53,","95.90,",61.21,,,,,,,,,,,,,,,,
149,1984,28.0,"0.404,290.89,","32.45,","94.80,",63.62,,,,,,,,,,,,,,,,
150,1984,29.0,"0.407,291.50,","37.96,","92.15,",65.05,,,,,,,,,,,,,,,,
151,1984,30.0,"0.403,291.92,","40.19,","89.24,",64.71,,,,,,,,,,,,,,,,
152,1984,31.0,"0.386,291.72,","33.11,","90.39,",61.75,,,,,,,,,,,,,,,,
153,1984,32.0,"0.367,291.47,","24.82,","91.11,",57.97,,,,,,,,,,,,,,,,
154,1984,33.0,"0.350,291.17,","18.23,","90.24,",54.23,,,,,,,,,,,,,,,,
155,1984,34.0,"0.333,290.66,","15.07,","87.73,",51.4,,,,,,,,,,,,,,,,
156,1984,35.0,"0.308,289.56,","11.60,","87.68,",49.64,,,,,,,,,,,,,,,,
157,1984,36.0,"0.283,288.25,","11.33,","84.78,",48.05,,,,,,,,,,,,,,,,
158,1984,37.0,"0.261,287.22,","11.24,","80.72,",45.98,,,,,,,,,,,,,,,,
159,1984,38.0,"0.237,285.77,","8.83,","84.34,",46.58,,,,,,,,,,,,,,,,
160,1984,39.0,"0.213,284.08,","6.49,","85.93,",46.21,,,,,,,,,,,,,,,,
161,1984,40.0,"0.199,283.02,","7.17,","74.02,",40.6,,,,,,,,,,,,,,,,
162,1984,41.0,"0.191,281.54,","10.35,","65.03,",37.69,,,,,,,,,,,,,,,,
163,1984,42.0,"0.183,280.14,","17.43,","56.23,",36.83,,,,,,,,,,,,,,,,
164,1984,43.0,"0.168,278.47,","23.86,","52.70,",38.28,,,,,,,,,,,,,,,,
165,1984,44.0,"0.146,275.77,","25.55,","51.57,",38.56,,,,,,,,,,,,,,,,
166,1984,45.0,"0.129,272.32,","27.86,","55.04,",41.45,,,,,,,,,,,,,,,,
167,1984,46.0,"0.116,269.77,","33.25,","51.50,",42.38,,,,,,,,,,,,,,,,
168,1984,47.0,"0.109,267.92,","44.07,","47.99,",46.03,,,,,,,,,,,,,,,,
169,1984,48.0,"0.107,266.42,","54.54,","46.80,",50.67,,,,,,,,,,,,,,,,
170,1984,49.0,"0.106,267.11,","59.39,","36.85,",48.12,,,,,,,,,,,,,,,,
171,1985,9.0,"0.069,263.54,","22.66,","62.20,",42.43,,,,,,,,,,,,,,,,
172,1985,10.0,"0.066,263.43,","19.23,","71.16,",45.2,,,,,,,,,,,,,,,,
173,1985,11.0,"0.072,266.59,","17.31,","69.44,",43.38,,,,,,,,,,,,,,,,
174,1985,12.0,"0.087,270.92,","17.71,","67.85,",42.78,,,,,,,,,,,,,,,,
175,1985,13.0,"0.113,276.43,","21.75,","58.12,",39.93,,,,,,,,,,,,,,,,
176,1985,14.0,"0.146,280.97,","26.70,","49.45,",38.08,,,,,,,,,,,,,,,,
177,1985,15.0,"0.179,284.54,","31.62,","43.22,",37.42,,,,,,,,,,,,,,,,
178,1985,16.0,"0.214,287.28,","35.87,","39.66,",37.77,,,,,,,,,,,,,,,,
179,1985,17.0,"0.248,289.40,","37.63,","38.37,",38.0,,,,,,,,,,,,,,,,
180,1985,18.0,"0.277,290.50,","35.08,","43.43,",39.26,,,,,,,,,,,,,,,,
181,1985,19.0,"0.309,291.67,","33.97,","44.91,",39.44,,,,,,,,,,,,,,,,
182,1985,20.0,"0.334,292.68,","30.42,","46.01,",38.22,,,,,,,,,,,,,,,,
183,1985,21.0,"0.352,292.59,","26.66,","54.28,",40.47,,,,,,,,,,,,,,,,
184,1985,22.0,"0.366,292.33,","24.26,","59.88,",42.07,,,,,,,,,,,,,,,,
185,1985,23.0,"0.373,291.88,","21.43,","66.44,",43.93,,,,,,,,,,,,,,,,
186,1985,24.0,"0.375,291.28,","18.26,","75.02,",46.64,,,,,,,,,,,,,,,,
187,1985,25.0,"0.382,291.31,","18.60,","78.71,",48.66,,,,,,,,,,,,,,,,
188,1985,26.0,"0.388,291.64,","20.39,","77.08,",48.73,,,,,,,,,,,,,,,,
189,1985,27.0,"0.394,292.07,","22.83,","75.50,",49.17,,,,,,,,,,,,,,,,
190,1985,28.0,"0.395,292.49,","25.63,","75.48,",50.55,,,,,,,,,,,,,,,,
191,1985,29.0,"0.399,293.07,","32.97,","72.20,",52.58,,,,,,,,,,,,,,,,
192,1985,30.0,"0.403,293.71,","40.05,","66.76,",53.41,,,,,,,,,,,,,,,,
193,1985,31.0,"0.405,294.58,","43.70,","55.45,",49.57,,,,,,,,,,,,,,,,
194,1985,32.0,"0.410,295.24,","50.20,","44.53,",47.36,,,,,,,,,,,,,,,,
195,1985,33.0,"0.408,295.56,","53.30,","34.00,",43.65,,,,,,,,,,,,,,,,
196,1985,34.0,"0.393,295.24,","50.88,","26.02,",38.45,,,,,,,,,,,,,,,,
197,1985,35.0,"0.375,294.27,","48.37,","24.13,",36.25,,,,,,,,,,,,,,,,
198,1985,36.0,"0.356,292.59,","48.41,","30.83,",39.62,,,,,,,,,,,,,,,,
199,1985,37.0,"0.332,290.65,","46.73,","39.05,",42.89,,,,,,,,,,,,,,,,
200,1985,38.0,"0.310,288.86,","44.79,","45.01,",44.9,,,,,,,,,,,,,,,,
201,1985,39.0,"0.287,286.69,","43.39,","52.07,",47.73,,,,,,,,,,,,,,,,
202,1985,40.0,"0.260,284.28,","39.08,","58.40,",48.74,,,,,,,,,,,,,,,,
203,1985,41.0,"0.234,281.99,","34.55,","59.69,",47.12,,,,,,,,,,,,,,,,
204,1985,42.0,"0.209,279.65,","33.09,","61.82,",47.46,,,,,,,,,,,,,,,,
205,1985,43.0,"0.185,277.17,","33.78,","65.60,",49.69,,,,,,,,,,,,,,,,
206,1985,44.0,"0.162,274.33,","34.77,","64.97,",49.87,,,,,,,,,,,,,,,,
207,1985,45.0,"0.137,270.86,","31.49,","66.41,",48.95,,,,,,,,,,,,,,,,
208,1985,46.0,"0.100,266.36,","19.54,","73.15,",46.34,,,,,,,,,,,,,,,,
209,1985,47.0,"0.069,262.79,","8.51,","76.77,",42.64,,,,,,,,,,,,,,,,
210,1985,48.0,"0.050,259.16,","4.06,","82.66,",43.36,,,,,,,,,,,,,,,,
211,1985,49.0,"0.043,256.17,","3.73,","85.62,",44.68,,,,,,,,,,,,,,,,
212,1985,50.0,"0.039,253.40,","2.08,","88.57,",45.32,,,,,,,,,,,,,,,,
213,1985,51.0,"0.035,251.13,","1.80,","90.72,",46.26,,,,,,,,,,,,,,,,
214,1985,52.0,"0.031,249.76,","1.73,","91.05,",46.39,,,,,,,,,,,,,,,,
215,1986,1.0,"0.029,250.44,","1.42,","88.60,",45.01,,,,,,,,,,,,,,,,
216,1986,2.0,"0.030,253.05,","2.69,","82.15,",42.42,,,,,,,,,,,,,,,,
217,1986,3.0,"0.030,255.68,","5.26,","73.82,",39.54,,,,,,,,,,,,,,,,
218,1986,4.0,"0.029,257.31,","6.83,","69.03,",37.93,,,,,,,,,,,,,,,,
219,1986,5.0,"0.030,258.13,","7.29,","69.46,",38.37,,,,,,,,,,,,,,,,
220,1986,6.0,"0.031,259.22,","7.20,","70.15,",38.67,,,,,,,,,,,,,,,,
221,1986,7.0,"0.032,260.78,","6.91,","69.28,",38.09,,,,,,,,,,,,,,,,
222,1986,8.0,"0.034,262.96,","7.55,","66.64,",37.1,,,,,,,,,,,,,,,,
223,1986,9.0,"0.039,265.34,","9.17,","63.10,",36.13,,,,,,,,,,,,,,,,
224,1986,10.0,"0.047,268.02,","9.60,","59.60,",34.6,,,,,,,,,,,,,,,,
225,1986,11.0,"0.062,271.40,","12.20,","53.15,",32.68,,,,,,,,,,,,,,,,
226,1986,12.0,"0.084,275.33,","16.30,","49.07,",32.69,,,,,,,,,,,,,,,,
227,1986,13.0,"0.114,279.80,","22.38,","40.20,",31.29,,,,,,,,,,,,,,,,
228,1986,14.0,"0.154,283.92,","31.19,","29.04,",30.11,,,,,,,,,,,,,,,,
229,1986,15.0,"0.200,287.53,","42.87,","18.10,",30.49,,,,,,,,,,,,,,,,
230,1986,16.0,"0.243,290.11,","51.27,","13.43,",32.35,,,,,,,,,,,,,,,,
231,1986,17.0,"0.289,292.15,","58.31,","10.74,",34.53,,,,,,,,,,,,,,,,
232,1986,18.0,"0.337,293.74,","65.06,","9.22,",37.14,,,,,,,,,,,,,,,,
233,1986,19.0,"0.374,295.14,","67.02,","8.31,",37.66,,,,,,,,,,,,,,,,
234,1986,20.0,"0.404,296.46,","67.23,","6.56,",36.9,,,,,,,,,,,,,,,,
235,1986,21.0,"0.425,297.17,","66.08,","7.72,",36.9,,,,,,,,,,,,,,,,
236,1986,22.0,"0.441,297.46,","66.28,","9.10,",37.69,,,,,,,,,,,,,,,,
237,1986,23.0,"0.446,297.71,","63.23,","8.97,",36.1,,,,,,,,,,,,,,,,
238,1986,24.0,"0.445,297.58,","56.85,","10.25,",33.55,,,,,,,,,,,,,,,,
239,1986,25.0,"0.440,297.47,","51.13,","11.23,",31.18,,,,,,,,,,,,,,,,
240,1986,26.0,"0.429,297.08,","43.06,","14.96,",29.01,,,,,,,,,,,,,,,,
241,1986,27.0,"0.418,296.45,","35.78,","22.69,",29.24,,,,,,,,,,,,,,,,
242,1986,28.0,"0.404,296.10,","29.83,","29.20,",29.51,,,,,,,,,,,,,,,,
243,1986,29.0,"0.388,295.87,","25.31,","35.17,",30.24,,,,,,,,,,,,,,,,
244,1986,30.0,"0.377,295.70,","24.17,","41.49,",32.83,,,,,,,,,,,,,,,,
245,1986,31.0,"0.369,295.46,","22.29,","44.43,",33.36,,,,,,,,,,,,,,,,
246,1986,32.0,"0.362,294.66,","20.50,","51.73,",36.11,,,,,,,,,,,,,,,,
247,1986,33.0,"0.359,294.18,","22.08,","51.93,",37.01,,,,,,,,,,,,,,,,
248,1986,34.0,"0.350,293.10,","24.04,","55.48,",39.76,,,,,,,,,,,,,,,,
249,1986,35.0,"0.342,292.03,","29.19,","55.47,",42.33,,,,,,,,,,,,,,,,
250,1986,36.0,"0.329,290.64,","34.11,","56.31,",45.21,,,,,,,,,,,,,,,,
251,1986,37.0,"0.318,288.73,","38.76,","63.61,",51.19,,,,,,,,,,,,,,,,
252,1986,38.0,"0.304,287.03,","41.48,","69.66,",55.57,,,,,,,,,,,,,,,,
253,1986,39.0,"0.290,285.31,","44.95,","71.52,",58.24,,,,,,,,,,,,,,,,
254,1986,40.0,"0.273,283.62,","45.80,","67.59,",56.69,,,,,,,,,,,,,,,,
255,1986,41.0,"0.249,282.16,","43.12,","58.22,",50.67,,,,,,,,,,,,,,,,
256,1986,42.0,"0.224,280.79,","42.06,","49.09,",45.58,,,,,,,,,,,,,,,,
257,1986,43.0,"0.194,278.91,","39.22,","48.30,",43.76,,,,,,,,,,,,,,,,
258,1986,44.0,"0.160,275.95,","33.49,","49.93,",41.71,,,,,,,,,,,,,,,,
259,1986,45.0,"0.130,273.60,","27.13,","45.12,",36.13,,,,,,,,,,,,,,,,
260,1986,46.0,"0.100,271.82,","20.00,","38.45,",29.23,,,,,,,,,,,,,,,,
261,1986,47.0,"0.078,269.25,","16.64,","41.08,",28.86,,,,,,,,,,,,,,,,
262,1986,48.0,"0.062,266.58,","14.41,","46.43,",30.42,,,,,,,,,,,,,,,,
263,1986,49.0,"0.051,263.56,","10.88,","52.97,",31.93,,,,,,,,,,,,,,,,
264,1986,50.0,"0.046,260.42,","9.12,","59.16,",34.14,,,,,,,,,,,,,,,,
265,1986,51.0,"0.042,257.75,","8.67,","63.65,",36.16,,,,,,,,,,,,,,,,
266,1986,52.0,"0.041,255.55,","10.91,","68.20,",39.56,,,,,,,,,,,,,,,,
267,1987,1.0,"0.039,253.90,","11.66,","74.75,",43.2,,,,,,,,,,,,,,,,
268,1987,2.0,"0.037,253.54,","9.70,","80.47,",45.08,,,,,,,,,,,,,,,,
269,1987,3.0,"0.039,253.84,","14.00,","82.55,",48.28,,,,,,,,,,,,,,,,
270,1987,4.0,"0.038,254.13,","14.41,","83.58,",49.0,,,,,,,,,,,,,,,,
271,1987,5.0,"0.035,253.79,","11.52,","88.47,",50.0,,,,,,,,,,,,,,,,
272,1987,6.0,"0.035,253.98,","10.34,","92.12,",51.23,,,,,,,,,,,,,,,,
273,1987,7.0,"0.038,255.58,","10.61,","91.15,",50.88,,,,,,,,,,,,,,,,
274,1987,8.0,"0.042,257.57,","11.87,","89.50,",50.68,,,,,,,,,,,,,,,,
275,1987,9.0,"0.045,259.19,","12.44,","89.80,",51.12,,,,,,,,,,,,,,,,
276,1987,10.0,"0.048,260.82,","10.60,","91.80,",51.2,,,,,,,,,,,,,,,,
277,1987,11.0,"0.055,262.88,","8.89,","93.93,",51.41,,,,,,,,,,,,,,,,
278,1987,12.0,"0.068,265.99,","8.18,","95.44,",51.81,,,,,,,,,,,,,,,,
