,Mean,data,for,UKR,Province=,10:,"Khmel'nyts'kyy,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
53,1982,36.0,"0.341,294.46,","51.96,","26.29,",39.13,,,,,,,,,,,,,,,,
54,1982,37.0,"0.319,293.44,","50.58,","23.92,",37.25,,,,,,,,,,,,,,,,
55,1982,38.0,"0.296,291.84,","47.70,","25.06,",36.38,,,,,,,,,,,,,,,,
56,1982,39.0,"0.270,289.87,","43.68,","28.31,",35.99,,,,,,,,,,,,,,,,
57,1982,40.0,"0.241,287.77,","37.99,","31.74,",34.87,,,,,,,,,,,,,,,,
58,1982,41.0,"0.213,286.01,","33.20,","26.73,",29.96,,,,,,,,,,,,,,,,
59,1982,42.0,"0.190,284.41,","32.70,","23.62,",28.16,,,,,,,,,,,,,,,,
60,1982,43.0,"0.165,282.63,","32.42,","22.36,",27.39,,,,,,,,,,,,,,,,
61,1982,44.0,"0.143,280.65,","32.85,","17.25,",25.05,,,,,,,,,,,,,,,,
62,1982,45.0,"0.116,278.11,","29.59,","18.01,",23.8,,,,,,,,,,,,,,,,
63,1982,46.0,"0.094,275.77,","27.12,","18.52,",22.82,,,,,,,,,,,,,,,,
64,1982,47.0,"0.078,273.40,","28.51,","20.32,",24.41,,,,,,,,,,,,,,,,
65,1982,48.0,"0.066,270.63,","29.19,","25.49,",27.34,,,,,,,,,,,,,,,,
66,1982,49.0,"0.057,268.48,","29.21,","27.86,",28.53,,,,,,,,,,,,,,,,
67,1982,50.0,"0.050,266.59,","27.74,","28.01,",27.87,,,,,,,,,,,,,,,,
68,1982,51.0,"0.048,264.57,","31.33,","28.33,",29.83,,,,,,,,,,,,,,,,
69,1982,52.0,"0.045,263.10,","32.98,","31.00,",31.99,,,,,,,,,,,,,,,,
70,1983,1.0,"0.044,262.64,","33.09,","32.41,",32.75,,,,,,,,,,,,,,,,
71,1983,2.0,"0.045,263.56,","35.38,","31.03,",33.21,,,,,,,,,,,,,,,,
72,1983,3.0,"0.048,265.07,","40.56,","27.15,",33.85,,,,,,,,,,,,,,,,
73,1983,4.0,"0.053,266.79,","45.87,","23.21,",34.54,,,,,,,,,,,,,,,,
74,1983,5.0,"0.055,267.60,","44.16,","25.26,",34.71,,,,,,,,,,,,,,,,
75,1983,6.0,"0.053,268.00,","37.29,","29.22,",33.26,,,,,,,,,,,,,,,,
76,1983,7.0,"0.055,269.29,","35.21,","29.52,",32.36,,,,,,,,,,,,,,,,
77,1983,8.0,"0.056,269.95,","33.38,","33.67,",33.53,,,,,,,,,,,,,,,,
78,1983,9.0,"0.059,270.51,","32.43,","39.45,",35.94,,,,,,,,,,,,,,,,
79,1983,10.0,"0.069,272.06,","34.26,","41.18,",37.72,,,,,,,,,,,,,,,,
80,1983,11.0,"0.079,273.50,","34.58,","41.42,",38.0,,,,,,,,,,,,,,,,
81,1983,12.0,"0.094,275.20,","36.01,","45.61,",40.81,,,,,,,,,,,,,,,,
82,1983,13.0,"0.115,277.61,","37.83,","48.46,",43.15,,,,,,,,,,,,,,,,
83,1983,14.0,"0.140,280.32,","39.06,","51.07,",45.07,,,,,,,,,,,,,,,,
84,1983,15.0,"0.175,283.67,","43.08,","49.66,",46.37,,,,,,,,,,,,,,,,
85,1983,16.0,"0.210,286.18,","45.32,","51.71,",48.52,,,,,,,,,,,,,,,,
86,1983,17.0,"0.248,288.50,","47.46,","51.46,",49.46,,,,,,,,,,,,,,,,
87,1983,18.0,"0.288,290.43,","50.75,","49.46,",50.1,,,,,,,,,,,,,,,,
88,1983,19.0,"0.325,291.82,","51.59,","49.06,",50.33,,,,,,,,,,,,,,,,
89,1983,20.0,"0.356,293.30,","50.73,","46.60,",48.67,,,,,,,,,,,,,,,,
90,1983,21.0,"0.378,293.81,","46.66,","50.15,",48.4,,,,,,,,,,,,,,,,
91,1983,22.0,"0.393,294.04,","42.16,","52.95,",47.56,,,,,,,,,,,,,,,,
92,1983,23.0,"0.402,294.16,","37.41,","54.99,",46.2,,,,,,,,,,,,,,,,
93,1983,24.0,"0.393,293.24,","26.54,","67.40,",46.97,,,,,,,,,,,,,,,,
94,1983,25.0,"0.384,292.87,","20.18,","74.35,",47.27,,,,,,,,,,,,,,,,
95,1983,26.0,"0.381,293.39,","19.29,","70.08,",44.69,,,,,,,,,,,,,,,,
96,1983,27.0,"0.375,293.33,","17.16,","72.80,",44.98,,,,,,,,,,,,,,,,
97,1983,28.0,"0.361,292.95,","13.57,","78.56,",46.07,,,,,,,,,,,,,,,,
98,1983,29.0,"0.348,292.55,","12.27,","83.99,",48.13,,,,,,,,,,,,,,,,
99,1983,30.0,"0.338,292.39,","13.15,","84.30,",48.72,,,,,,,,,,,,,,,,
100,1983,31.0,"0.342,292.62,","18.02,","80.51,",49.26,,,,,,,,,,,,,,,,
101,1983,32.0,"0.344,292.92,","21.75,","76.14,",48.95,,,,,,,,,,,,,,,,
102,1983,33.0,"0.346,293.59,","25.19,","65.37,",45.28,,,,,,,,,,,,,,,,
103,1983,34.0,"0.349,294.19,","33.52,","51.69,",42.6,,,,,,,,,,,,,,,,
104,1983,35.0,"0.352,294.75,","45.89,","35.50,",40.69,,,,,,,,,,,,,,,,
105,1983,36.0,"0.342,294.42,","52.23,","27.45,",39.84,,,,,,,,,,,,,,,,
106,1983,37.0,"0.322,293.12,","51.88,","27.61,",39.75,,,,,,,,,,,,,,,,
107,1983,38.0,"0.301,291.76,","50.34,","25.99,",38.16,,,,,,,,,,,,,,,,
108,1983,39.0,"0.282,290.23,","50.08,","24.91,",37.49,,,,,,,,,,,,,,,,
109,1983,40.0,"0.254,288.28,","44.78,","26.14,",35.46,,,,,,,,,,,,,,,,
110,1983,41.0,"0.217,285.82,","35.53,","28.85,",32.19,,,,,,,,,,,,,,,,
111,1983,42.0,"0.182,283.27,","27.90,","35.88,",31.89,,,,,,,,,,,,,,,,
112,1983,43.0,"0.151,280.95,","23.97,","37.71,",30.84,,,,,,,,,,,,,,,,
113,1983,44.0,"0.127,278.03,","22.87,","38.16,",30.52,,,,,,,,,,,,,,,,
114,1983,45.0,"0.105,274.94,","21.64,","39.29,",30.46,,,,,,,,,,,,,,,,
115,1983,46.0,"0.083,272.06,","19.31,","39.67,",29.49,,,,,,,,,,,,,,,,
116,1983,47.0,"0.068,269.81,","20.31,","38.17,",29.24,,,,,,,,,,,,,,,,
117,1983,48.0,"0.058,268.56,","22.39,","34.82,",28.6,,,,,,,,,,,,,,,,
118,1983,49.0,"0.049,267.38,","21.62,","32.57,",27.1,,,,,,,,,,,,,,,,
119,1983,50.0,"0.043,266.47,","20.27,","28.49,",24.38,,,,,,,,,,,,,,,,
120,1983,51.0,"0.040,265.56,","21.95,","24.14,",23.05,,,,,,,,,,,,,,,,
121,1983,52.0,"0.041,264.97,","27.55,","23.57,",25.56,,,,,,,,,,,,,,,,
122,1984,1.0,"0.042,264.39,","31.26,","25.67,",28.47,,,,,,,,,,,,,,,,
123,1984,2.0,"0.040,262.71,","29.90,","33.88,",31.89,,,,,,,,,,,,,,,,
124,1984,3.0,"0.037,260.81,","29.34,","42.42,",35.88,,,,,,,,,,,,,,,,
125,1984,4.0,"0.034,259.49,","27.30,","48.20,",37.75,,,,,,,,,,,,,,,,
126,1984,5.0,"0.031,258.36,","23.05,","55.08,",39.06,,,,,,,,,,,,,,,,
127,1984,6.0,"0.029,257.40,","18.86,","62.23,",40.54,,,,,,,,,,,,,,,,
128,1984,7.0,"0.029,256.74,","17.00,","69.06,",43.03,,,,,,,,,,,,,,,,
129,1984,8.0,"0.029,257.03,","15.80,","75.86,",45.83,,,,,,,,,,,,,,,,
130,1984,9.0,"0.029,258.47,","14.79,","80.30,",47.54,,,,,,,,,,,,,,,,
131,1984,10.0,"0.032,260.47,","13.49,","80.57,",47.03,,,,,,,,,,,,,,,,
132,1984,11.0,"0.040,263.93,","13.86,","74.85,",44.36,,,,,,,,,,,,,,,,
133,1984,12.0,"0.053,268.55,","14.94,","69.22,",42.08,,,,,,,,,,,,,,,,
134,1984,13.0,"0.070,273.70,","14.95,","63.47,",39.21,,,,,,,,,,,,,,,,
135,1984,14.0,"0.093,278.48,","15.72,","59.66,",37.69,,,,,,,,,,,,,,,,
136,1984,15.0,"0.120,282.25,","17.20,","58.04,",37.62,,,,,,,,,,,,,,,,
137,1984,16.0,"0.151,285.56,","19.28,","55.87,",37.57,,,,,,,,,,,,,,,,
138,1984,17.0,"0.187,288.38,","21.76,","51.91,",36.84,,,,,,,,,,,,,,,,
139,1984,18.0,"0.230,290.23,","26.95,","50.80,",38.88,,,,,,,,,,,,,,,,
140,1984,19.0,"0.272,291.36,","29.57,","53.08,",41.33,,,,,,,,,,,,,,,,
141,1984,20.0,"0.310,291.77,","30.66,","60.86,",45.76,,,,,,,,,,,,,,,,
142,1984,21.0,"0.345,291.96,","31.77,","68.21,",49.99,,,,,,,,,,,,,,,,
143,1984,22.0,"0.370,291.69,","31.01,","75.93,",53.47,,,,,,,,,,,,,,,,
144,1984,23.0,"0.388,291.05,","30.22,","85.67,",57.94,,,,,,,,,,,,,,,,
145,1984,24.0,"0.407,291.12,","36.06,","89.68,",62.87,,,,,,,,,,,,,,,,
146,1984,25.0,"0.420,291.43,","43.16,","90.55,",66.86,,,,,,,,,,,,,,,,
147,1984,26.0,"0.422,291.42,","45.49,","93.11,",69.3,,,,,,,,,,,,,,,,
148,1984,27.0,"0.422,291.64,","46.73,","93.11,",69.92,,,,,,,,,,,,,,,,
149,1984,28.0,"0.420,292.10,","50.44,","89.68,",70.06,,,,,,,,,,,,,,,,
150,1984,29.0,"0.416,292.70,","53.33,","83.19,",68.26,,,,,,,,,,,,,,,,
151,1984,30.0,"0.402,293.09,","50.00,","76.82,",63.41,,,,,,,,,,,,,,,,
152,1984,31.0,"0.382,293.09,","41.00,","75.32,",58.16,,,,,,,,,,,,,,,,
153,1984,32.0,"0.365,292.94,","33.65,","75.93,",54.79,,,,,,,,,,,,,,,,
154,1984,33.0,"0.349,292.58,","27.43,","77.69,",52.56,,,,,,,,,,,,,,,,
155,1984,34.0,"0.336,292.42,","25.18,","73.06,",49.12,,,,,,,,,,,,,,,,
156,1984,35.0,"0.312,291.65,","22.58,","69.57,",46.07,,,,,,,,,,,,,,,,
157,1984,36.0,"0.286,290.59,","21.81,","63.65,",42.73,,,,,,,,,,,,,,,,
158,1984,37.0,"0.262,289.55,","21.12,","58.57,",39.85,,,,,,,,,,,,,,,,
159,1984,38.0,"0.235,288.01,","17.14,","59.71,",38.43,,,,,,,,,,,,,,,,
160,1984,39.0,"0.210,286.13,","13.07,","65.13,",39.1,,,,,,,,,,,,,,,,
161,1984,40.0,"0.190,284.37,","10.97,","68.66,",39.82,,,,,,,,,,,,,,,,
162,1984,41.0,"0.174,281.85,","12.04,","74.00,",43.02,,,,,,,,,,,,,,,,
163,1984,42.0,"0.160,279.95,","15.81,","71.83,",43.82,,,,,,,,,,,,,,,,
164,1984,43.0,"0.139,277.90,","17.22,","65.93,",41.58,,,,,,,,,,,,,,,,
165,1984,44.0,"0.116,274.85,","16.20,","63.78,",39.99,,,,,,,,,,,,,,,,
166,1984,45.0,"0.099,269.65,","17.84,","74.76,",46.3,,,,,,,,,,,,,,,,
167,1984,46.0,"0.085,265.33,","20.71,","77.51,",49.11,,,,,,,,,,,,,,,,
168,1984,47.0,"0.077,262.50,","27.45,","74.23,",50.84,,,,,,,,,,,,,,,,
169,1984,48.0,"0.074,260.62,","36.14,","70.41,",53.27,,,,,,,,,,,,,,,,
170,1984,49.0,"0.071,261.93,","41.33,","56.30,",48.81,,,,,,,,,,,,,,,,
171,1985,9.0,"0.037,258.92,","18.20,","75.81,",47.01,,,,,,,,,,,,,,,,
172,1985,10.0,"0.036,257.68,","15.64,","84.56,",50.1,,,,,,,,,,,,,,,,
173,1985,11.0,"0.041,261.01,","14.63,","80.47,",47.55,,,,,,,,,,,,,,,,
174,1985,12.0,"0.053,265.68,","14.59,","76.78,",45.69,,,,,,,,,,,,,,,,
175,1985,13.0,"0.072,272.48,","15.73,","68.11,",41.92,,,,,,,,,,,,,,,,
176,1985,14.0,"0.099,279.08,","18.53,","57.40,",37.96,,,,,,,,,,,,,,,,
177,1985,15.0,"0.133,284.65,","23.30,","43.37,",33.33,,,,,,,,,,,,,,,,
178,1985,16.0,"0.173,288.58,","28.55,","33.22,",30.89,,,,,,,,,,,,,,,,
179,1985,17.0,"0.213,291.22,","32.54,","27.76,",30.15,,,,,,,,,,,,,,,,
180,1985,18.0,"0.250,292.85,","34.63,","27.32,",30.98,,,,,,,,,,,,,,,,
181,1985,19.0,"0.289,294.18,","36.21,","27.32,",31.77,,,,,,,,,,,,,,,,
182,1985,20.0,"0.322,295.14,","35.50,","29.20,",32.35,,,,,,,,,,,,,,,,
183,1985,21.0,"0.348,294.65,","32.62,","41.90,",37.26,,,,,,,,,,,,,,,,
184,1985,22.0,"0.370,294.36,","30.20,","49.83,",40.02,,,,,,,,,,,,,,,,
185,1985,23.0,"0.384,293.95,","27.61,","57.27,",42.44,,,,,,,,,,,,,,,,
186,1985,24.0,"0.391,292.89,","25.92,","71.21,",48.56,,,,,,,,,,,,,,,,
187,1985,25.0,"0.396,292.55,","28.58,","77.87,",53.22,,,,,,,,,,,,,,,,
188,1985,26.0,"0.401,292.72,","31.77,","77.91,",54.84,,,,,,,,,,,,,,,,
189,1985,27.0,"0.406,293.09,","36.37,","75.63,",56.0,,,,,,,,,,,,,,,,
190,1985,28.0,"0.406,293.60,","40.94,","70.23,",55.58,,,,,,,,,,,,,,,,
191,1985,29.0,"0.406,294.35,","46.45,","60.55,",53.5,,,,,,,,,,,,,,,,
192,1985,30.0,"0.404,295.15,","51.28,","49.86,",50.57,,,,,,,,,,,,,,,,
193,1985,31.0,"0.401,296.15,","52.59,","36.30,",44.44,,,,,,,,,,,,,,,,
194,1985,32.0,"0.397,296.81,","54.04,","26.58,",40.31,,,,,,,,,,,,,,,,
195,1985,33.0,"0.388,296.96,","52.25,","21.42,",36.84,,,,,,,,,,,,,,,,
196,1985,34.0,"0.372,296.72,","48.21,","19.67,",33.94,,,,,,,,,,,,,,,,
197,1985,35.0,"0.352,296.02,","46.57,","20.63,",33.6,,,,,,,,,,,,,,,,
198,1985,36.0,"0.331,294.57,","46.33,","25.47,",35.9,,,,,,,,,,,,,,,,
199,1985,37.0,"0.307,292.62,","44.35,","31.63,",37.99,,,,,,,,,,,,,,,,
200,1985,38.0,"0.284,290.80,","41.69,","34.73,",38.21,,,,,,,,,,,,,,,,
201,1985,39.0,"0.261,288.66,","38.88,","40.47,",39.67,,,,,,,,,,,,,,,,
202,1985,40.0,"0.230,286.24,","31.89,","48.84,",40.36,,,,,,,,,,,,,,,,
203,1985,41.0,"0.193,283.39,","22.05,","56.93,",39.49,,,,,,,,,,,,,,,,
204,1985,42.0,"0.159,280.59,","15.18,","64.97,",40.07,,,,,,,,,,,,,,,,
205,1985,43.0,"0.133,278.10,","13.52,","64.07,",38.79,,,,,,,,,,,,,,,,
206,1985,44.0,"0.111,275.42,","13.20,","59.02,",36.11,,,,,,,,,,,,,,,,
207,1985,45.0,"0.087,271.91,","10.76,","59.73,",35.25,,,,,,,,,,,,,,,,
208,1985,46.0,"0.064,267.35,","6.52,","66.46,",36.49,,,,,,,,,,,,,,,,
209,1985,47.0,"0.044,263.65,","2.49,","68.73,",35.61,,,,,,,,,,,,,,,,
210,1985,48.0,"0.033,259.93,","1.27,","73.23,",37.25,,,,,,,,,,,,,,,,
211,1985,49.0,"0.028,256.63,","1.46,","77.86,",39.66,,,,,,,,,,,,,,,,
212,1985,50.0,"0.026,253.30,","2.41,","82.43,",42.42,,,,,,,,,,,,,,,,
213,1985,51.0,"0.026,251.16,","6.10,","82.35,",44.23,,,,,,,,,,,,,,,,
214,1985,52.0,"0.025,249.76,","10.35,","82.39,",46.37,,,,,,,,,,,,,,,,
215,1986,1.0,"0.025,249.14,","12.35,","82.64,",47.49,,,,,,,,,,,,,,,,
216,1986,2.0,"0.026,250.00,","14.87,","80.43,",47.65,,,,,,,,,,,,,,,,
217,1986,3.0,"0.025,251.35,","17.00,","75.90,",46.45,,,,,,,,,,,,,,,,
218,1986,4.0,"0.024,252.79,","17.58,","70.41,",44.0,,,,,,,,,,,,,,,,
219,1986,5.0,"0.024,253.35,","16.60,","70.29,",43.45,,,,,,,,,,,,,,,,
220,1986,6.0,"0.023,254.31,","14.18,","71.17,",42.67,,,,,,,,,,,,,,,,
221,1986,7.0,"0.023,256.16,","12.75,","70.40,",41.57,,,,,,,,,,,,,,,,
222,1986,8.0,"0.024,259.01,","12.61,","69.03,",40.82,,,,,,,,,,,,,,,,
223,1986,9.0,"0.026,261.72,","13.25,","68.88,",41.07,,,,,,,,,,,,,,,,
224,1986,10.0,"0.032,264.95,","13.78,","64.86,",39.32,,,,,,,,,,,,,,,,
225,1986,11.0,"0.045,268.72,","16.50,","57.51,",37.01,,,,,,,,,,,,,,,,
226,1986,12.0,"0.063,273.76,","19.75,","50.22,",34.98,,,,,,,,,,,,,,,,
227,1986,13.0,"0.086,279.19,","23.25,","41.69,",32.47,,,,,,,,,,,,,,,,
228,1986,14.0,"0.121,283.64,","29.68,","33.78,",31.73,,,,,,,,,,,,,,,,
229,1986,15.0,"0.161,287.91,","36.30,","21.61,",28.95,,,,,,,,,,,,,,,,
230,1986,16.0,"0.202,290.79,","41.81,","15.74,",28.77,,,,,,,,,,,,,,,,
231,1986,17.0,"0.252,292.96,","49.35,","12.19,",30.77,,,,,,,,,,,,,,,,
232,1986,18.0,"0.308,294.85,","59.01,","8.48,",33.74,,,,,,,,,,,,,,,,
233,1986,19.0,"0.351,296.24,","62.57,","7.80,",35.19,,,,,,,,,,,,,,,,
234,1986,20.0,"0.384,297.44,","63.27,","7.22,",35.24,,,,,,,,,,,,,,,,
235,1986,21.0,"0.406,297.87,","60.71,","10.09,",35.4,,,,,,,,,,,,,,,,
236,1986,22.0,"0.422,297.86,","57.53,","15.11,",36.32,,,,,,,,,,,,,,,,
237,1986,23.0,"0.431,297.97,","54.58,","16.90,",35.74,,,,,,,,,,,,,,,,
238,1986,24.0,"0.432,297.65,","50.43,","19.92,",35.18,,,,,,,,,,,,,,,,
239,1986,25.0,"0.427,297.36,","46.60,","22.14,",34.37,,,,,,,,,,,,,,,,
240,1986,26.0,"0.417,296.90,","40.77,","27.41,",34.09,,,,,,,,,,,,,,,,
241,1986,27.0,"0.407,296.44,","36.25,","33.90,",35.08,,,,,,,,,,,,,,,,
242,1986,28.0,"0.390,296.09,","30.84,","37.81,",34.33,,,,,,,,,,,,,,,,
243,1986,29.0,"0.370,295.76,","24.97,","42.12,",33.54,,,,,,,,,,,,,,,,
244,1986,30.0,"0.357,295.65,","23.58,","43.81,",33.69,,,,,,,,,,,,,,,,
245,1986,31.0,"0.351,295.72,","23.09,","42.31,",32.7,,,,,,,,,,,,,,,,
246,1986,32.0,"0.347,295.33,","22.98,","46.29,",34.63,,,,,,,,,,,,,,,,
247,1986,33.0,"0.342,295.11,","22.71,","45.90,",34.31,,,,,,,,,,,,,,,,
248,1986,34.0,"0.333,294.51,","23.46,","47.65,",35.56,,,,,,,,,,,,,,,,
249,1986,35.0,"0.324,293.88,","28.82,","45.22,",37.02,,,,,,,,,,,,,,,,
250,1986,36.0,"0.313,293.02,","35.85,","40.74,",38.3,,,,,,,,,,,,,,,,
251,1986,37.0,"0.298,291.58,","38.93,","41.06,",39.99,,,,,,,,,,,,,,,,
252,1986,38.0,"0.280,290.15,","39.27,","40.80,",40.04,,,,,,,,,,,,,,,,
253,1986,39.0,"0.261,288.55,","38.92,","41.67,",40.3,,,,,,,,,,,,,,,,
254,1986,40.0,"0.239,286.85,","36.90,","42.02,",39.46,,,,,,,,,,,,,,,,
255,1986,41.0,"0.210,284.98,","31.46,","38.77,",35.11,,,,,,,,,,,,,,,,
256,1986,42.0,"0.180,283.21,","26.72,","36.93,",31.83,,,,,,,,,,,,,,,,
257,1986,43.0,"0.148,280.40,","22.10,","43.09,",32.6,,,,,,,,,,,,,,,,
258,1986,44.0,"0.114,277.16,","15.43,","45.51,",30.47,,,,,,,,,,,,,,,,
259,1986,45.0,"0.086,274.97,","9.90,","39.31,",24.6,,,,,,,,,,,,,,,,
260,1986,46.0,"0.065,272.55,","6.72,","36.99,",21.86,,,,,,,,,,,,,,,,
261,1986,47.0,"0.051,269.84,","7.49,","38.18,",22.84,,,,,,,,,,,,,,,,
262,1986,48.0,"0.043,266.92,","9.73,","42.35,",26.04,,,,,,,,,,,,,,,,
263,1986,49.0,"0.039,263.13,","11.62,","50.95,",31.28,,,,,,,,,,,,,,,,
264,1986,50.0,"0.037,259.56,","14.46,","57.23,",35.85,,,,,,,,,,,,,,,,
265,1986,51.0,"0.035,256.55,","17.60,","60.90,",39.25,,,,,,,,,,,,,,,,
266,1986,52.0,"0.034,253.75,","20.51,","67.13,",43.82,,,,,,,,,,,,,,,,
267,1987,1.0,"0.032,251.48,","20.50,","74.02,",47.26,,,,,,,,,,,,,,,,
268,1987,2.0,"0.031,250.28,","20.36,","79.81,",50.09,,,,,,,,,,,,,,,,
269,1987,3.0,"0.031,250.61,","22.88,","79.39,",51.14,,,,,,,,,,,,,,,,
270,1987,4.0,"0.028,250.79,","21.31,","78.19,",49.75,,,,,,,,,,,,,,,,
271,1987,5.0,"0.024,251.51,","16.92,","77.13,",47.02,,,,,,,,,,,,,,,,
272,1987,6.0,"0.023,252.73,","14.29,","76.98,",45.64,,,,,,,,,,,,,,,,
273,1987,7.0,"0.023,254.25,","13.06,","77.25,",45.16,,,,,,,,,,,,,,,,
274,1987,8.0,"0.025,256.36,","13.68,","78.38,",46.03,,,,,,,,,,,,,,,,
275,1987,9.0,"0.028,257.98,","14.08,","82.33,",48.2,,,,,,,,,,,,,,,,
276,1987,10.0,"0.029,259.26,","12.26,","84.99,",48.62,,,,,,,,,,,,,,,,
277,1987,11.0,"0.033,261.30,","10.17,","84.50,",47.34,,,,,,,,,,,,,,,,
278,1987,12.0,"0.041,264.64,","8.35,","83.72,",46.04,,,,,,,,,,,,,,,,
