,Mean,data,for,UKR,Province=,23:,"Transcarpathia,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
78,1983,9.0,"0.100,268.85,","27.91,","69.48,",48.7,,,,,,,,,,,,,,,,
79,1983,10.0,"0.104,270.15,","25.11,","75.79,",50.45,,,,,,,,,,,,,,,,
80,1983,11.0,"0.106,271.14,","19.50,","83.74,",51.62,,,,,,,,,,,,,,,,
81,1983,12.0,"0.112,272.72,","15.62,","86.89,",51.25,,,,,,,,,,,,,,,,
82,1983,13.0,"0.130,274.86,","15.39,","86.34,",50.86,,,,,,,,,,,,,,,,
83,1983,14.0,"0.155,277.08,","16.20,","84.59,",50.4,,,,,,,,,,,,,,,,
84,1983,15.0,"0.188,279.59,","21.84,","79.75,",50.79,,,,,,,,,,,,,,,,
85,1983,16.0,"0.226,281.72,","27.91,","76.30,",52.1,,,,,,,,,,,,,,,,
86,1983,17.0,"0.269,284.19,","32.63,","69.85,",51.24,,,,,,,,,,,,,,,,
87,1983,18.0,"0.316,286.47,","38.76,","61.32,",50.04,,,,,,,,,,,,,,,,
88,1983,19.0,"0.360,288.06,","43.81,","53.15,",48.48,,,,,,,,,,,,,,,,
89,1983,20.0,"0.406,289.80,","51.36,","41.31,",46.34,,,,,,,,,,,,,,,,
90,1983,21.0,"0.443,290.86,","56.57,","37.73,",47.15,,,,,,,,,,,,,,,,
91,1983,22.0,"0.468,291.58,","58.49,","36.57,",47.53,,,,,,,,,,,,,,,,
92,1983,23.0,"0.483,291.99,","59.61,","36.83,",48.22,,,,,,,,,,,,,,,,
93,1983,24.0,"0.475,291.54,","53.46,","44.17,",48.81,,,,,,,,,,,,,,,,
94,1983,25.0,"0.469,291.53,","49.12,","47.59,",48.36,,,,,,,,,,,,,,,,
95,1983,26.0,"0.464,291.81,","45.28,","49.57,",47.42,,,,,,,,,,,,,,,,
96,1983,27.0,"0.448,291.70,","35.25,","59.23,",47.24,,,,,,,,,,,,,,,,
97,1983,28.0,"0.426,291.30,","25.16,","70.96,",48.06,,,,,,,,,,,,,,,,
98,1983,29.0,"0.411,290.88,","20.18,","79.17,",49.68,,,,,,,,,,,,,,,,
99,1983,30.0,"0.401,290.69,","17.22,","83.23,",50.23,,,,,,,,,,,,,,,,
100,1983,31.0,"0.405,290.92,","19.40,","80.88,",50.14,,,,,,,,,,,,,,,,
101,1983,32.0,"0.412,291.37,","22.30,","74.97,",48.64,,,,,,,,,,,,,,,,
102,1983,33.0,"0.428,291.95,","29.91,","64.42,",47.17,,,,,,,,,,,,,,,,
103,1983,34.0,"0.444,292.26,","39.86,","53.47,",46.66,,,,,,,,,,,,,,,,
104,1983,35.0,"0.446,292.42,","48.04,","38.61,",43.33,,,,,,,,,,,,,,,,
105,1983,36.0,"0.434,291.89,","51.09,","28.38,",39.74,,,,,,,,,,,,,,,,
106,1983,37.0,"0.408,290.70,","47.27,","27.26,",37.26,,,,,,,,,,,,,,,,
107,1983,38.0,"0.384,289.49,","43.84,","27.75,",35.79,,,,,,,,,,,,,,,,
108,1983,39.0,"0.362,287.85,","41.97,","30.96,",36.47,,,,,,,,,,,,,,,,
109,1983,40.0,"0.325,285.57,","35.86,","37.69,",36.78,,,,,,,,,,,,,,,,
110,1983,41.0,"0.285,283.45,","30.50,","40.21,",35.35,,,,,,,,,,,,,,,,
111,1983,42.0,"0.245,281.50,","26.50,","42.17,",34.34,,,,,,,,,,,,,,,,
112,1983,43.0,"0.202,279.48,","20.44,","46.17,",33.31,,,,,,,,,,,,,,,,
113,1983,44.0,"0.166,276.65,","15.99,","54.23,",35.11,,,,,,,,,,,,,,,,
114,1983,45.0,"0.138,273.79,","12.60,","57.26,",34.93,,,,,,,,,,,,,,,,
115,1983,46.0,"0.115,270.89,","12.43,","56.74,",34.58,,,,,,,,,,,,,,,,
116,1983,47.0,"0.099,268.77,","14.96,","54.55,",34.75,,,,,,,,,,,,,,,,
117,1983,48.0,"0.084,267.51,","15.60,","50.78,",33.19,,,,,,,,,,,,,,,,
118,1983,49.0,"0.071,265.82,","14.92,","49.76,",32.34,,,,,,,,,,,,,,,,
119,1983,50.0,"0.063,264.11,","12.03,","48.81,",30.42,,,,,,,,,,,,,,,,
120,1983,51.0,"0.060,263.12,","14.32,","45.73,",30.03,,,,,,,,,,,,,,,,
121,1983,52.0,"0.061,262.21,","18.21,","47.15,",32.68,,,,,,,,,,,,,,,,
122,1984,1.0,"0.060,260.54,","17.75,","57.15,",37.45,,,,,,,,,,,,,,,,
123,1984,2.0,"0.059,259.44,","16.99,","66.23,",41.61,,,,,,,,,,,,,,,,
124,1984,3.0,"0.059,258.76,","15.86,","73.81,",44.83,,,,,,,,,,,,,,,,
125,1984,4.0,"0.059,259.39,","14.82,","72.17,",43.49,,,,,,,,,,,,,,,,
126,1984,5.0,"0.063,260.35,","16.62,","71.30,",43.96,,,,,,,,,,,,,,,,
127,1984,6.0,"0.066,262.43,","17.22,","67.79,",42.5,,,,,,,,,,,,,,,,
128,1984,7.0,"0.072,266.24,","18.63,","58.08,",38.35,,,,,,,,,,,,,,,,
129,1984,8.0,"0.081,270.69,","22.20,","44.47,",33.33,,,,,,,,,,,,,,,,
130,1984,9.0,"0.093,274.86,","26.39,","32.47,",29.43,,,,,,,,,,,,,,,,
131,1984,10.0,"0.106,277.25,","28.38,","31.79,",30.09,,,,,,,,,,,,,,,,
132,1984,11.0,"0.116,278.89,","26.70,","36.77,",31.74,,,,,,,,,,,,,,,,
133,1984,12.0,"0.130,280.86,","25.73,","37.57,",31.65,,,,,,,,,,,,,,,,
134,1984,13.0,"0.145,282.46,","23.19,","35.19,",29.19,,,,,,,,,,,,,,,,
135,1984,14.0,"0.165,283.49,","20.80,","36.73,",28.76,,,,,,,,,,,,,,,,
136,1984,15.0,"0.180,284.19,","17.78,","40.54,",29.16,,,,,,,,,,,,,,,,
137,1984,16.0,"0.199,284.93,","15.60,","45.83,",30.72,,,,,,,,,,,,,,,,
138,1984,17.0,"0.225,285.56,","14.01,","54.34,",34.17,,,,,,,,,,,,,,,,
139,1984,18.0,"0.253,286.27,","13.69,","60.64,",37.17,,,,,,,,,,,,,,,,
140,1984,19.0,"0.278,286.67,","11.91,","64.80,",38.35,,,,,,,,,,,,,,,,
141,1984,20.0,"0.301,286.97,","11.55,","66.74,",39.15,,,,,,,,,,,,,,,,
142,1984,21.0,"0.325,287.36,","11.96,","68.91,",40.43,,,,,,,,,,,,,,,,
143,1984,22.0,"0.354,287.81,","14.85,","70.85,",42.85,,,,,,,,,,,,,,,,
144,1984,23.0,"0.369,287.70,","16.16,","77.04,",46.6,,,,,,,,,,,,,,,,
145,1984,24.0,"0.384,287.97,","20.23,","79.20,",49.71,,,,,,,,,,,,,,,,
146,1984,25.0,"0.400,288.53,","24.41,","78.13,",51.27,,,,,,,,,,,,,,,,
147,1984,26.0,"0.415,289.06,","26.98,","79.59,",53.28,,,,,,,,,,,,,,,,
148,1984,27.0,"0.429,289.96,","28.13,","80.78,",54.45,,,,,,,,,,,,,,,,
149,1984,28.0,"0.435,290.56,","29.33,","81.07,",55.2,,,,,,,,,,,,,,,,
150,1984,29.0,"0.438,291.14,","32.05,","77.08,",54.56,,,,,,,,,,,,,,,,
151,1984,30.0,"0.447,291.66,","37.01,","72.22,",54.62,,,,,,,,,,,,,,,,
152,1984,31.0,"0.448,291.86,","38.40,","69.64,",54.02,,,,,,,,,,,,,,,,
153,1984,32.0,"0.445,291.84,","37.39,","69.27,",53.33,,,,,,,,,,,,,,,,
154,1984,33.0,"0.437,291.34,","33.86,","72.67,",53.26,,,,,,,,,,,,,,,,
155,1984,34.0,"0.432,290.92,","33.80,","71.71,",52.76,,,,,,,,,,,,,,,,
156,1984,35.0,"0.414,290.06,","32.26,","71.28,",51.77,,,,,,,,,,,,,,,,
157,1984,36.0,"0.386,289.07,","29.52,","66.31,",47.92,,,,,,,,,,,,,,,,
158,1984,37.0,"0.359,288.06,","27.70,","60.42,",44.06,,,,,,,,,,,,,,,,
159,1984,38.0,"0.336,287.06,","25.53,","56.51,",41.02,,,,,,,,,,,,,,,,
160,1984,39.0,"0.312,285.65,","23.71,","53.85,",38.78,,,,,,,,,,,,,,,,
161,1984,40.0,"0.285,284.13,","22.67,","51.03,",36.85,,,,,,,,,,,,,,,,
162,1984,41.0,"0.258,282.78,","23.11,","45.70,",34.4,,,,,,,,,,,,,,,,
163,1984,42.0,"0.234,281.86,","25.04,","38.40,",31.72,,,,,,,,,,,,,,,,
164,1984,43.0,"0.205,280.88,","25.11,","34.17,",29.64,,,,,,,,,,,,,,,,
165,1984,44.0,"0.175,279.56,","22.66,","31.53,",27.09,,,,,,,,,,,,,,,,
166,1984,45.0,"0.147,277.13,","18.82,","34.04,",26.43,,,,,,,,,,,,,,,,
167,1984,46.0,"0.117,274.94,","14.38,","31.84,",23.11,,,,,,,,,,,,,,,,
168,1984,47.0,"0.093,273.05,","12.02,","29.94,",20.98,,,,,,,,,,,,,,,,
169,1984,48.0,"0.077,271.06,","11.13,","31.72,",21.42,,,,,,,,,,,,,,,,
170,1984,49.0,"0.068,271.63,","11.67,","19.93,",15.8,,,,,,,,,,,,,,,,
171,1985,9.0,"0.074,271.49,","14.00,","45.06,",29.53,,,,,,,,,,,,,,,,
172,1985,10.0,"0.077,270.99,","11.44,","54.20,",32.82,,,,,,,,,,,,,,,,
173,1985,11.0,"0.088,273.33,","11.77,","58.56,",35.17,,,,,,,,,,,,,,,,
174,1985,12.0,"0.107,276.04,","13.75,","59.07,",36.41,,,,,,,,,,,,,,,,
175,1985,13.0,"0.132,279.05,","17.04,","55.10,",36.07,,,,,,,,,,,,,,,,
176,1985,14.0,"0.162,282.18,","20.08,","47.32,",33.7,,,,,,,,,,,,,,,,
177,1985,15.0,"0.194,284.76,","24.03,","38.78,",31.41,,,,,,,,,,,,,,,,
178,1985,16.0,"0.225,286.57,","27.04,","34.23,",30.64,,,,,,,,,,,,,,,,
179,1985,17.0,"0.254,287.53,","26.19,","38.74,",32.47,,,,,,,,,,,,,,,,
180,1985,18.0,"0.278,287.96,","23.99,","45.59,",34.79,,,,,,,,,,,,,,,,
181,1985,19.0,"0.310,288.75,","25.28,","44.96,",35.12,,,,,,,,,,,,,,,,
182,1985,20.0,"0.347,289.95,","30.07,","39.07,",34.57,,,,,,,,,,,,,,,,
183,1985,21.0,"0.375,290.04,","31.51,","45.16,",38.33,,,,,,,,,,,,,,,,
184,1985,22.0,"0.388,289.74,","28.53,","53.74,",41.13,,,,,,,,,,,,,,,,
185,1985,23.0,"0.390,289.07,","24.37,","64.29,",44.33,,,,,,,,,,,,,,,,
186,1985,24.0,"0.376,287.67,","17.16,","81.31,",49.24,,,,,,,,,,,,,,,,
187,1985,25.0,"0.375,287.47,","14.44,","87.04,",50.74,,,,,,,,,,,,,,,,
188,1985,26.0,"0.385,288.01,","14.72,","88.77,",51.74,,,,,,,,,,,,,,,,
189,1985,27.0,"0.410,289.62,","19.82,","83.75,",51.78,,,,,,,,,,,,,,,,
190,1985,28.0,"0.437,291.24,","30.53,","72.11,",51.32,,,,,,,,,,,,,,,,
191,1985,29.0,"0.459,292.40,","41.47,","60.57,",51.02,,,,,,,,,,,,,,,,
192,1985,30.0,"0.470,293.15,","47.94,","52.59,",50.26,,,,,,,,,,,,,,,,
193,1985,31.0,"0.479,293.33,","52.57,","50.53,",51.55,,,,,,,,,,,,,,,,
194,1985,32.0,"0.490,293.83,","58.74,","43.63,",51.18,,,,,,,,,,,,,,,,
195,1985,33.0,"0.491,294.22,","60.76,","35.66,",48.21,,,,,,,,,,,,,,,,
196,1985,34.0,"0.483,294.19,","59.77,","28.92,",44.35,,,,,,,,,,,,,,,,
197,1985,35.0,"0.470,293.33,","59.13,","27.85,",43.49,,,,,,,,,,,,,,,,
198,1985,36.0,"0.458,291.99,","61.86,","28.88,",45.37,,,,,,,,,,,,,,,,
199,1985,37.0,"0.439,290.61,","61.11,","30.72,",45.91,,,,,,,,,,,,,,,,
200,1985,38.0,"0.411,289.40,","56.01,","30.45,",43.23,,,,,,,,,,,,,,,,
201,1985,39.0,"0.382,288.17,","51.27,","28.08,",39.68,,,,,,,,,,,,,,,,
202,1985,40.0,"0.350,286.57,","46.93,","27.10,",37.01,,,,,,,,,,,,,,,,
203,1985,41.0,"0.317,284.74,","44.48,","26.61,",35.54,,,,,,,,,,,,,,,,
204,1985,42.0,"0.282,282.88,","42.98,","28.06,",35.52,,,,,,,,,,,,,,,,
205,1985,43.0,"0.245,281.14,","40.35,","30.73,",35.54,,,,,,,,,,,,,,,,
206,1985,44.0,"0.211,279.32,","37.61,","32.35,",34.98,,,,,,,,,,,,,,,,
207,1985,45.0,"0.175,276.89,","31.60,","35.52,",33.56,,,,,,,,,,,,,,,,
208,1985,46.0,"0.135,274.17,","23.41,","36.32,",29.87,,,,,,,,,,,,,,,,
209,1985,47.0,"0.103,272.18,","17.47,","34.81,",26.14,,,,,,,,,,,,,,,,
210,1985,48.0,"0.081,270.48,","13.75,","35.20,",24.48,,,,,,,,,,,,,,,,
211,1985,49.0,"0.067,269.12,","12.16,","33.82,",22.99,,,,,,,,,,,,,,,,
212,1985,50.0,"0.060,268.21,","8.72,","29.89,",19.31,,,,,,,,,,,,,,,,
213,1985,51.0,"0.054,267.25,","8.26,","27.73,",18.0,,,,,,,,,,,,,,,,
214,1985,52.0,"0.051,265.80,","8.14,","31.88,",20.01,,,,,,,,,,,,,,,,
215,1986,1.0,"0.050,264.46,","7.68,","39.99,",23.84,,,,,,,,,,,,,,,,
216,1986,2.0,"0.054,264.01,","11.76,","45.28,",28.52,,,,,,,,,,,,,,,,
217,1986,3.0,"0.057,264.01,","13.68,","49.44,",31.56,,,,,,,,,,,,,,,,
218,1986,4.0,"0.061,264.55,","16.63,","50.08,",33.36,,,,,,,,,,,,,,,,
219,1986,5.0,"0.064,264.69,","17.23,","53.67,",35.45,,,,,,,,,,,,,,,,
220,1986,6.0,"0.066,265.31,","17.42,","57.29,",37.36,,,,,,,,,,,,,,,,
221,1986,7.0,"0.073,266.78,","20.65,","58.43,",39.54,,,,,,,,,,,,,,,,
222,1986,8.0,"0.078,268.22,","20.68,","60.05,",40.37,,,,,,,,,,,,,,,,
223,1986,9.0,"0.084,269.69,","20.21,","64.00,",42.11,,,,,,,,,,,,,,,,
224,1986,10.0,"0.095,272.09,","21.52,","63.73,",42.63,,,,,,,,,,,,,,,,
225,1986,11.0,"0.114,275.57,","25.21,","57.48,",41.34,,,,,,,,,,,,,,,,
226,1986,12.0,"0.134,278.71,","27.39,","51.25,",39.32,,,,,,,,,,,,,,,,
227,1986,13.0,"0.152,281.22,","26.53,","44.23,",35.38,,,,,,,,,,,,,,,,
228,1986,14.0,"0.182,283.57,","29.06,","36.92,",32.99,,,,,,,,,,,,,,,,
229,1986,15.0,"0.224,286.12,","38.23,","25.67,",31.95,,,,,,,,,,,,,,,,
230,1986,16.0,"0.275,288.23,","48.56,","18.12,",33.34,,,,,,,,,,,,,,,,
231,1986,17.0,"0.340,289.87,","61.92,","16.34,",39.13,,,,,,,,,,,,,,,,
232,1986,18.0,"0.393,290.69,","69.77,","19.27,",44.52,,,,,,,,,,,,,,,,
233,1986,19.0,"0.432,291.31,","72.85,","20.32,",46.58,,,,,,,,,,,,,,,,
234,1986,20.0,"0.462,292.21,","74.43,","18.15,",46.29,,,,,,,,,,,,,,,,
235,1986,21.0,"0.476,292.54,","70.45,","22.18,",46.31,,,,,,,,,,,,,,,,
236,1986,22.0,"0.485,292.49,","66.56,","27.98,",47.27,,,,,,,,,,,,,,,,
237,1986,23.0,"0.488,292.89,","63.52,","27.91,",45.71,,,,,,,,,,,,,,,,
238,1986,24.0,"0.485,293.29,","60.35,","26.20,",43.27,,,,,,,,,,,,,,,,
239,1986,25.0,"0.478,293.53,","55.79,","25.74,",40.76,,,,,,,,,,,,,,,,
240,1986,26.0,"0.467,293.59,","48.64,","28.88,",38.76,,,,,,,,,,,,,,,,
241,1986,27.0,"0.462,293.70,","43.30,","33.82,",38.56,,,,,,,,,,,,,,,,
242,1986,28.0,"0.454,293.89,","39.06,","36.47,",37.77,,,,,,,,,,,,,,,,
243,1986,29.0,"0.446,294.11,","35.69,","36.30,",35.99,,,,,,,,,,,,,,,,
244,1986,30.0,"0.444,294.37,","35.66,","34.67,",35.17,,,,,,,,,,,,,,,,
245,1986,31.0,"0.445,294.32,","36.99,","35.55,",36.27,,,,,,,,,,,,,,,,
246,1986,32.0,"0.446,293.86,","37.99,","41.46,",39.72,,,,,,,,,,,,,,,,
247,1986,33.0,"0.442,293.51,","36.32,","43.62,",39.97,,,,,,,,,,,,,,,,
248,1986,34.0,"0.432,292.75,","33.29,","46.91,",40.1,,,,,,,,,,,,,,,,
249,1986,35.0,"0.421,291.85,","35.24,","46.92,",41.08,,,,,,,,,,,,,,,,
250,1986,36.0,"0.414,290.87,","41.41,","42.91,",42.16,,,,,,,,,,,,,,,,
251,1986,37.0,"0.406,289.75,","46.16,","40.25,",43.21,,,,,,,,,,,,,,,,
252,1986,38.0,"0.397,288.76,","49.28,","36.59,",42.93,,,,,,,,,,,,,,,,
253,1986,39.0,"0.382,287.70,","50.25,","31.84,",41.04,,,,,,,,,,,,,,,,
254,1986,40.0,"0.365,286.71,","51.60,","25.09,",38.34,,,,,,,,,,,,,,,,
255,1986,41.0,"0.332,285.36,","48.96,","20.57,",34.77,,,,,,,,,,,,,,,,
256,1986,42.0,"0.292,283.71,","45.77,","20.59,",33.18,,,,,,,,,,,,,,,,
257,1986,43.0,"0.253,281.51,","42.32,","28.54,",35.43,,,,,,,,,,,,,,,,
258,1986,44.0,"0.215,279.17,","37.71,","34.31,",36.01,,,,,,,,,,,,,,,,
259,1986,45.0,"0.173,277.30,","29.05,","32.82,",30.93,,,,,,,,,,,,,,,,
260,1986,46.0,"0.133,275.38,","20.82,","29.15,",24.98,,,,,,,,,,,,,,,,
261,1986,47.0,"0.104,272.98,","16.88,","30.13,",23.5,,,,,,,,,,,,,,,,
262,1986,48.0,"0.085,270.48,","15.57,","34.21,",24.89,,,,,,,,,,,,,,,,
263,1986,49.0,"0.072,267.20,","14.82,","42.11,",28.47,,,,,,,,,,,,,,,,
264,1986,50.0,"0.063,263.26,","11.41,","52.81,",32.11,,,,,,,,,,,,,,,,
265,1986,51.0,"0.056,260.39,","10.50,","59.30,",34.9,,,,,,,,,,,,,,,,
266,1986,52.0,"0.050,258.02,","8.50,","68.12,",38.31,,,,,,,,,,,,,,,,
267,1987,1.0,"0.050,257.00,","8.59,","76.05,",42.32,,,,,,,,,,,,,,,,
268,1987,2.0,"0.049,257.25,","7.98,","79.29,",43.64,,,,,,,,,,,,,,,,
269,1987,3.0,"0.048,257.94,","6.52,","79.84,",43.18,,,,,,,,,,,,,,,,
270,1987,4.0,"0.049,259.05,","7.08,","75.74,",41.41,,,,,,,,,,,,,,,,
271,1987,5.0,"0.052,260.34,","8.17,","72.75,",40.46,,,,,,,,,,,,,,,,
272,1987,6.0,"0.054,261.79,","8.88,","72.21,",40.55,,,,,,,,,,,,,,,,
273,1987,7.0,"0.059,263.58,","10.58,","72.28,",41.43,,,,,,,,,,,,,,,,
274,1987,8.0,"0.069,266.19,","14.94,","68.69,",41.82,,,,,,,,,,,,,,,,
275,1987,9.0,"0.079,268.80,","18.05,","67.22,",42.64,,,,,,,,,,,,,,,,
276,1987,10.0,"0.084,271.01,","16.04,","69.27,",42.66,,,,,,,,,,,,,,,,
277,1987,11.0,"0.092,273.35,","13.57,","70.49,",42.03,,,,,,,,,,,,,,,,
278,1987,12.0,"0.106,276.26,","13.52,","66.19,",39.85,,,,,,,,,,,,,,,,
