,Mean,data,for,UKR,Province=,17:,"Odessa,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
20,1982,3.0,"0.061,268.21,","40.71,","33.80,",37.26,,,,,,,,,,,,,,,,
21,1982,4.0,"0.055,268.14,","35.53,","35.58,",35.55,,,,,,,,,,,,,,,,
22,1982,5.0,"0.048,268.13,","30.39,","37.23,",33.81,,,,,,,,,,,,,,,,
23,1982,6.0,"0.045,268.56,","27.46,","39.23,",33.35,,,,,,,,,,,,,,,,
24,1982,7.0,"0.045,269.52,","24.81,","40.23,",32.52,,,,,,,,,,,,,,,,
25,1982,8.0,"0.049,271.19,","24.53,","40.06,",32.3,,,,,,,,,,,,,,,,
26,1982,9.0,"0.052,272.64,","23.39,","42.25,",32.82,,,,,,,,,,,,,,,,
27,1982,10.0,"0.059,275.04,","22.38,","42.31,",32.34,,,,,,,,,,,,,,,,
28,1982,11.0,"0.075,277.91,","25.94,","40.30,",33.12,,,,,,,,,,,,,,,,
29,1982,12.0,"0.093,281.51,","28.22,","38.25,",33.23,,,,,,,,,,,,,,,,
30,1982,13.0,"0.107,284.45,","27.06,","37.81,",32.44,,,,,,,,,,,,,,,,
31,1982,14.0,"0.120,286.54,","25.56,","39.95,",32.76,,,,,,,,,,,,,,,,
32,1982,15.0,"0.127,287.95,","23.26,","49.19,",36.23,,,,,,,,,,,,,,,,
33,1982,16.0,"0.145,289.21,","20.79,","64.14,",42.47,,,,,,,,,,,,,,,,
34,1982,17.0,"0.169,290.19,","19.37,","77.76,",48.57,,,,,,,,,,,,,,,,
35,1982,18.0,"0.196,291.97,","19.37,","80.51,",49.94,,,,,,,,,,,,,,,,
36,1982,19.0,"0.225,294.18,","20.37,","77.06,",48.71,,,,,,,,,,,,,,,,
37,1982,20.0,"0.248,295.40,","21.03,","75.36,",48.2,,,,,,,,,,,,,,,,
38,1982,21.0,"0.267,295.99,","22.19,","76.65,",49.42,,,,,,,,,,,,,,,,
39,1982,22.0,"0.279,296.11,","23.37,","81.15,",52.26,,,,,,,,,,,,,,,,
40,1982,23.0,"0.284,296.02,","24.05,","86.07,",55.06,,,,,,,,,,,,,,,,
41,1982,24.0,"0.290,296.37,","26.65,","86.57,",56.61,,,,,,,,,,,,,,,,
42,1982,25.0,"0.295,296.59,","29.53,","88.87,",59.2,,,,,,,,,,,,,,,,
43,1982,26.0,"0.296,296.68,","32.59,","90.81,",61.7,,,,,,,,,,,,,,,,
44,1982,27.0,"0.295,296.90,","34.88,","91.50,",63.19,,,,,,,,,,,,,,,,
45,1982,28.0,"0.289,297.01,","36.05,","91.16,",63.61,,,,,,,,,,,,,,,,
46,1982,29.0,"0.292,297.53,","41.37,","87.21,",64.29,,,,,,,,,,,,,,,,
47,1982,30.0,"0.296,298.25,","46.55,","80.87,",63.71,,,,,,,,,,,,,,,,
48,1982,31.0,"0.293,298.89,","49.40,","73.97,",61.68,,,,,,,,,,,,,,,,
49,1982,32.0,"0.289,299.52,","52.73,","65.46,",59.09,,,,,,,,,,,,,,,,
50,1982,33.0,"0.285,299.84,","55.20,","58.35,",56.77,,,,,,,,,,,,,,,,
51,1982,34.0,"0.277,299.91,","56.03,","53.00,",54.51,,,,,,,,,,,,,,,,
52,1982,35.0,"0.266,299.78,","56.21,","46.40,",51.31,,,,,,,,,,,,,,,,
53,1982,36.0,"0.252,299.35,","54.86,","38.14,",46.5,,,,,,,,,,,,,,,,
54,1982,37.0,"0.232,298.56,","50.41,","32.34,",41.37,,,,,,,,,,,,,,,,
55,1982,38.0,"0.214,297.34,","47.04,","29.92,",38.48,,,,,,,,,,,,,,,,
56,1982,39.0,"0.195,295.54,","42.82,","31.19,",37.0,,,,,,,,,,,,,,,,
57,1982,40.0,"0.170,293.36,","35.74,","32.86,",34.3,,,,,,,,,,,,,,,,
58,1982,41.0,"0.146,291.29,","30.03,","27.55,",28.79,,,,,,,,,,,,,,,,
59,1982,42.0,"0.126,288.79,","27.17,","25.14,",26.16,,,,,,,,,,,,,,,,
60,1982,43.0,"0.108,285.95,","25.11,","28.53,",26.82,,,,,,,,,,,,,,,,
61,1982,44.0,"0.091,283.67,","22.74,","25.24,",23.99,,,,,,,,,,,,,,,,
62,1982,45.0,"0.076,281.81,","19.92,","22.74,",21.33,,,,,,,,,,,,,,,,
63,1982,46.0,"0.062,278.71,","17.11,","28.72,",22.92,,,,,,,,,,,,,,,,
64,1982,47.0,"0.051,274.89,","14.38,","38.79,",26.59,,,,,,,,,,,,,,,,
65,1982,48.0,"0.045,270.99,","14.13,","48.26,",31.2,,,,,,,,,,,,,,,,
66,1982,49.0,"0.040,267.88,","13.85,","51.44,",32.65,,,,,,,,,,,,,,,,
67,1982,50.0,"0.036,265.32,","12.54,","51.81,",32.17,,,,,,,,,,,,,,,,
68,1982,51.0,"0.036,263.48,","14.41,","52.37,",33.39,,,,,,,,,,,,,,,,
69,1982,52.0,"0.037,262.83,","16.05,","50.70,",33.38,,,,,,,,,,,,,,,,
70,1983,1.0,"0.036,263.18,","17.58,","48.33,",32.95,,,,,,,,,,,,,,,,
71,1983,2.0,"0.036,264.11,","21.25,","45.94,",33.6,,,,,,,,,,,,,,,,
72,1983,3.0,"0.037,264.51,","23.84,","44.72,",34.28,,,,,,,,,,,,,,,,
73,1983,4.0,"0.039,264.76,","25.29,","45.05,",35.17,,,,,,,,,,,,,,,,
74,1983,5.0,"0.041,266.47,","26.02,","41.86,",33.94,,,,,,,,,,,,,,,,
75,1983,6.0,"0.041,267.43,","24.59,","42.46,",33.53,,,,,,,,,,,,,,,,
76,1983,7.0,"0.042,268.71,","23.28,","42.52,",32.9,,,,,,,,,,,,,,,,
77,1983,8.0,"0.046,271.00,","23.27,","40.55,",31.91,,,,,,,,,,,,,,,,
78,1983,9.0,"0.053,274.04,","23.87,","38.12,",30.99,,,,,,,,,,,,,,,,
79,1983,10.0,"0.063,278.20,","24.42,","33.00,",28.71,,,,,,,,,,,,,,,,
80,1983,11.0,"0.073,281.64,","25.04,","28.27,",26.65,,,,,,,,,,,,,,,,
81,1983,12.0,"0.090,285.36,","27.31,","24.38,",25.84,,,,,,,,,,,,,,,,
82,1983,13.0,"0.112,289.21,","29.58,","19.12,",24.35,,,,,,,,,,,,,,,,
83,1983,14.0,"0.131,291.68,","30.47,","16.38,",23.42,,,,,,,,,,,,,,,,
84,1983,15.0,"0.152,293.94,","33.46,","15.10,",24.28,,,,,,,,,,,,,,,,
85,1983,16.0,"0.173,295.55,","31.49,","17.84,",24.66,,,,,,,,,,,,,,,,
86,1983,17.0,"0.194,296.99,","28.60,","20.61,",24.61,,,,,,,,,,,,,,,,
87,1983,18.0,"0.218,298.55,","27.33,","22.56,",24.94,,,,,,,,,,,,,,,,
88,1983,19.0,"0.237,299.15,","24.98,","30.41,",27.69,,,,,,,,,,,,,,,,
89,1983,20.0,"0.247,299.67,","21.63,","36.41,",29.02,,,,,,,,,,,,,,,,
90,1983,21.0,"0.255,300.28,","18.93,","39.20,",29.07,,,,,,,,,,,,,,,,
91,1983,22.0,"0.258,300.22,","16.75,","46.62,",31.68,,,,,,,,,,,,,,,,
92,1983,23.0,"0.261,300.02,","16.65,","53.68,",35.16,,,,,,,,,,,,,,,,
93,1983,24.0,"0.264,299.62,","16.82,","60.27,",38.55,,,,,,,,,,,,,,,,
94,1983,25.0,"0.271,299.52,","19.90,","64.59,",42.24,,,,,,,,,,,,,,,,
95,1983,26.0,"0.278,299.56,","24.80,","67.25,",46.03,,,,,,,,,,,,,,,,
96,1983,27.0,"0.279,299.47,","28.26,","71.16,",49.71,,,,,,,,,,,,,,,,
97,1983,28.0,"0.275,299.03,","30.01,","75.51,",52.76,,,,,,,,,,,,,,,,
98,1983,29.0,"0.269,298.70,","30.87,","78.03,",54.45,,,,,,,,,,,,,,,,
99,1983,30.0,"0.261,298.17,","30.46,","81.20,",55.83,,,,,,,,,,,,,,,,
100,1983,31.0,"0.261,298.06,","34.12,","80.28,",57.2,,,,,,,,,,,,,,,,
101,1983,32.0,"0.262,298.60,","38.82,","72.87,",55.84,,,,,,,,,,,,,,,,
102,1983,33.0,"0.261,299.28,","42.18,","63.24,",52.71,,,,,,,,,,,,,,,,
103,1983,34.0,"0.257,299.70,","44.70,","55.16,",49.93,,,,,,,,,,,,,,,,
104,1983,35.0,"0.250,300.34,","46.76,","41.54,",44.15,,,,,,,,,,,,,,,,
105,1983,36.0,"0.236,300.32,","46.00,","28.93,",37.46,,,,,,,,,,,,,,,,
106,1983,37.0,"0.218,299.78,","42.44,","20.55,",31.5,,,,,,,,,,,,,,,,
107,1983,38.0,"0.197,298.59,","37.60,","17.48,",27.54,,,,,,,,,,,,,,,,
108,1983,39.0,"0.178,296.72,","33.52,","18.51,",26.01,,,,,,,,,,,,,,,,
109,1983,40.0,"0.160,294.52,","30.81,","19.83,",25.32,,,,,,,,,,,,,,,,
110,1983,41.0,"0.140,291.41,","27.30,","25.38,",26.34,,,,,,,,,,,,,,,,
111,1983,42.0,"0.120,287.89,","24.80,","32.49,",28.65,,,,,,,,,,,,,,,,
112,1983,43.0,"0.101,283.90,","22.26,","43.61,",32.93,,,,,,,,,,,,,,,,
113,1983,44.0,"0.086,279.03,","20.44,","54.66,",37.55,,,,,,,,,,,,,,,,
114,1983,45.0,"0.074,275.36,","19.05,","58.75,",38.9,,,,,,,,,,,,,,,,
115,1983,46.0,"0.065,271.93,","18.36,","62.94,",40.65,,,,,,,,,,,,,,,,
116,1983,47.0,"0.059,268.39,","18.91,","69.35,",44.13,,,,,,,,,,,,,,,,
117,1983,48.0,"0.055,265.48,","20.49,","72.17,",46.33,,,,,,,,,,,,,,,,
118,1983,49.0,"0.051,262.07,","21.09,","74.29,",47.69,,,,,,,,,,,,,,,,
119,1983,50.0,"0.046,259.00,","19.82,","75.14,",47.48,,,,,,,,,,,,,,,,
120,1983,51.0,"0.042,256.95,","19.23,","75.83,",47.53,,,,,,,,,,,,,,,,
121,1983,52.0,"0.041,255.63,","19.41,","75.04,",47.22,,,,,,,,,,,,,,,,
122,1984,1.0,"0.040,255.01,","21.29,","74.64,",47.97,,,,,,,,,,,,,,,,
123,1984,2.0,"0.038,253.75,","23.06,","78.69,",50.87,,,,,,,,,,,,,,,,
124,1984,3.0,"0.036,251.81,","23.07,","83.12,",53.1,,,,,,,,,,,,,,,,
125,1984,4.0,"0.034,250.39,","21.83,","86.16,",53.99,,,,,,,,,,,,,,,,
126,1984,5.0,"0.031,249.30,","19.41,","89.97,",54.69,,,,,,,,,,,,,,,,
127,1984,6.0,"0.029,249.41,","17.19,","92.70,",54.94,,,,,,,,,,,,,,,,
128,1984,7.0,"0.028,250.40,","14.61,","93.42,",54.02,,,,,,,,,,,,,,,,
129,1984,8.0,"0.029,251.72,","13.15,","94.08,",53.61,,,,,,,,,,,,,,,,
130,1984,9.0,"0.029,254.38,","11.29,","93.46,",52.37,,,,,,,,,,,,,,,,
131,1984,10.0,"0.029,257.42,","7.56,","93.00,",50.28,,,,,,,,,,,,,,,,
132,1984,11.0,"0.034,262.35,","6.23,","89.77,",48.0,,,,,,,,,,,,,,,,
133,1984,12.0,"0.044,269.04,","6.03,","82.58,",44.3,,,,,,,,,,,,,,,,
134,1984,13.0,"0.054,275.47,","4.41,","73.45,",38.93,,,,,,,,,,,,,,,,
135,1984,14.0,"0.070,281.34,","5.65,","64.57,",35.11,,,,,,,,,,,,,,,,
136,1984,15.0,"0.092,286.00,","10.34,","60.37,",35.36,,,,,,,,,,,,,,,,
137,1984,16.0,"0.118,289.42,","11.15,","62.76,",36.96,,,,,,,,,,,,,,,,
138,1984,17.0,"0.152,292.26,","13.38,","61.65,",37.52,,,,,,,,,,,,,,,,
139,1984,18.0,"0.191,294.13,","17.57,","62.85,",40.21,,,,,,,,,,,,,,,,
140,1984,19.0,"0.231,295.50,","22.55,","65.42,",43.99,,,,,,,,,,,,,,,,
141,1984,20.0,"0.271,296.63,","29.83,","64.63,",47.23,,,,,,,,,,,,,,,,
142,1984,21.0,"0.306,297.09,","37.93,","67.28,",52.6,,,,,,,,,,,,,,,,
143,1984,22.0,"0.331,296.91,","44.92,","74.55,",59.74,,,,,,,,,,,,,,,,
144,1984,23.0,"0.348,296.26,","52.36,","84.16,",68.26,,,,,,,,,,,,,,,,
145,1984,24.0,"0.366,296.37,","62.70,","86.52,",74.61,,,,,,,,,,,,,,,,
146,1984,25.0,"0.383,296.92,","72.77,","86.24,",79.5,,,,,,,,,,,,,,,,
147,1984,26.0,"0.390,296.89,","78.39,","89.15,",83.77,,,,,,,,,,,,,,,,
148,1984,27.0,"0.392,297.01,","82.03,","90.75,",86.39,,,,,,,,,,,,,,,,
149,1984,28.0,"0.391,297.32,","84.34,","88.86,",86.6,,,,,,,,,,,,,,,,
150,1984,29.0,"0.383,297.55,","83.41,","87.10,",85.25,,,,,,,,,,,,,,,,
151,1984,30.0,"0.368,297.60,","79.76,","85.78,",82.77,,,,,,,,,,,,,,,,
152,1984,31.0,"0.350,297.31,","76.19,","86.02,",81.11,,,,,,,,,,,,,,,,
153,1984,32.0,"0.336,297.29,","75.88,","82.79,",79.34,,,,,,,,,,,,,,,,
154,1984,33.0,"0.327,297.18,","77.11,","79.61,",78.36,,,,,,,,,,,,,,,,
155,1984,34.0,"0.313,296.86,","75.45,","78.84,",77.14,,,,,,,,,,,,,,,,
156,1984,35.0,"0.292,296.42,","70.82,","76.87,",73.84,,,,,,,,,,,,,,,,
157,1984,36.0,"0.267,295.93,","63.93,","70.95,",67.44,,,,,,,,,,,,,,,,
158,1984,37.0,"0.238,295.44,","54.46,","62.98,",58.72,,,,,,,,,,,,,,,,
159,1984,38.0,"0.208,294.44,","44.02,","59.69,",51.86,,,,,,,,,,,,,,,,
160,1984,39.0,"0.182,292.96,","35.68,","59.87,",47.78,,,,,,,,,,,,,,,,
161,1984,40.0,"0.161,291.21,","30.91,","57.57,",44.24,,,,,,,,,,,,,,,,
162,1984,41.0,"0.146,289.20,","29.88,","49.82,",39.85,,,,,,,,,,,,,,,,
163,1984,42.0,"0.130,286.90,","29.18,","43.29,",36.24,,,,,,,,,,,,,,,,
164,1984,43.0,"0.110,283.72,","26.13,","45.74,",35.93,,,,,,,,,,,,,,,,
165,1984,44.0,"0.090,279.63,","22.16,","51.28,",36.72,,,,,,,,,,,,,,,,
166,1984,45.0,"0.077,274.67,","20.49,","62.92,",41.71,,,,,,,,,,,,,,,,
167,1984,46.0,"0.064,270.55,","18.04,","70.25,",44.14,,,,,,,,,,,,,,,,
168,1984,47.0,"0.055,267.82,","16.86,","72.46,",44.66,,,,,,,,,,,,,,,,
169,1984,48.0,"0.050,265.95,","17.61,","70.61,",44.11,,,,,,,,,,,,,,,,
170,1984,49.0,"0.043,266.78,","16.39,","55.64,",36.02,,,,,,,,,,,,,,,,
171,1985,9.0,"0.020,262.68,","7.48,","70.20,",38.84,,,,,,,,,,,,,,,,
172,1985,10.0,"0.018,260.99,","4.68,","81.35,",43.01,,,,,,,,,,,,,,,,
173,1985,11.0,"0.021,263.92,","3.01,","82.33,",42.67,,,,,,,,,,,,,,,,
174,1985,12.0,"0.026,267.52,","1.79,","82.99,",42.39,,,,,,,,,,,,,,,,
175,1985,13.0,"0.037,272.41,","1.10,","79.34,",40.22,,,,,,,,,,,,,,,,
176,1985,14.0,"0.052,278.63,","2.12,","71.48,",36.8,,,,,,,,,,,,,,,,
177,1985,15.0,"0.072,283.77,","3.77,","70.57,",37.17,,,,,,,,,,,,,,,,
178,1985,16.0,"0.099,287.71,","5.14,","72.34,",38.74,,,,,,,,,,,,,,,,
179,1985,17.0,"0.137,290.39,","8.41,","74.71,",41.56,,,,,,,,,,,,,,,,
180,1985,18.0,"0.179,292.72,","13.17,","73.95,",43.56,,,,,,,,,,,,,,,,
181,1985,19.0,"0.216,294.94,","16.99,","69.90,",43.44,,,,,,,,,,,,,,,,
182,1985,20.0,"0.250,296.43,","22.00,","66.21,",44.1,,,,,,,,,,,,,,,,
183,1985,21.0,"0.278,295.84,","27.44,","77.91,",52.68,,,,,,,,,,,,,,,,
184,1985,22.0,"0.304,295.64,","34.77,","85.09,",59.93,,,,,,,,,,,,,,,,
185,1985,23.0,"0.324,296.07,","43.45,","85.95,",64.7,,,,,,,,,,,,,,,,
186,1985,24.0,"0.339,296.13,","50.81,","88.65,",69.73,,,,,,,,,,,,,,,,
187,1985,25.0,"0.349,296.50,","56.92,","89.84,",73.38,,,,,,,,,,,,,,,,
188,1985,26.0,"0.351,296.75,","59.63,","90.39,",75.01,,,,,,,,,,,,,,,,
189,1985,27.0,"0.349,297.12,","61.33,","89.94,",75.63,,,,,,,,,,,,,,,,
190,1985,28.0,"0.346,297.75,","63.34,","85.63,",74.48,,,,,,,,,,,,,,,,
191,1985,29.0,"0.344,298.49,","65.62,","79.93,",72.77,,,,,,,,,,,,,,,,
192,1985,30.0,"0.341,299.21,","67.47,","73.41,",70.44,,,,,,,,,,,,,,,,
193,1985,31.0,"0.332,300.04,","67.75,","64.83,",66.29,,,,,,,,,,,,,,,,
194,1985,32.0,"0.322,300.74,","69.09,","55.59,",62.34,,,,,,,,,,,,,,,,
195,1985,33.0,"0.311,301.14,","68.61,","47.60,",58.11,,,,,,,,,,,,,,,,
196,1985,34.0,"0.293,300.96,","65.20,","43.77,",54.48,,,,,,,,,,,,,,,,
197,1985,35.0,"0.275,300.21,","61.45,","41.96,",51.71,,,,,,,,,,,,,,,,
198,1985,36.0,"0.255,298.74,","57.52,","43.16,",50.34,,,,,,,,,,,,,,,,
199,1985,37.0,"0.232,296.99,","51.93,","46.87,",49.4,,,,,,,,,,,,,,,,
200,1985,38.0,"0.214,295.37,","48.36,","49.26,",48.81,,,,,,,,,,,,,,,,
201,1985,39.0,"0.196,293.68,","44.83,","51.02,",47.93,,,,,,,,,,,,,,,,
202,1985,40.0,"0.175,291.59,","39.70,","52.19,",45.94,,,,,,,,,,,,,,,,
203,1985,41.0,"0.154,289.02,","35.33,","50.96,",43.15,,,,,,,,,,,,,,,,
204,1985,42.0,"0.135,286.45,","32.32,","47.14,",39.73,,,,,,,,,,,,,,,,
205,1985,43.0,"0.116,283.98,","29.24,","43.45,",36.35,,,,,,,,,,,,,,,,
206,1985,44.0,"0.100,281.26,","27.05,","40.88,",33.96,,,,,,,,,,,,,,,,
207,1985,45.0,"0.083,278.17,","23.57,","43.54,",33.55,,,,,,,,,,,,,,,,
208,1985,46.0,"0.066,274.81,","18.58,","48.94,",33.76,,,,,,,,,,,,,,,,
209,1985,47.0,"0.048,271.88,","12.62,","53.29,",32.95,,,,,,,,,,,,,,,,
210,1985,48.0,"0.038,268.95,","9.56,","57.47,",33.52,,,,,,,,,,,,,,,,
211,1985,49.0,"0.033,266.25,","8.25,","58.05,",33.15,,,,,,,,,,,,,,,,
212,1985,50.0,"0.029,263.40,","7.09,","59.10,",33.1,,,,,,,,,,,,,,,,
213,1985,51.0,"0.029,260.99,","8.07,","61.21,",34.64,,,,,,,,,,,,,,,,
214,1985,52.0,"0.028,258.64,","8.90,","64.33,",36.62,,,,,,,,,,,,,,,,
215,1986,1.0,"0.028,257.28,","11.74,","66.22,",38.98,,,,,,,,,,,,,,,,
216,1986,2.0,"0.029,257.14,","16.09,","66.86,",41.47,,,,,,,,,,,,,,,,
217,1986,3.0,"0.029,257.43,","17.79,","65.61,",41.7,,,,,,,,,,,,,,,,
218,1986,4.0,"0.027,257.77,","16.98,","64.98,",40.98,,,,,,,,,,,,,,,,
219,1986,5.0,"0.025,257.38,","15.14,","67.37,",41.26,,,,,,,,,,,,,,,,
220,1986,6.0,"0.023,257.63,","13.66,","69.88,",41.77,,,,,,,,,,,,,,,,
221,1986,7.0,"0.023,259.19,","11.72,","69.07,",40.39,,,,,,,,,,,,,,,,
222,1986,8.0,"0.024,260.67,","10.22,","69.58,",39.9,,,,,,,,,,,,,,,,
223,1986,9.0,"0.026,262.87,","9.78,","70.05,",39.91,,,,,,,,,,,,,,,,
224,1986,10.0,"0.032,266.20,","8.95,","68.26,",38.6,,,,,,,,,,,,,,,,
225,1986,11.0,"0.046,271.03,","12.01,","62.80,",37.41,,,,,,,,,,,,,,,,
226,1986,12.0,"0.066,277.41,","15.98,","53.45,",34.72,,,,,,,,,,,,,,,,
227,1986,13.0,"0.092,284.26,","20.38,","39.24,",29.81,,,,,,,,,,,,,,,,
228,1986,14.0,"0.123,289.07,","26.89,","28.94,",27.91,,,,,,,,,,,,,,,,
229,1986,15.0,"0.156,292.81,","34.15,","21.81,",27.98,,,,,,,,,,,,,,,,
230,1986,16.0,"0.186,295.09,","35.55,","21.36,",28.46,,,,,,,,,,,,,,,,
231,1986,17.0,"0.218,297.06,","37.03,","20.48,",28.76,,,,,,,,,,,,,,,,
232,1986,18.0,"0.252,298.43,","39.47,","24.06,",31.77,,,,,,,,,,,,,,,,
233,1986,19.0,"0.277,299.79,","39.83,","25.22,",32.52,,,,,,,,,,,,,,,,
234,1986,20.0,"0.294,301.39,","39.17,","21.86,",30.52,,,,,,,,,,,,,,,,
235,1986,21.0,"0.302,302.17,","36.91,","24.00,",30.46,,,,,,,,,,,,,,,,
236,1986,22.0,"0.302,302.42,","33.34,","29.32,",31.33,,,,,,,,,,,,,,,,
237,1986,23.0,"0.296,302.56,","29.52,","34.20,",31.86,,,,,,,,,,,,,,,,
238,1986,24.0,"0.289,302.53,","26.18,","37.62,",31.9,,,,,,,,,,,,,,,,
239,1986,25.0,"0.279,302.67,","22.37,","39.21,",30.79,,,,,,,,,,,,,,,,
240,1986,26.0,"0.268,302.81,","19.58,","41.24,",30.41,,,,,,,,,,,,,,,,
241,1986,27.0,"0.260,302.61,","18.93,","46.69,",32.81,,,,,,,,,,,,,,,,
242,1986,28.0,"0.251,302.40,","19.29,","49.93,",34.61,,,,,,,,,,,,,,,,
243,1986,29.0,"0.245,302.43,","20.21,","49.63,",34.92,,,,,,,,,,,,,,,,
244,1986,30.0,"0.245,302.86,","23.33,","45.28,",34.3,,,,,,,,,,,,,,,,
245,1986,31.0,"0.246,303.50,","27.32,","38.30,",32.81,,,,,,,,,,,,,,,,
246,1986,32.0,"0.243,303.27,","29.68,","36.07,",32.87,,,,,,,,,,,,,,,,
247,1986,33.0,"0.239,303.30,","31.26,","30.71,",30.98,,,,,,,,,,,,,,,,
248,1986,34.0,"0.233,303.25,","32.14,","24.92,",28.53,,,,,,,,,,,,,,,,
249,1986,35.0,"0.219,302.40,","29.59,","22.71,",26.15,,,,,,,,,,,,,,,,
250,1986,36.0,"0.201,300.87,","26.43,","23.59,",25.01,,,,,,,,,,,,,,,,
251,1986,37.0,"0.184,299.09,","23.47,","27.07,",25.27,,,,,,,,,,,,,,,,
252,1986,38.0,"0.167,296.92,","21.08,","34.17,",27.62,,,,,,,,,,,,,,,,
253,1986,39.0,"0.150,294.55,","18.31,","42.01,",30.16,,,,,,,,,,,,,,,,
254,1986,40.0,"0.128,291.49,","14.16,","53.31,",33.73,,,,,,,,,,,,,,,,
255,1986,41.0,"0.105,288.50,","9.82,","55.30,",32.56,,,,,,,,,,,,,,,,
256,1986,42.0,"0.083,285.98,","7.27,","49.20,",28.24,,,,,,,,,,,,,,,,
257,1986,43.0,"0.066,282.65,","5.77,","52.22,",28.99,,,,,,,,,,,,,,,,
258,1986,44.0,"0.053,278.94,","4.83,","55.23,",30.03,,,,,,,,,,,,,,,,
259,1986,45.0,"0.044,276.06,","4.15,","55.31,",29.73,,,,,,,,,,,,,,,,
260,1986,46.0,"0.037,273.56,","4.01,","55.47,",29.74,,,,,,,,,,,,,,,,
261,1986,47.0,"0.034,271.32,","4.71,","56.28,",30.49,,,,,,,,,,,,,,,,
262,1986,48.0,"0.030,268.40,","4.50,","60.21,",32.35,,,,,,,,,,,,,,,,
263,1986,49.0,"0.028,264.89,","4.70,","63.87,",34.28,,,,,,,,,,,,,,,,
264,1986,50.0,"0.028,262.25,","5.69,","63.76,",34.72,,,,,,,,,,,,,,,,
265,1986,51.0,"0.028,259.84,","6.84,","65.87,",36.35,,,,,,,,,,,,,,,,
266,1986,52.0,"0.028,257.45,","7.96,","68.96,",38.46,,,,,,,,,,,,,,,,
267,1987,1.0,"0.027,254.78,","10.06,","75.28,",42.67,,,,,,,,,,,,,,,,
268,1987,2.0,"0.026,253.56,","13.52,","79.38,",46.45,,,,,,,,,,,,,,,,
269,1987,3.0,"0.025,253.51,","15.20,","78.38,",46.79,,,,,,,,,,,,,,,,
270,1987,4.0,"0.023,253.89,","14.33,","76.68,",45.5,,,,,,,,,,,,,,,,
271,1987,5.0,"0.021,254.12,","12.94,","76.97,",44.96,,,,,,,,,,,,,,,,
272,1987,6.0,"0.021,255.61,","12.21,","75.80,",44.0,,,,,,,,,,,,,,,,
273,1987,7.0,"0.022,258.20,","10.96,","71.99,",41.48,,,,,,,,,,,,,,,,
274,1987,8.0,"0.023,260.22,","10.11,","70.66,",40.38,,,,,,,,,,,,,,,,
275,1987,9.0,"0.026,261.87,","9.94,","72.44,",41.19,,,,,,,,,,,,,,,,
276,1987,10.0,"0.031,263.23,","8.61,","76.13,",42.37,,,,,,,,,,,,,,,,
277,1987,11.0,"0.034,264.58,","6.48,","81.84,",44.16,,,,,,,,,,,,,,,,
278,1987,12.0,"0.039,266.75,","4.04,","87.78,",45.91,,,,,,,,,,,,,,,,
