,Mean,data,for,UKR,Province=,18:,"Poltava,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
113,1983,44.0,"0.098,274.94,","26.28,","55.08,",40.68,,,,,,,,,,,,,,,,
114,1983,45.0,"0.081,270.72,","23.23,","60.76,",42.0,,,,,,,,,,,,,,,,
115,1983,46.0,"0.068,267.00,","22.79,","64.13,",43.46,,,,,,,,,,,,,,,,
116,1983,47.0,"0.060,264.16,","23.86,","63.45,",43.65,,,,,,,,,,,,,,,,
117,1983,48.0,"0.057,261.97,","28.79,","63.62,",46.21,,,,,,,,,,,,,,,,
118,1983,49.0,"0.053,260.63,","30.26,","61.52,",45.89,,,,,,,,,,,,,,,,
119,1983,50.0,"0.052,259.31,","34.39,","58.26,",46.33,,,,,,,,,,,,,,,,
120,1983,51.0,"0.051,257.61,","39.70,","59.00,",49.35,,,,,,,,,,,,,,,,
121,1983,52.0,"0.049,255.19,","44.43,","65.13,",54.78,,,,,,,,,,,,,,,,
122,1984,1.0,"0.048,253.69,","50.61,","68.59,",59.6,,,,,,,,,,,,,,,,
123,1984,2.0,"0.047,253.00,","51.55,","69.82,",60.68,,,,,,,,,,,,,,,,
124,1984,3.0,"0.048,253.15,","51.72,","70.17,",60.95,,,,,,,,,,,,,,,,
125,1984,4.0,"0.048,254.12,","50.82,","67.88,",59.35,,,,,,,,,,,,,,,,
126,1984,5.0,"0.047,255.70,","46.87,","64.27,",55.57,,,,,,,,,,,,,,,,
127,1984,6.0,"0.045,256.02,","40.56,","64.34,",52.45,,,,,,,,,,,,,,,,
128,1984,7.0,"0.045,256.26,","33.92,","64.97,",49.44,,,,,,,,,,,,,,,,
129,1984,8.0,"0.047,256.72,","30.25,","67.95,",49.1,,,,,,,,,,,,,,,,
130,1984,9.0,"0.050,258.79,","28.29,","66.71,",47.5,,,,,,,,,,,,,,,,
131,1984,10.0,"0.054,263.01,","26.01,","61.90,",43.96,,,,,,,,,,,,,,,,
132,1984,11.0,"0.061,267.84,","25.51,","55.97,",40.74,,,,,,,,,,,,,,,,
133,1984,12.0,"0.074,272.85,","27.78,","51.61,",39.7,,,,,,,,,,,,,,,,
134,1984,13.0,"0.092,278.11,","31.29,","44.68,",37.99,,,,,,,,,,,,,,,,
135,1984,14.0,"0.114,283.35,","34.97,","33.31,",34.14,,,,,,,,,,,,,,,,
136,1984,15.0,"0.139,287.14,","36.04,","26.93,",31.48,,,,,,,,,,,,,,,,
137,1984,16.0,"0.165,289.62,","35.87,","26.27,",31.07,,,,,,,,,,,,,,,,
138,1984,17.0,"0.196,292.28,","35.89,","24.64,",30.26,,,,,,,,,,,,,,,,
139,1984,18.0,"0.231,294.19,","36.61,","27.20,",31.9,,,,,,,,,,,,,,,,
140,1984,19.0,"0.267,295.26,","35.41,","34.17,",34.79,,,,,,,,,,,,,,,,
141,1984,20.0,"0.301,295.90,","33.00,","42.00,",37.5,,,,,,,,,,,,,,,,
142,1984,21.0,"0.333,296.21,","32.87,","49.63,",41.25,,,,,,,,,,,,,,,,
143,1984,22.0,"0.357,296.06,","31.14,","57.26,",44.2,,,,,,,,,,,,,,,,
144,1984,23.0,"0.373,295.59,","28.85,","66.55,",47.7,,,,,,,,,,,,,,,,
145,1984,24.0,"0.385,295.28,","27.99,","73.01,",50.5,,,,,,,,,,,,,,,,
146,1984,25.0,"0.394,295.34,","32.46,","74.52,",53.49,,,,,,,,,,,,,,,,
147,1984,26.0,"0.399,295.54,","36.42,","73.40,",54.91,,,,,,,,,,,,,,,,
148,1984,27.0,"0.396,295.85,","37.26,","70.33,",53.8,,,,,,,,,,,,,,,,
149,1984,28.0,"0.391,296.13,","37.90,","68.24,",53.07,,,,,,,,,,,,,,,,
150,1984,29.0,"0.384,296.35,","38.66,","69.07,",53.87,,,,,,,,,,,,,,,,
151,1984,30.0,"0.373,296.48,","38.59,","71.59,",55.09,,,,,,,,,,,,,,,,
152,1984,31.0,"0.358,296.41,","36.54,","73.91,",55.23,,,,,,,,,,,,,,,,
153,1984,32.0,"0.345,296.33,","35.36,","73.10,",54.23,,,,,,,,,,,,,,,,
154,1984,33.0,"0.332,295.93,","35.78,","73.46,",54.62,,,,,,,,,,,,,,,,
155,1984,34.0,"0.317,295.45,","37.06,","70.21,",53.63,,,,,,,,,,,,,,,,
156,1984,35.0,"0.295,294.52,","35.44,","68.14,",51.79,,,,,,,,,,,,,,,,
157,1984,36.0,"0.271,293.44,","32.40,","63.58,",47.99,,,,,,,,,,,,,,,,
158,1984,37.0,"0.247,292.50,","29.72,","53.83,",41.78,,,,,,,,,,,,,,,,
159,1984,38.0,"0.220,291.10,","25.69,","51.05,",38.37,,,,,,,,,,,,,,,,
160,1984,39.0,"0.193,288.88,","21.90,","54.97,",38.44,,,,,,,,,,,,,,,,
161,1984,40.0,"0.171,286.17,","21.13,","60.12,",40.63,,,,,,,,,,,,,,,,
162,1984,41.0,"0.154,283.86,","23.16,","57.23,",40.19,,,,,,,,,,,,,,,,
163,1984,42.0,"0.139,281.86,","26.79,","50.66,",38.72,,,,,,,,,,,,,,,,
164,1984,43.0,"0.120,279.53,","28.92,","46.86,",37.89,,,,,,,,,,,,,,,,
165,1984,44.0,"0.102,277.05,","29.53,","39.28,",34.4,,,,,,,,,,,,,,,,
166,1984,45.0,"0.092,274.73,","31.48,","33.85,",32.66,,,,,,,,,,,,,,,,
167,1984,46.0,"0.077,272.26,","30.39,","32.75,",31.57,,,,,,,,,,,,,,,,
168,1984,47.0,"0.066,270.56,","30.04,","27.45,",28.75,,,,,,,,,,,,,,,,
169,1984,48.0,"0.058,269.56,","31.49,","22.70,",27.1,,,,,,,,,,,,,,,,
170,1984,49.0,"0.055,269.54,","33.94,","17.29,",25.62,,,,,,,,,,,,,,,,
171,1985,9.0,"0.031,267.56,","16.49,","38.95,",27.72,,,,,,,,,,,,,,,,
172,1985,10.0,"0.030,268.47,","12.39,","44.13,",28.26,,,,,,,,,,,,,,,,
173,1985,11.0,"0.034,270.34,","11.41,","47.32,",29.37,,,,,,,,,,,,,,,,
174,1985,12.0,"0.043,273.39,","12.64,","49.47,",31.06,,,,,,,,,,,,,,,,
175,1985,13.0,"0.060,277.79,","15.89,","46.10,",30.99,,,,,,,,,,,,,,,,
176,1985,14.0,"0.083,282.39,","21.02,","38.35,",29.68,,,,,,,,,,,,,,,,
177,1985,15.0,"0.115,286.23,","25.76,","32.54,",29.15,,,,,,,,,,,,,,,,
178,1985,16.0,"0.152,289.37,","30.60,","28.18,",29.39,,,,,,,,,,,,,,,,
179,1985,17.0,"0.195,291.77,","36.04,","28.67,",32.36,,,,,,,,,,,,,,,,
180,1985,18.0,"0.239,293.71,","40.62,","31.68,",36.15,,,,,,,,,,,,,,,,
181,1985,19.0,"0.285,295.53,","43.51,","32.11,",37.81,,,,,,,,,,,,,,,,
182,1985,20.0,"0.321,296.00,","43.00,","41.59,",42.3,,,,,,,,,,,,,,,,
183,1985,21.0,"0.355,296.10,","45.00,","51.32,",48.16,,,,,,,,,,,,,,,,
184,1985,22.0,"0.380,296.17,","45.20,","56.55,",50.87,,,,,,,,,,,,,,,,
185,1985,23.0,"0.388,295.51,","39.11,","67.71,",53.41,,,,,,,,,,,,,,,,
186,1985,24.0,"0.390,294.59,","31.57,","80.36,",55.97,,,,,,,,,,,,,,,,
187,1985,25.0,"0.392,294.36,","30.92,","84.64,",57.78,,,,,,,,,,,,,,,,
188,1985,26.0,"0.392,294.35,","32.04,","85.70,",58.87,,,,,,,,,,,,,,,,
189,1985,27.0,"0.384,294.33,","30.05,","86.27,",58.16,,,,,,,,,,,,,,,,
190,1985,28.0,"0.376,294.41,","29.08,","86.54,",57.81,,,,,,,,,,,,,,,,
191,1985,29.0,"0.374,294.96,","33.23,","84.13,",58.68,,,,,,,,,,,,,,,,
192,1985,30.0,"0.372,295.61,","38.01,","80.82,",59.42,,,,,,,,,,,,,,,,
193,1985,31.0,"0.371,296.39,","42.39,","74.27,",58.33,,,,,,,,,,,,,,,,
194,1985,32.0,"0.365,296.76,","45.24,","68.81,",57.02,,,,,,,,,,,,,,,,
195,1985,33.0,"0.356,296.93,","48.10,","63.18,",55.64,,,,,,,,,,,,,,,,
196,1985,34.0,"0.345,296.67,","50.70,","57.06,",53.88,,,,,,,,,,,,,,,,
197,1985,35.0,"0.327,295.73,","51.33,","54.46,",52.9,,,,,,,,,,,,,,,,
198,1985,36.0,"0.304,294.00,","49.24,","56.78,",53.01,,,,,,,,,,,,,,,,
199,1985,37.0,"0.276,291.74,","44.60,","63.06,",53.83,,,,,,,,,,,,,,,,
200,1985,38.0,"0.247,289.73,","39.55,","68.74,",54.14,,,,,,,,,,,,,,,,
201,1985,39.0,"0.220,287.67,","35.40,","70.60,",53.0,,,,,,,,,,,,,,,,
202,1985,40.0,"0.194,285.17,","32.80,","73.23,",53.02,,,,,,,,,,,,,,,,
203,1985,41.0,"0.177,282.77,","35.17,","71.92,",53.54,,,,,,,,,,,,,,,,
204,1985,42.0,"0.162,280.90,","39.94,","62.08,",51.01,,,,,,,,,,,,,,,,
205,1985,43.0,"0.147,279.05,","45.12,","51.12,",48.12,,,,,,,,,,,,,,,,
206,1985,44.0,"0.134,276.76,","49.80,","41.14,",45.47,,,,,,,,,,,,,,,,
207,1985,45.0,"0.112,273.98,","45.75,","38.72,",42.23,,,,,,,,,,,,,,,,
208,1985,46.0,"0.086,271.10,","36.65,","39.83,",38.24,,,,,,,,,,,,,,,,
209,1985,47.0,"0.062,267.74,","25.72,","43.59,",34.66,,,,,,,,,,,,,,,,
210,1985,48.0,"0.047,263.54,","19.54,","54.80,",37.17,,,,,,,,,,,,,,,,
211,1985,49.0,"0.040,258.95,","16.97,","68.74,",42.85,,,,,,,,,,,,,,,,
212,1985,50.0,"0.034,255.16,","13.91,","76.22,",45.06,,,,,,,,,,,,,,,,
213,1985,51.0,"0.029,252.47,","14.61,","80.54,",47.58,,,,,,,,,,,,,,,,
214,1985,52.0,"0.027,250.71,","17.34,","82.62,",49.98,,,,,,,,,,,,,,,,
215,1986,1.0,"0.025,248.92,","21.23,","86.72,",53.97,,,,,,,,,,,,,,,,
216,1986,2.0,"0.025,248.77,","22.85,","85.88,",54.37,,,,,,,,,,,,,,,,
217,1986,3.0,"0.025,251.88,","24.68,","74.91,",49.8,,,,,,,,,,,,,,,,
218,1986,4.0,"0.026,255.23,","25.46,","63.54,",44.5,,,,,,,,,,,,,,,,
219,1986,5.0,"0.027,257.74,","25.52,","56.94,",41.23,,,,,,,,,,,,,,,,
220,1986,6.0,"0.027,260.07,","23.25,","50.81,",37.03,,,,,,,,,,,,,,,,
221,1986,7.0,"0.027,262.69,","18.66,","44.62,",31.64,,,,,,,,,,,,,,,,
222,1986,8.0,"0.027,265.83,","16.18,","39.10,",27.64,,,,,,,,,,,,,,,,
223,1986,9.0,"0.030,268.71,","16.14,","35.59,",25.87,,,,,,,,,,,,,,,,
224,1986,10.0,"0.034,271.67,","14.86,","33.96,",24.41,,,,,,,,,,,,,,,,
225,1986,11.0,"0.045,276.09,","17.12,","27.26,",22.19,,,,,,,,,,,,,,,,
226,1986,12.0,"0.063,281.03,","22.19,","19.77,",20.98,,,,,,,,,,,,,,,,
227,1986,13.0,"0.085,284.98,","27.76,","14.45,",21.11,,,,,,,,,,,,,,,,
228,1986,14.0,"0.112,287.13,","34.01,","15.15,",24.58,,,,,,,,,,,,,,,,
229,1986,15.0,"0.142,289.18,","37.21,","16.21,",26.71,,,,,,,,,,,,,,,,
230,1986,16.0,"0.172,291.30,","38.88,","15.87,",27.37,,,,,,,,,,,,,,,,
231,1986,17.0,"0.211,292.61,","42.31,","22.38,",32.34,,,,,,,,,,,,,,,,
232,1986,18.0,"0.257,294.00,","47.56,","29.19,",38.37,,,,,,,,,,,,,,,,
233,1986,19.0,"0.298,295.62,","48.66,","31.19,",39.93,,,,,,,,,,,,,,,,
234,1986,20.0,"0.337,297.30,","49.78,","27.68,",38.73,,,,,,,,,,,,,,,,
235,1986,21.0,"0.371,298.47,","52.28,","24.82,",38.55,,,,,,,,,,,,,,,,
236,1986,22.0,"0.395,299.19,","52.96,","23.62,",38.29,,,,,,,,,,,,,,,,
237,1986,23.0,"0.404,299.61,","48.45,","24.35,",36.4,,,,,,,,,,,,,,,,
238,1986,24.0,"0.403,299.69,","39.85,","26.91,",33.38,,,,,,,,,,,,,,,,
239,1986,25.0,"0.398,299.74,","34.47,","28.35,",31.41,,,,,,,,,,,,,,,,
240,1986,26.0,"0.387,299.58,","29.25,","30.84,",30.05,,,,,,,,,,,,,,,,
241,1986,27.0,"0.378,299.35,","26.98,","33.18,",30.08,,,,,,,,,,,,,,,,
242,1986,28.0,"0.371,299.43,","27.03,","32.79,",29.91,,,,,,,,,,,,,,,,
243,1986,29.0,"0.364,299.82,","28.49,","31.67,",30.08,,,,,,,,,,,,,,,,
244,1986,30.0,"0.358,300.21,","31.75,","31.90,",31.82,,,,,,,,,,,,,,,,
245,1986,31.0,"0.349,300.43,","32.11,","32.22,",32.16,,,,,,,,,,,,,,,,
246,1986,32.0,"0.336,300.10,","30.85,","34.30,",32.58,,,,,,,,,,,,,,,,
247,1986,33.0,"0.322,299.73,","31.01,","34.22,",32.61,,,,,,,,,,,,,,,,
248,1986,34.0,"0.301,298.78,","28.69,","34.63,",31.66,,,,,,,,,,,,,,,,
249,1986,35.0,"0.280,297.85,","27.32,","31.10,",29.21,,,,,,,,,,,,,,,,
250,1986,36.0,"0.255,296.17,","23.26,","32.25,",27.75,,,,,,,,,,,,,,,,
251,1986,37.0,"0.231,293.72,","20.59,","39.20,",29.9,,,,,,,,,,,,,,,,
252,1986,38.0,"0.209,291.07,","19.21,","52.03,",35.62,,,,,,,,,,,,,,,,
253,1986,39.0,"0.187,288.46,","17.90,","60.97,",39.43,,,,,,,,,,,,,,,,
254,1986,40.0,"0.162,285.90,","16.14,","64.24,",40.19,,,,,,,,,,,,,,,,
255,1986,41.0,"0.138,283.22,","14.84,","65.76,",40.3,,,,,,,,,,,,,,,,
256,1986,42.0,"0.113,280.31,","13.15,","67.26,",40.2,,,,,,,,,,,,,,,,
257,1986,43.0,"0.087,277.24,","10.23,","66.26,",38.25,,,,,,,,,,,,,,,,
258,1986,44.0,"0.065,273.86,","7.03,","63.15,",35.09,,,,,,,,,,,,,,,,
259,1986,45.0,"0.052,271.14,","5.09,","57.96,",31.53,,,,,,,,,,,,,,,,
260,1986,46.0,"0.043,269.16,","4.61,","51.38,",27.99,,,,,,,,,,,,,,,,
261,1986,47.0,"0.037,267.57,","5.72,","44.56,",25.14,,,,,,,,,,,,,,,,
262,1986,48.0,"0.034,266.39,","7.71,","39.69,",23.7,,,,,,,,,,,,,,,,
263,1986,49.0,"0.030,263.92,","7.80,","44.69,",26.24,,,,,,,,,,,,,,,,
264,1986,50.0,"0.029,260.33,","8.65,","52.38,",30.52,,,,,,,,,,,,,,,,
265,1986,51.0,"0.029,256.52,","14.20,","62.90,",38.55,,,,,,,,,,,,,,,,
266,1986,52.0,"0.029,253.39,","20.19,","71.90,",46.04,,,,,,,,,,,,,,,,
267,1987,1.0,"0.028,250.88,","24.28,","79.64,",51.96,,,,,,,,,,,,,,,,
268,1987,2.0,"0.027,249.02,","25.05,","85.96,",55.51,,,,,,,,,,,,,,,,
269,1987,3.0,"0.026,247.97,","24.87,","91.52,",58.19,,,,,,,,,,,,,,,,
270,1987,4.0,"0.022,248.19,","20.52,","91.61,",56.07,,,,,,,,,,,,,,,,
271,1987,5.0,"0.018,249.14,","15.92,","89.28,",52.6,,,,,,,,,,,,,,,,
272,1987,6.0,"0.016,250.08,","12.21,","85.62,",48.91,,,,,,,,,,,,,,,,
273,1987,7.0,"0.014,251.53,","8.41,","81.02,",44.71,,,,,,,,,,,,,,,,
274,1987,8.0,"0.014,253.30,","6.95,","79.37,",43.16,,,,,,,,,,,,,,,,
275,1987,9.0,"0.013,255.92,","5.61,","76.36,",40.99,,,,,,,,,,,,,,,,
276,1987,10.0,"0.013,257.84,","2.61,","79.36,",40.99,,,,,,,,,,,,,,,,
277,1987,11.0,"0.014,260.29,","0.72,","82.85,",41.78,,,,,,,,,,,,,,,,
278,1987,12.0,"0.018,263.28,","0.23,","88.85,",44.54,,,,,,,,,,,,,,,,
