,Mean,data,for,UKR,Province=,3:,"Chernivtsi,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
42,1982,25.0,"0.402,292.34,","18.06,","72.44,",45.25,,,,,,,,,,,,,,,,
43,1982,26.0,"0.411,292.52,","18.93,","72.53,",45.73,,,,,,,,,,,,,,,,
44,1982,27.0,"0.417,292.85,","19.99,","73.64,",46.81,,,,,,,,,,,,,,,,
45,1982,28.0,"0.416,293.09,","20.03,","74.52,",47.27,,,,,,,,,,,,,,,,
46,1982,29.0,"0.424,293.66,","28.81,","68.18,",48.49,,,,,,,,,,,,,,,,
47,1982,30.0,"0.430,294.08,","37.98,","62.21,",50.09,,,,,,,,,,,,,,,,
48,1982,31.0,"0.434,294.49,","42.53,","55.97,",49.25,,,,,,,,,,,,,,,,
49,1982,32.0,"0.435,294.92,","45.19,","48.99,",47.09,,,,,,,,,,,,,,,,
50,1982,33.0,"0.434,295.08,","46.76,","42.95,",44.86,,,,,,,,,,,,,,,,
51,1982,34.0,"0.428,295.10,","46.34,","37.30,",41.82,,,,,,,,,,,,,,,,
52,1982,35.0,"0.414,294.95,","45.53,","29.90,",37.71,,,,,,,,,,,,,,,,
53,1982,36.0,"0.391,294.55,","42.74,","23.04,",32.89,,,,,,,,,,,,,,,,
54,1982,37.0,"0.362,293.72,","37.90,","20.40,",29.15,,,,,,,,,,,,,,,,
55,1982,38.0,"0.335,292.33,","32.50,","21.43,",26.97,,,,,,,,,,,,,,,,
56,1982,39.0,"0.303,290.28,","25.03,","28.65,",26.84,,,,,,,,,,,,,,,,
57,1982,40.0,"0.270,288.28,","18.32,","36.53,",27.43,,,,,,,,,,,,,,,,
58,1982,41.0,"0.243,286.95,","17.07,","29.69,",23.38,,,,,,,,,,,,,,,,
59,1982,42.0,"0.224,285.53,","21.75,","23.13,",22.44,,,,,,,,,,,,,,,,
60,1982,43.0,"0.201,283.69,","25.92,","21.91,",23.92,,,,,,,,,,,,,,,,
61,1982,44.0,"0.178,281.79,","29.86,","17.57,",23.71,,,,,,,,,,,,,,,,
62,1982,45.0,"0.154,279.66,","32.17,","15.72,",23.94,,,,,,,,,,,,,,,,
63,1982,46.0,"0.134,277.44,","33.57,","18.00,",25.79,,,,,,,,,,,,,,,,
64,1982,47.0,"0.117,275.17,","35.22,","21.16,",28.19,,,,,,,,,,,,,,,,
65,1982,48.0,"0.102,272.50,","35.92,","26.98,",31.45,,,,,,,,,,,,,,,,
66,1982,49.0,"0.091,270.04,","36.42,","30.75,",33.58,,,,,,,,,,,,,,,,
67,1982,50.0,"0.081,267.72,","37.26,","32.27,",34.77,,,,,,,,,,,,,,,,
68,1982,51.0,"0.073,265.64,","40.09,","34.08,",37.09,,,,,,,,,,,,,,,,
69,1982,52.0,"0.065,264.18,","39.16,","38.04,",38.6,,,,,,,,,,,,,,,,
70,1983,1.0,"0.059,264.08,","34.68,","39.40,",37.04,,,,,,,,,,,,,,,,
71,1983,2.0,"0.058,265.35,","33.38,","36.39,",34.89,,,,,,,,,,,,,,,,
72,1983,3.0,"0.060,266.84,","35.31,","32.87,",34.09,,,,,,,,,,,,,,,,
73,1983,4.0,"0.064,267.98,","35.89,","31.95,",33.92,,,,,,,,,,,,,,,,
74,1983,5.0,"0.067,269.00,","36.15,","30.77,",33.46,,,,,,,,,,,,,,,,
75,1983,6.0,"0.068,270.08,","33.04,","31.84,",32.44,,,,,,,,,,,,,,,,
76,1983,7.0,"0.070,271.81,","30.63,","31.56,",31.1,,,,,,,,,,,,,,,,
77,1983,8.0,"0.075,273.84,","30.45,","30.69,",30.57,,,,,,,,,,,,,,,,
78,1983,9.0,"0.083,275.89,","31.50,","30.76,",31.13,,,,,,,,,,,,,,,,
79,1983,10.0,"0.094,278.65,","33.03,","28.06,",30.54,,,,,,,,,,,,,,,,
80,1983,11.0,"0.107,280.76,","33.75,","25.72,",29.74,,,,,,,,,,,,,,,,
81,1983,12.0,"0.125,282.27,","35.08,","29.01,",32.05,,,,,,,,,,,,,,,,
82,1983,13.0,"0.143,283.60,","35.21,","32.45,",33.83,,,,,,,,,,,,,,,,
83,1983,14.0,"0.163,284.96,","35.49,","34.31,",34.9,,,,,,,,,,,,,,,,
84,1983,15.0,"0.185,286.46,","36.49,","34.54,",35.52,,,,,,,,,,,,,,,,
85,1983,16.0,"0.217,287.93,","37.95,","36.15,",37.05,,,,,,,,,,,,,,,,
86,1983,17.0,"0.254,289.29,","39.79,","39.67,",39.73,,,,,,,,,,,,,,,,
87,1983,18.0,"0.300,290.78,","44.93,","40.74,",42.83,,,,,,,,,,,,,,,,
88,1983,19.0,"0.342,291.79,","48.41,","42.71,",45.56,,,,,,,,,,,,,,,,
89,1983,20.0,"0.375,292.75,","49.47,","42.91,",46.19,,,,,,,,,,,,,,,,
90,1983,21.0,"0.397,292.96,","46.64,","49.11,",47.88,,,,,,,,,,,,,,,,
91,1983,22.0,"0.412,293.06,","43.04,","53.78,",48.41,,,,,,,,,,,,,,,,
92,1983,23.0,"0.426,293.28,","43.00,","55.57,",49.29,,,,,,,,,,,,,,,,
93,1983,24.0,"0.424,292.73,","37.35,","64.66,",51.01,,,,,,,,,,,,,,,,
94,1983,25.0,"0.426,292.50,","34.27,","69.85,",52.06,,,,,,,,,,,,,,,,
95,1983,26.0,"0.434,292.68,","35.36,","70.07,",52.72,,,,,,,,,,,,,,,,
96,1983,27.0,"0.433,292.69,","32.19,","75.47,",53.83,,,,,,,,,,,,,,,,
97,1983,28.0,"0.417,292.27,","24.45,","84.93,",54.69,,,,,,,,,,,,,,,,
98,1983,29.0,"0.401,291.72,","18.52,","92.69,",55.61,,,,,,,,,,,,,,,,
99,1983,30.0,"0.383,291.37,","13.86,","94.94,",54.4,,,,,,,,,,,,,,,,
100,1983,31.0,"0.383,291.50,","16.32,","93.24,",54.78,,,,,,,,,,,,,,,,
101,1983,32.0,"0.387,292.03,","19.33,","86.98,",53.15,,,,,,,,,,,,,,,,
102,1983,33.0,"0.395,292.87,","24.85,","73.57,",49.21,,,,,,,,,,,,,,,,
103,1983,34.0,"0.404,293.37,","31.78,","61.26,",46.52,,,,,,,,,,,,,,,,
104,1983,35.0,"0.407,294.06,","41.14,","41.71,",41.42,,,,,,,,,,,,,,,,
105,1983,36.0,"0.401,294.16,","48.20,","27.70,",37.95,,,,,,,,,,,,,,,,
106,1983,37.0,"0.378,293.54,","46.33,","21.96,",34.15,,,,,,,,,,,,,,,,
107,1983,38.0,"0.355,292.55,","43.47,","18.89,",31.18,,,,,,,,,,,,,,,,
108,1983,39.0,"0.336,291.19,","42.84,","19.25,",31.05,,,,,,,,,,,,,,,,
109,1983,40.0,"0.308,289.49,","39.63,","22.14,",30.89,,,,,,,,,,,,,,,,
110,1983,41.0,"0.275,287.17,","34.84,","26.71,",30.77,,,,,,,,,,,,,,,,
111,1983,42.0,"0.238,284.49,","29.57,","34.49,",32.03,,,,,,,,,,,,,,,,
112,1983,43.0,"0.195,281.71,","23.76,","40.07,",31.91,,,,,,,,,,,,,,,,
113,1983,44.0,"0.158,278.20,","20.21,","44.88,",32.55,,,,,,,,,,,,,,,,
114,1983,45.0,"0.130,275.08,","20.48,","43.17,",31.83,,,,,,,,,,,,,,,,
115,1983,46.0,"0.107,271.95,","20.81,","45.52,",33.16,,,,,,,,,,,,,,,,
116,1983,47.0,"0.089,269.28,","21.31,","48.00,",34.65,,,,,,,,,,,,,,,,
117,1983,48.0,"0.073,267.72,","21.29,","47.85,",34.57,,,,,,,,,,,,,,,,
118,1983,49.0,"0.060,266.06,","19.15,","48.09,",33.62,,,,,,,,,,,,,,,,
119,1983,50.0,"0.050,264.55,","17.43,","46.36,",31.89,,,,,,,,,,,,,,,,
120,1983,51.0,"0.046,263.96,","20.91,","41.94,",31.43,,,,,,,,,,,,,,,,
121,1983,52.0,"0.048,263.66,","26.58,","41.06,",33.82,,,,,,,,,,,,,,,,
122,1984,1.0,"0.052,263.12,","29.93,","43.67,",36.8,,,,,,,,,,,,,,,,
123,1984,2.0,"0.053,261.55,","30.08,","50.03,",40.06,,,,,,,,,,,,,,,,
124,1984,3.0,"0.050,259.89,","27.86,","57.45,",42.65,,,,,,,,,,,,,,,,
125,1984,4.0,"0.047,258.98,","23.32,","62.14,",42.73,,,,,,,,,,,,,,,,
126,1984,5.0,"0.044,257.76,","19.69,","67.53,",43.61,,,,,,,,,,,,,,,,
127,1984,6.0,"0.041,257.09,","15.81,","72.95,",44.38,,,,,,,,,,,,,,,,
128,1984,7.0,"0.041,257.33,","12.95,","77.50,",45.23,,,,,,,,,,,,,,,,
129,1984,8.0,"0.041,258.65,","11.67,","80.97,",46.32,,,,,,,,,,,,,,,,
130,1984,9.0,"0.042,260.96,","10.58,","81.62,",46.1,,,,,,,,,,,,,,,,
131,1984,10.0,"0.045,263.07,","8.86,","82.51,",45.68,,,,,,,,,,,,,,,,
132,1984,11.0,"0.053,266.26,","8.35,","79.75,",44.05,,,,,,,,,,,,,,,,
133,1984,12.0,"0.066,270.95,","8.06,","73.67,",40.87,,,,,,,,,,,,,,,,
134,1984,13.0,"0.083,275.59,","7.72,","67.52,",37.62,,,,,,,,,,,,,,,,
135,1984,14.0,"0.105,279.54,","9.44,","63.08,",36.26,,,,,,,,,,,,,,,,
136,1984,15.0,"0.125,282.28,","10.75,","62.04,",36.4,,,,,,,,,,,,,,,,
137,1984,16.0,"0.149,284.70,","10.08,","60.68,",35.38,,,,,,,,,,,,,,,,
138,1984,17.0,"0.178,286.72,","9.41,","60.32,",34.87,,,,,,,,,,,,,,,,
139,1984,18.0,"0.216,288.09,","12.14,","63.78,",37.96,,,,,,,,,,,,,,,,
140,1984,19.0,"0.258,289.14,","15.15,","66.93,",41.04,,,,,,,,,,,,,,,,
141,1984,20.0,"0.300,289.82,","18.43,","70.83,",44.63,,,,,,,,,,,,,,,,
142,1984,21.0,"0.342,290.35,","21.68,","75.04,",48.36,,,,,,,,,,,,,,,,
143,1984,22.0,"0.375,290.63,","24.30,","78.42,",51.36,,,,,,,,,,,,,,,,
144,1984,23.0,"0.393,290.36,","25.25,","85.09,",55.17,,,,,,,,,,,,,,,,
145,1984,24.0,"0.413,290.64,","29.85,","87.26,",58.55,,,,,,,,,,,,,,,,
146,1984,25.0,"0.426,291.22,","32.29,","85.12,",58.71,,,,,,,,,,,,,,,,
147,1984,26.0,"0.430,291.47,","29.98,","85.21,",57.59,,,,,,,,,,,,,,,,
148,1984,27.0,"0.433,292.01,","28.20,","84.16,",56.18,,,,,,,,,,,,,,,,
149,1984,28.0,"0.438,292.48,","32.17,","82.45,",57.31,,,,,,,,,,,,,,,,
150,1984,29.0,"0.446,293.07,","39.70,","75.69,",57.7,,,,,,,,,,,,,,,,
151,1984,30.0,"0.451,293.52,","47.29,","68.93,",58.11,,,,,,,,,,,,,,,,
152,1984,31.0,"0.447,293.59,","47.74,","67.35,",57.55,,,,,,,,,,,,,,,,
153,1984,32.0,"0.448,293.61,","51.18,","66.56,",58.87,,,,,,,,,,,,,,,,
154,1984,33.0,"0.444,293.19,","52.31,","69.34,",60.82,,,,,,,,,,,,,,,,
155,1984,34.0,"0.439,292.89,","52.78,","68.08,",60.43,,,,,,,,,,,,,,,,
156,1984,35.0,"0.422,292.37,","50.84,","63.63,",57.23,,,,,,,,,,,,,,,,
157,1984,36.0,"0.396,291.57,","46.16,","57.62,",51.89,,,,,,,,,,,,,,,,
158,1984,37.0,"0.369,290.68,","42.85,","51.47,",47.16,,,,,,,,,,,,,,,,
159,1984,38.0,"0.339,289.41,","35.71,","50.37,",43.04,,,,,,,,,,,,,,,,
160,1984,39.0,"0.307,287.68,","28.16,","54.35,",41.26,,,,,,,,,,,,,,,,
161,1984,40.0,"0.279,285.79,","24.13,","64.05,",44.09,,,,,,,,,,,,,,,,
162,1984,41.0,"0.255,283.90,","23.93,","65.29,",44.61,,,,,,,,,,,,,,,,
163,1984,42.0,"0.226,282.09,","24.00,","61.44,",42.72,,,,,,,,,,,,,,,,
164,1984,43.0,"0.190,279.15,","21.25,","63.70,",42.47,,,,,,,,,,,,,,,,
165,1984,44.0,"0.152,275.55,","17.13,","64.43,",40.78,,,,,,,,,,,,,,,,
166,1984,45.0,"0.122,270.73,","16.44,","68.81,",42.62,,,,,,,,,,,,,,,,
167,1984,46.0,"0.095,267.23,","14.69,","69.18,",41.93,,,,,,,,,,,,,,,,
168,1984,47.0,"0.077,265.44,","14.76,","65.90,",40.33,,,,,,,,,,,,,,,,
169,1984,48.0,"0.065,265.17,","16.90,","59.42,",38.16,,,,,,,,,,,,,,,,
170,1984,49.0,"0.058,266.12,","16.81,","48.10,",32.46,,,,,,,,,,,,,,,,
171,1985,9.0,"0.061,265.49,","19.89,","61.68,",40.79,,,,,,,,,,,,,,,,
172,1985,10.0,"0.065,264.38,","17.94,","71.61,",44.78,,,,,,,,,,,,,,,,
173,1985,11.0,"0.076,268.88,","18.58,","64.87,",41.72,,,,,,,,,,,,,,,,
174,1985,12.0,"0.095,273.53,","20.60,","58.96,",39.78,,,,,,,,,,,,,,,,
175,1985,13.0,"0.125,278.89,","25.68,","48.99,",37.34,,,,,,,,,,,,,,,,
176,1985,14.0,"0.160,283.88,","33.24,","36.73,",34.98,,,,,,,,,,,,,,,,
177,1985,15.0,"0.198,287.67,","40.79,","24.99,",32.89,,,,,,,,,,,,,,,,
178,1985,16.0,"0.238,290.12,","45.69,","19.50,",32.6,,,,,,,,,,,,,,,,
179,1985,17.0,"0.279,291.66,","48.44,","20.60,",34.52,,,,,,,,,,,,,,,,
180,1985,18.0,"0.317,292.63,","50.59,","24.25,",37.42,,,,,,,,,,,,,,,,
181,1985,19.0,"0.354,293.38,","51.88,","27.36,",39.62,,,,,,,,,,,,,,,,
182,1985,20.0,"0.382,293.90,","51.16,","31.23,",41.2,,,,,,,,,,,,,,,,
183,1985,21.0,"0.402,293.38,","47.58,","45.02,",46.3,,,,,,,,,,,,,,,,
184,1985,22.0,"0.420,293.22,","46.34,","52.46,",49.4,,,,,,,,,,,,,,,,
185,1985,23.0,"0.431,292.97,","45.71,","58.99,",52.35,,,,,,,,,,,,,,,,
186,1985,24.0,"0.436,292.37,","44.72,","68.77,",56.75,,,,,,,,,,,,,,,,
187,1985,25.0,"0.438,292.29,","42.89,","72.42,",57.65,,,,,,,,,,,,,,,,
188,1985,26.0,"0.439,292.57,","40.24,","71.30,",55.77,,,,,,,,,,,,,,,,
189,1985,27.0,"0.444,293.17,","40.21,","69.56,",54.89,,,,,,,,,,,,,,,,
190,1985,28.0,"0.450,294.03,","43.48,","62.50,",52.99,,,,,,,,,,,,,,,,
191,1985,29.0,"0.457,294.82,","49.32,","53.22,",51.27,,,,,,,,,,,,,,,,
192,1985,30.0,"0.465,295.57,","57.66,","43.32,",50.49,,,,,,,,,,,,,,,,
193,1985,31.0,"0.471,296.34,","62.94,","31.73,",47.33,,,,,,,,,,,,,,,,
194,1985,32.0,"0.473,296.60,","66.87,","26.49,",46.68,,,,,,,,,,,,,,,,
195,1985,33.0,"0.465,296.32,","64.75,","26.09,",45.42,,,,,,,,,,,,,,,,
196,1985,34.0,"0.449,295.82,","58.92,","27.76,",43.34,,,,,,,,,,,,,,,,
197,1985,35.0,"0.427,294.73,","53.15,","33.06,",43.11,,,,,,,,,,,,,,,,
198,1985,36.0,"0.407,293.13,","52.14,","39.75,",45.94,,,,,,,,,,,,,,,,
199,1985,37.0,"0.387,291.43,","51.57,","43.60,",47.59,,,,,,,,,,,,,,,,
200,1985,38.0,"0.365,289.92,","48.48,","45.16,",46.82,,,,,,,,,,,,,,,,
201,1985,39.0,"0.340,288.31,","44.59,","47.91,",46.25,,,,,,,,,,,,,,,,
202,1985,40.0,"0.305,286.23,","36.89,","59.00,",47.94,,,,,,,,,,,,,,,,
203,1985,41.0,"0.262,284.00,","26.57,","64.23,",45.4,,,,,,,,,,,,,,,,
204,1985,42.0,"0.220,282.17,","19.32,","60.54,",39.93,,,,,,,,,,,,,,,,
205,1985,43.0,"0.186,280.19,","18.35,","54.12,",36.23,,,,,,,,,,,,,,,,
206,1985,44.0,"0.158,277.97,","19.42,","46.43,",32.93,,,,,,,,,,,,,,,,
207,1985,45.0,"0.130,275.11,","19.36,","43.06,",31.21,,,,,,,,,,,,,,,,
208,1985,46.0,"0.098,271.45,","14.76,","48.48,",31.62,,,,,,,,,,,,,,,,
209,1985,47.0,"0.074,268.70,","10.56,","51.32,",30.94,,,,,,,,,,,,,,,,
210,1985,48.0,"0.058,265.96,","9.12,","56.25,",32.68,,,,,,,,,,,,,,,,
211,1985,49.0,"0.052,263.49,","9.87,","58.99,",34.43,,,,,,,,,,,,,,,,
212,1985,50.0,"0.049,261.30,","12.65,","58.49,",35.57,,,,,,,,,,,,,,,,
213,1985,51.0,"0.046,259.71,","17.98,","56.64,",37.31,,,,,,,,,,,,,,,,
214,1985,52.0,"0.044,258.37,","21.44,","58.43,",39.94,,,,,,,,,,,,,,,,
215,1986,1.0,"0.042,256.29,","19.71,","66.16,",42.94,,,,,,,,,,,,,,,,
216,1986,2.0,"0.043,255.24,","20.56,","71.53,",46.04,,,,,,,,,,,,,,,,
217,1986,3.0,"0.044,255.40,","21.63,","72.57,",47.1,,,,,,,,,,,,,,,,
218,1986,4.0,"0.044,255.69,","20.19,","72.74,",46.47,,,,,,,,,,,,,,,,
219,1986,5.0,"0.042,255.62,","17.61,","74.49,",46.05,,,,,,,,,,,,,,,,
220,1986,6.0,"0.042,256.32,","15.32,","75.52,",45.42,,,,,,,,,,,,,,,,
221,1986,7.0,"0.042,257.94,","13.23,","76.16,",44.69,,,,,,,,,,,,,,,,
222,1986,8.0,"0.043,260.71,","12.12,","74.91,",43.51,,,,,,,,,,,,,,,,
223,1986,9.0,"0.047,263.47,","12.90,","73.50,",43.2,,,,,,,,,,,,,,,,
224,1986,10.0,"0.057,266.70,","14.49,","69.69,",42.09,,,,,,,,,,,,,,,,
225,1986,11.0,"0.074,270.61,","17.78,","62.53,",40.15,,,,,,,,,,,,,,,,
226,1986,12.0,"0.096,275.89,","21.17,","52.45,",36.81,,,,,,,,,,,,,,,,
227,1986,13.0,"0.125,281.55,","26.23,","38.78,",32.51,,,,,,,,,,,,,,,,
228,1986,14.0,"0.163,285.68,","34.98,","27.89,",31.43,,,,,,,,,,,,,,,,
229,1986,15.0,"0.208,289.00,","45.12,","16.79,",30.95,,,,,,,,,,,,,,,,
230,1986,16.0,"0.254,291.26,","51.96,","11.22,",31.59,,,,,,,,,,,,,,,,
231,1986,17.0,"0.309,292.89,","60.08,","10.82,",35.45,,,,,,,,,,,,,,,,
232,1986,18.0,"0.360,294.15,","66.85,","10.91,",38.88,,,,,,,,,,,,,,,,
233,1986,19.0,"0.397,295.09,","68.09,","11.60,",39.84,,,,,,,,,,,,,,,,
234,1986,20.0,"0.424,295.97,","67.05,","11.58,",39.32,,,,,,,,,,,,,,,,
235,1986,21.0,"0.439,296.37,","62.84,","15.39,",39.11,,,,,,,,,,,,,,,,
236,1986,22.0,"0.452,296.49,","59.69,","19.46,",39.58,,,,,,,,,,,,,,,,
237,1986,23.0,"0.461,296.59,","58.64,","22.12,",40.38,,,,,,,,,,,,,,,,
238,1986,24.0,"0.464,296.43,","55.93,","24.16,",40.05,,,,,,,,,,,,,,,,
239,1986,25.0,"0.463,296.36,","52.40,","23.65,",38.03,,,,,,,,,,,,,,,,
240,1986,26.0,"0.458,296.22,","46.20,","26.17,",36.19,,,,,,,,,,,,,,,,
241,1986,27.0,"0.452,296.05,","40.43,","32.93,",36.68,,,,,,,,,,,,,,,,
242,1986,28.0,"0.440,295.84,","33.86,","38.53,",36.19,,,,,,,,,,,,,,,,
243,1986,29.0,"0.424,295.83,","27.28,","40.37,",33.82,,,,,,,,,,,,,,,,
244,1986,30.0,"0.417,296.06,","28.17,","37.86,",33.01,,,,,,,,,,,,,,,,
245,1986,31.0,"0.415,296.31,","29.36,","33.04,",31.2,,,,,,,,,,,,,,,,
246,1986,32.0,"0.413,296.02,","29.85,","35.32,",32.58,,,,,,,,,,,,,,,,
247,1986,33.0,"0.409,295.78,","29.85,","34.44,",32.15,,,,,,,,,,,,,,,,
248,1986,34.0,"0.403,295.33,","29.08,","34.96,",32.02,,,,,,,,,,,,,,,,
249,1986,35.0,"0.393,294.67,","31.17,","34.09,",32.63,,,,,,,,,,,,,,,,
250,1986,36.0,"0.380,293.80,","34.36,","32.11,",33.23,,,,,,,,,,,,,,,,
251,1986,37.0,"0.361,292.67,","35.03,","31.26,",33.15,,,,,,,,,,,,,,,,
252,1986,38.0,"0.341,291.41,","33.41,","30.57,",31.99,,,,,,,,,,,,,,,,
253,1986,39.0,"0.316,289.94,","30.76,","31.77,",31.27,,,,,,,,,,,,,,,,
254,1986,40.0,"0.291,288.34,","28.80,","35.30,",32.05,,,,,,,,,,,,,,,,
255,1986,41.0,"0.257,286.50,","24.35,","34.61,",29.48,,,,,,,,,,,,,,,,
256,1986,42.0,"0.224,284.74,","21.75,","31.63,",26.69,,,,,,,,,,,,,,,,
257,1986,43.0,"0.191,282.36,","20.63,","33.93,",27.28,,,,,,,,,,,,,,,,
258,1986,44.0,"0.160,279.87,","20.19,","32.10,",26.15,,,,,,,,,,,,,,,,
259,1986,45.0,"0.134,278.02,","20.50,","25.58,",23.04,,,,,,,,,,,,,,,,
260,1986,46.0,"0.111,276.13,","19.91,","24.54,",22.22,,,,,,,,,,,,,,,,
261,1986,47.0,"0.094,274.07,","20.21,","26.18,",23.19,,,,,,,,,,,,,,,,
262,1986,48.0,"0.081,271.49,","21.12,","31.52,",26.32,,,,,,,,,,,,,,,,
263,1986,49.0,"0.071,268.04,","21.04,","39.89,",30.47,,,,,,,,,,,,,,,,
264,1986,50.0,"0.063,264.75,","22.89,","45.77,",34.33,,,,,,,,,,,,,,,,
265,1986,51.0,"0.057,262.07,","26.83,","50.46,",38.64,,,,,,,,,,,,,,,,
266,1986,52.0,"0.052,259.08,","27.62,","59.55,",43.58,,,,,,,,,,,,,,,,
267,1987,1.0,"0.049,256.89,","25.40,","68.59,",47.0,,,,,,,,,,,,,,,,
268,1987,2.0,"0.047,255.60,","24.09,","73.83,",48.96,,,,,,,,,,,,,,,,
269,1987,3.0,"0.046,255.33,","23.83,","75.58,",49.71,,,,,,,,,,,,,,,,
270,1987,4.0,"0.045,255.44,","21.44,","74.92,",48.18,,,,,,,,,,,,,,,,
271,1987,5.0,"0.045,256.07,","19.44,","73.42,",46.43,,,,,,,,,,,,,,,,
272,1987,6.0,"0.046,257.64,","17.91,","71.76,",44.84,,,,,,,,,,,,,,,,
273,1987,7.0,"0.048,259.72,","16.50,","70.61,",43.56,,,,,,,,,,,,,,,,
274,1987,8.0,"0.050,261.66,","16.04,","72.17,",44.11,,,,,,,,,,,,,,,,
275,1987,9.0,"0.054,262.84,","16.51,","76.55,",46.53,,,,,,,,,,,,,,,,
276,1987,10.0,"0.057,264.29,","14.53,","79.41,",46.97,,,,,,,,,,,,,,,,
277,1987,11.0,"0.059,266.36,","10.96,","79.69,",45.33,,,,,,,,,,,,,,,,
278,1987,12.0,"0.068,269.31,","8.39,","79.27,",43.83,,,,,,,,,,,,,,,,
