,Mean,data,for,UKR,Province=,1:,"Cherkasy,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
60,1982,43.0,"0.147,280.78,","35.06,","34.47,",34.76,,,,,,,,,,,,,,,,
61,1982,44.0,"0.126,279.06,","35.39,","22.51,",28.95,,,,,,,,,,,,,,,,
62,1982,45.0,"0.105,277.36,","32.35,","16.01,",24.18,,,,,,,,,,,,,,,,
63,1982,46.0,"0.088,275.31,","32.21,","15.45,",23.83,,,,,,,,,,,,,,,,
64,1982,47.0,"0.072,272.39,","29.41,","21.78,",25.6,,,,,,,,,,,,,,,,
65,1982,48.0,"0.061,269.21,","28.24,","31.16,",29.7,,,,,,,,,,,,,,,,
66,1982,49.0,"0.052,266.27,","25.02,","38.86,",31.94,,,,,,,,,,,,,,,,
67,1982,50.0,"0.044,263.47,","22.98,","43.60,",33.29,,,,,,,,,,,,,,,,
68,1982,51.0,"0.044,261.27,","28.58,","44.64,",36.61,,,,,,,,,,,,,,,,
69,1982,52.0,"0.044,260.47,","31.78,","42.52,",37.15,,,,,,,,,,,,,,,,
70,1983,1.0,"0.042,260.46,","32.51,","38.52,",35.52,,,,,,,,,,,,,,,,
71,1983,2.0,"0.041,260.74,","32.31,","36.91,",34.61,,,,,,,,,,,,,,,,
72,1983,3.0,"0.042,260.68,","34.90,","37.82,",36.36,,,,,,,,,,,,,,,,
73,1983,4.0,"0.045,260.72,","37.87,","39.24,",38.56,,,,,,,,,,,,,,,,
74,1983,5.0,"0.045,260.77,","37.32,","42.44,",39.88,,,,,,,,,,,,,,,,
75,1983,6.0,"0.044,260.43,","32.86,","49.14,",41.0,,,,,,,,,,,,,,,,
76,1983,7.0,"0.044,261.08,","29.76,","53.18,",41.47,,,,,,,,,,,,,,,,
77,1983,8.0,"0.049,262.65,","29.39,","54.87,",42.13,,,,,,,,,,,,,,,,
78,1983,9.0,"0.056,265.42,","30.87,","53.78,",42.32,,,,,,,,,,,,,,,,
79,1983,10.0,"0.068,269.12,","32.35,","50.97,",41.66,,,,,,,,,,,,,,,,
80,1983,11.0,"0.083,273.39,","34.28,","42.77,",38.52,,,,,,,,,,,,,,,,
81,1983,12.0,"0.102,277.45,","37.17,","38.00,",37.59,,,,,,,,,,,,,,,,
82,1983,13.0,"0.128,281.90,","42.60,","31.26,",36.93,,,,,,,,,,,,,,,,
83,1983,14.0,"0.154,285.72,","45.99,","24.17,",35.08,,,,,,,,,,,,,,,,
84,1983,15.0,"0.183,288.62,","46.97,","21.68,",34.32,,,,,,,,,,,,,,,,
85,1983,16.0,"0.213,290.59,","46.18,","25.21,",35.7,,,,,,,,,,,,,,,,
86,1983,17.0,"0.248,292.50,","47.39,","27.73,",37.56,,,,,,,,,,,,,,,,
87,1983,18.0,"0.285,294.01,","49.40,","32.15,",40.77,,,,,,,,,,,,,,,,
88,1983,19.0,"0.324,294.93,","50.29,","39.52,",44.91,,,,,,,,,,,,,,,,
89,1983,20.0,"0.354,295.61,","48.31,","43.63,",45.97,,,,,,,,,,,,,,,,
90,1983,21.0,"0.375,296.06,","44.70,","46.47,",45.58,,,,,,,,,,,,,,,,
91,1983,22.0,"0.393,296.21,","41.82,","49.30,",45.56,,,,,,,,,,,,,,,,
92,1983,23.0,"0.402,295.89,","37.50,","54.92,",46.21,,,,,,,,,,,,,,,,
93,1983,24.0,"0.398,295.37,","30.08,","62.73,",46.41,,,,,,,,,,,,,,,,
94,1983,25.0,"0.395,295.55,","27.35,","63.44,",45.4,,,,,,,,,,,,,,,,
95,1983,26.0,"0.392,295.83,","26.21,","61.74,",43.97,,,,,,,,,,,,,,,,
96,1983,27.0,"0.384,295.84,","24.03,","63.71,",43.87,,,,,,,,,,,,,,,,
97,1983,28.0,"0.366,295.71,","19.88,","67.51,",43.7,,,,,,,,,,,,,,,,
98,1983,29.0,"0.345,295.61,","14.97,","71.10,",43.03,,,,,,,,,,,,,,,,
99,1983,30.0,"0.324,295.46,","12.14,","74.52,",43.33,,,,,,,,,,,,,,,,
100,1983,31.0,"0.317,295.23,","13.27,","76.96,",45.11,,,,,,,,,,,,,,,,
101,1983,32.0,"0.320,295.15,","18.15,","75.06,",46.6,,,,,,,,,,,,,,,,
102,1983,33.0,"0.322,295.03,","24.55,","70.56,",47.56,,,,,,,,,,,,,,,,
103,1983,34.0,"0.323,294.99,","31.25,","63.13,",47.19,,,,,,,,,,,,,,,,
104,1983,35.0,"0.327,295.09,","42.25,","48.99,",45.62,,,,,,,,,,,,,,,,
105,1983,36.0,"0.319,294.35,","48.60,","40.95,",44.78,,,,,,,,,,,,,,,,
106,1983,37.0,"0.302,293.30,","51.48,","35.49,",43.49,,,,,,,,,,,,,,,,
107,1983,38.0,"0.285,292.03,","52.88,","31.98,",42.43,,,,,,,,,,,,,,,,
108,1983,39.0,"0.264,290.00,","52.20,","35.99,",44.1,,,,,,,,,,,,,,,,
109,1983,40.0,"0.246,287.88,","52.61,","37.45,",45.03,,,,,,,,,,,,,,,,
110,1983,41.0,"0.223,285.68,","51.99,","34.42,",43.21,,,,,,,,,,,,,,,,
111,1983,42.0,"0.198,283.12,","51.57,","35.55,",43.56,,,,,,,,,,,,,,,,
112,1983,43.0,"0.171,280.43,","50.10,","39.02,",44.56,,,,,,,,,,,,,,,,
113,1983,44.0,"0.146,277.34,","48.14,","37.49,",42.81,,,,,,,,,,,,,,,,
114,1983,45.0,"0.124,274.36,","45.55,","36.55,",41.05,,,,,,,,,,,,,,,,
115,1983,46.0,"0.103,271.95,","42.99,","35.13,",39.06,,,,,,,,,,,,,,,,
116,1983,47.0,"0.087,269.05,","42.57,","39.45,",41.01,,,,,,,,,,,,,,,,
117,1983,48.0,"0.081,267.10,","46.31,","41.52,",43.91,,,,,,,,,,,,,,,,
118,1983,49.0,"0.072,265.72,","45.10,","41.40,",43.25,,,,,,,,,,,,,,,,
119,1983,50.0,"0.065,264.23,","45.56,","40.56,",43.06,,,,,,,,,,,,,,,,
120,1983,51.0,"0.058,261.83,","44.21,","42.68,",43.44,,,,,,,,,,,,,,,,
121,1983,52.0,"0.052,259.10,","41.31,","47.96,",44.63,,,,,,,,,,,,,,,,
122,1984,1.0,"0.050,257.42,","40.77,","49.92,",45.35,,,,,,,,,,,,,,,,
123,1984,2.0,"0.047,256.74,","39.32,","52.12,",45.72,,,,,,,,,,,,,,,,
124,1984,3.0,"0.044,255.68,","37.37,","57.52,",47.44,,,,,,,,,,,,,,,,
125,1984,4.0,"0.041,255.47,","34.55,","59.96,",47.25,,,,,,,,,,,,,,,,
126,1984,5.0,"0.039,256.11,","31.21,","60.19,",45.7,,,,,,,,,,,,,,,,
127,1984,6.0,"0.037,256.96,","27.71,","62.24,",44.98,,,,,,,,,,,,,,,,
128,1984,7.0,"0.037,257.88,","24.61,","64.98,",44.79,,,,,,,,,,,,,,,,
129,1984,8.0,"0.039,258.11,","22.89,","71.12,",47.0,,,,,,,,,,,,,,,,
130,1984,9.0,"0.041,260.37,","22.16,","71.96,",47.06,,,,,,,,,,,,,,,,
131,1984,10.0,"0.047,264.02,","20.48,","70.03,",45.26,,,,,,,,,,,,,,,,
132,1984,11.0,"0.057,268.33,","20.45,","62.93,",41.69,,,,,,,,,,,,,,,,
133,1984,12.0,"0.074,273.36,","22.30,","54.75,",38.52,,,,,,,,,,,,,,,,
134,1984,13.0,"0.094,278.76,","24.99,","45.15,",35.07,,,,,,,,,,,,,,,,
135,1984,14.0,"0.119,283.72,","27.85,","34.54,",31.19,,,,,,,,,,,,,,,,
136,1984,15.0,"0.149,287.22,","29.68,","30.80,",30.24,,,,,,,,,,,,,,,,
137,1984,16.0,"0.177,289.08,","28.91,","37.09,",33.0,,,,,,,,,,,,,,,,
138,1984,17.0,"0.208,290.91,","28.76,","42.40,",35.58,,,,,,,,,,,,,,,,
139,1984,18.0,"0.246,292.34,","30.62,","49.05,",39.84,,,,,,,,,,,,,,,,
140,1984,19.0,"0.290,293.17,","33.37,","58.50,",45.94,,,,,,,,,,,,,,,,
141,1984,20.0,"0.330,293.46,","35.18,","66.14,",50.66,,,,,,,,,,,,,,,,
142,1984,21.0,"0.362,293.35,","35.93,","73.96,",54.94,,,,,,,,,,,,,,,,
143,1984,22.0,"0.384,293.09,","34.85,","79.34,",57.09,,,,,,,,,,,,,,,,
144,1984,23.0,"0.399,292.66,","34.85,","85.04,",59.94,,,,,,,,,,,,,,,,
145,1984,24.0,"0.413,292.52,","38.86,","89.15,",64.01,,,,,,,,,,,,,,,,
146,1984,25.0,"0.423,292.82,","44.40,","89.90,",67.15,,,,,,,,,,,,,,,,
147,1984,26.0,"0.428,292.97,","47.19,","90.66,",68.92,,,,,,,,,,,,,,,,
148,1984,27.0,"0.428,293.36,","49.22,","90.06,",69.64,,,,,,,,,,,,,,,,
149,1984,28.0,"0.428,293.91,","54.02,","87.25,",70.64,,,,,,,,,,,,,,,,
150,1984,29.0,"0.422,294.22,","55.66,","86.36,",71.01,,,,,,,,,,,,,,,,
151,1984,30.0,"0.411,294.34,","55.34,","86.59,",70.96,,,,,,,,,,,,,,,,
152,1984,31.0,"0.398,294.16,","52.99,","87.95,",70.47,,,,,,,,,,,,,,,,
153,1984,32.0,"0.388,294.10,","52.46,","85.79,",69.13,,,,,,,,,,,,,,,,
154,1984,33.0,"0.376,293.67,","52.60,","85.00,",68.8,,,,,,,,,,,,,,,,
155,1984,34.0,"0.364,293.18,","52.75,","83.66,",68.2,,,,,,,,,,,,,,,,
156,1984,35.0,"0.344,292.36,","51.31,","81.23,",66.27,,,,,,,,,,,,,,,,
157,1984,36.0,"0.322,291.55,","50.19,","75.72,",62.95,,,,,,,,,,,,,,,,
158,1984,37.0,"0.299,290.75,","49.76,","68.11,",58.93,,,,,,,,,,,,,,,,
159,1984,38.0,"0.269,289.42,","44.54,","66.83,",55.69,,,,,,,,,,,,,,,,
160,1984,39.0,"0.241,287.63,","38.81,","68.36,",53.58,,,,,,,,,,,,,,,,
161,1984,40.0,"0.221,285.72,","37.10,","66.64,",51.87,,,,,,,,,,,,,,,,
162,1984,41.0,"0.206,283.56,","41.28,","63.12,",52.2,,,,,,,,,,,,,,,,
163,1984,42.0,"0.191,281.43,","46.63,","56.20,",51.41,,,,,,,,,,,,,,,,
164,1984,43.0,"0.169,278.99,","48.53,","53.32,",50.93,,,,,,,,,,,,,,,,
165,1984,44.0,"0.143,276.11,","46.49,","47.91,",47.2,,,,,,,,,,,,,,,,
166,1984,45.0,"0.120,272.45,","43.65,","49.55,",46.6,,,,,,,,,,,,,,,,
167,1984,46.0,"0.098,269.46,","40.26,","49.86,",45.06,,,,,,,,,,,,,,,,
168,1984,47.0,"0.084,267.56,","40.85,","47.54,",44.19,,,,,,,,,,,,,,,,
169,1984,48.0,"0.078,266.40,","44.35,","45.36,",44.85,,,,,,,,,,,,,,,,
170,1984,49.0,"0.075,267.15,","48.31,","35.63,",41.97,,,,,,,,,,,,,,,,
171,1985,9.0,"0.033,268.58,","16.59,","43.04,",29.82,,,,,,,,,,,,,,,,
172,1985,10.0,"0.034,269.50,","12.99,","49.84,",31.42,,,,,,,,,,,,,,,,
173,1985,11.0,"0.041,271.36,","11.58,","51.04,",31.31,,,,,,,,,,,,,,,,
174,1985,12.0,"0.054,274.46,","11.97,","50.36,",31.17,,,,,,,,,,,,,,,,
175,1985,13.0,"0.075,278.90,","15.53,","44.60,",30.06,,,,,,,,,,,,,,,,
176,1985,14.0,"0.103,282.94,","20.08,","38.55,",29.31,,,,,,,,,,,,,,,,
177,1985,15.0,"0.136,286.31,","23.98,","36.46,",30.22,,,,,,,,,,,,,,,,
178,1985,16.0,"0.174,289.16,","27.38,","36.39,",31.88,,,,,,,,,,,,,,,,
179,1985,17.0,"0.215,291.53,","32.14,","36.99,",34.56,,,,,,,,,,,,,,,,
180,1985,18.0,"0.257,292.75,","36.02,","45.14,",40.58,,,,,,,,,,,,,,,,
181,1985,19.0,"0.300,294.09,","38.39,","48.92,",43.65,,,,,,,,,,,,,,,,
182,1985,20.0,"0.333,294.89,","36.91,","51.42,",44.17,,,,,,,,,,,,,,,,
183,1985,21.0,"0.361,294.82,","35.67,","59.23,",47.45,,,,,,,,,,,,,,,,
184,1985,22.0,"0.384,294.63,","34.83,","64.86,",49.84,,,,,,,,,,,,,,,,
185,1985,23.0,"0.396,294.06,","32.91,","72.66,",52.78,,,,,,,,,,,,,,,,
186,1985,24.0,"0.400,293.32,","30.98,","82.51,",56.75,,,,,,,,,,,,,,,,
187,1985,25.0,"0.406,293.21,","33.26,","86.58,",59.92,,,,,,,,,,,,,,,,
188,1985,26.0,"0.406,293.28,","33.95,","87.78,",60.87,,,,,,,,,,,,,,,,
189,1985,27.0,"0.404,293.46,","35.07,","89.18,",62.12,,,,,,,,,,,,,,,,
190,1985,28.0,"0.400,293.79,","38.00,","88.60,",63.3,,,,,,,,,,,,,,,,
191,1985,29.0,"0.398,294.36,","42.32,","85.00,",63.66,,,,,,,,,,,,,,,,
192,1985,30.0,"0.394,294.94,","46.43,","80.15,",63.29,,,,,,,,,,,,,,,,
193,1985,31.0,"0.388,295.79,","47.81,","70.85,",59.33,,,,,,,,,,,,,,,,
194,1985,32.0,"0.381,296.36,","48.81,","61.72,",55.27,,,,,,,,,,,,,,,,
195,1985,33.0,"0.369,296.62,","49.10,","53.00,",51.05,,,,,,,,,,,,,,,,
196,1985,34.0,"0.352,296.46,","46.48,","45.92,",46.2,,,,,,,,,,,,,,,,
197,1985,35.0,"0.331,295.84,","44.69,","39.58,",42.14,,,,,,,,,,,,,,,,
198,1985,36.0,"0.306,294.38,","42.38,","39.98,",41.18,,,,,,,,,,,,,,,,
199,1985,37.0,"0.281,292.60,","40.93,","43.75,",42.34,,,,,,,,,,,,,,,,
200,1985,38.0,"0.258,291.00,","39.30,","44.76,",42.03,,,,,,,,,,,,,,,,
201,1985,39.0,"0.237,289.18,","36.62,","46.29,",41.46,,,,,,,,,,,,,,,,
202,1985,40.0,"0.211,286.81,","31.80,","51.15,",41.48,,,,,,,,,,,,,,,,
203,1985,41.0,"0.191,284.25,","32.38,","53.12,",42.75,,,,,,,,,,,,,,,,
204,1985,42.0,"0.171,282.06,","34.96,","47.74,",41.35,,,,,,,,,,,,,,,,
205,1985,43.0,"0.152,279.78,","37.99,","45.09,",41.54,,,,,,,,,,,,,,,,
206,1985,44.0,"0.133,276.76,","39.66,","42.09,",40.87,,,,,,,,,,,,,,,,
207,1985,45.0,"0.111,273.36,","36.02,","43.08,",39.55,,,,,,,,,,,,,,,,
208,1985,46.0,"0.083,269.39,","27.39,","49.97,",38.68,,,,,,,,,,,,,,,,
209,1985,47.0,"0.060,265.69,","18.17,","56.99,",37.58,,,,,,,,,,,,,,,,
210,1985,48.0,"0.046,261.19,","14.02,","69.91,",41.96,,,,,,,,,,,,,,,,
211,1985,49.0,"0.040,256.05,","12.65,","83.54,",48.09,,,,,,,,,,,,,,,,
212,1985,50.0,"0.034,251.84,","11.85,","90.69,",51.27,,,,,,,,,,,,,,,,
213,1985,51.0,"0.030,248.87,","12.92,","92.19,",52.56,,,,,,,,,,,,,,,,
214,1985,52.0,"0.027,246.59,","13.20,","92.34,",52.77,,,,,,,,,,,,,,,,
215,1986,1.0,"0.026,244.98,","14.39,","92.72,",53.55,,,,,,,,,,,,,,,,
216,1986,2.0,"0.026,245.66,","16.71,","90.50,",53.61,,,,,,,,,,,,,,,,
217,1986,3.0,"0.026,248.73,","18.47,","81.96,",50.22,,,,,,,,,,,,,,,,
218,1986,4.0,"0.025,251.50,","18.43,","73.79,",46.11,,,,,,,,,,,,,,,,
219,1986,5.0,"0.024,252.43,","17.12,","72.73,",44.93,,,,,,,,,,,,,,,,
220,1986,6.0,"0.023,254.06,","15.36,","71.97,",43.67,,,,,,,,,,,,,,,,
221,1986,7.0,"0.021,257.03,","12.27,","67.82,",40.04,,,,,,,,,,,,,,,,
222,1986,8.0,"0.021,259.75,","10.89,","65.31,",38.1,,,,,,,,,,,,,,,,
223,1986,9.0,"0.023,262.16,","11.04,","65.38,",38.21,,,,,,,,,,,,,,,,
224,1986,10.0,"0.027,264.90,","8.91,","66.51,",37.71,,,,,,,,,,,,,,,,
225,1986,11.0,"0.038,269.62,","9.83,","57.76,",33.8,,,,,,,,,,,,,,,,
226,1986,12.0,"0.055,275.12,","12.49,","47.59,",30.04,,,,,,,,,,,,,,,,
227,1986,13.0,"0.079,280.22,","17.52,","38.82,",28.17,,,,,,,,,,,,,,,,
228,1986,14.0,"0.110,283.99,","23.27,","33.23,",28.25,,,,,,,,,,,,,,,,
229,1986,15.0,"0.145,287.82,","27.86,","26.99,",27.43,,,,,,,,,,,,,,,,
230,1986,16.0,"0.181,290.99,","30.33,","22.64,",26.48,,,,,,,,,,,,,,,,
231,1986,17.0,"0.225,293.24,","36.10,","21.90,",29.0,,,,,,,,,,,,,,,,
232,1986,18.0,"0.276,295.01,","43.97,","22.87,",33.42,,,,,,,,,,,,,,,,
233,1986,19.0,"0.317,296.65,","45.98,","22.29,",34.14,,,,,,,,,,,,,,,,
234,1986,20.0,"0.353,298.23,","46.83,","17.72,",32.28,,,,,,,,,,,,,,,,
235,1986,21.0,"0.382,298.95,","47.09,","18.29,",32.69,,,,,,,,,,,,,,,,
236,1986,22.0,"0.404,299.28,","46.59,","20.63,",33.61,,,,,,,,,,,,,,,,
237,1986,23.0,"0.411,299.29,","41.54,","23.85,",32.7,,,,,,,,,,,,,,,,
238,1986,24.0,"0.411,299.13,","37.28,","28.26,",32.77,,,,,,,,,,,,,,,,
239,1986,25.0,"0.410,299.11,","35.87,","29.45,",32.66,,,,,,,,,,,,,,,,
240,1986,26.0,"0.400,298.77,","30.56,","32.96,",31.76,,,,,,,,,,,,,,,,
241,1986,27.0,"0.390,298.40,","26.88,","37.96,",32.42,,,,,,,,,,,,,,,,
242,1986,28.0,"0.379,298.31,","26.21,","40.62,",33.41,,,,,,,,,,,,,,,,
243,1986,29.0,"0.371,298.70,","27.89,","38.58,",33.23,,,,,,,,,,,,,,,,
244,1986,30.0,"0.367,299.34,","32.59,","34.03,",33.31,,,,,,,,,,,,,,,,
245,1986,31.0,"0.360,299.75,","33.33,","29.90,",31.61,,,,,,,,,,,,,,,,
246,1986,32.0,"0.348,299.42,","31.40,","30.05,",30.72,,,,,,,,,,,,,,,,
247,1986,33.0,"0.338,299.09,","31.65,","26.71,",29.18,,,,,,,,,,,,,,,,
248,1986,34.0,"0.323,298.29,","30.17,","25.68,",27.92,,,,,,,,,,,,,,,,
249,1986,35.0,"0.306,297.42,","30.30,","21.80,",26.05,,,,,,,,,,,,,,,,
250,1986,36.0,"0.284,295.84,","29.57,","23.00,",26.29,,,,,,,,,,,,,,,,
251,1986,37.0,"0.266,293.74,","31.87,","30.01,",30.94,,,,,,,,,,,,,,,,
252,1986,38.0,"0.250,291.71,","33.24,","36.10,",34.67,,,,,,,,,,,,,,,,
253,1986,39.0,"0.230,289.72,","31.76,","39.52,",35.64,,,,,,,,,,,,,,,,
254,1986,40.0,"0.207,287.24,","28.20,","45.69,",36.94,,,,,,,,,,,,,,,,
255,1986,41.0,"0.180,284.69,","25.02,","47.51,",36.27,,,,,,,,,,,,,,,,
256,1986,42.0,"0.151,282.54,","22.06,","42.05,",32.05,,,,,,,,,,,,,,,,
257,1986,43.0,"0.120,279.46,","17.86,","47.79,",32.83,,,,,,,,,,,,,,,,
258,1986,44.0,"0.091,275.43,","12.52,","52.30,",32.41,,,,,,,,,,,,,,,,
259,1986,45.0,"0.070,271.92,","7.98,","52.05,",30.02,,,,,,,,,,,,,,,,
260,1986,46.0,"0.055,269.37,","6.01,","49.61,",27.81,,,,,,,,,,,,,,,,
261,1986,47.0,"0.046,267.24,","6.48,","48.67,",27.58,,,,,,,,,,,,,,,,
262,1986,48.0,"0.039,265.06,","7.24,","51.48,",29.36,,,,,,,,,,,,,,,,
263,1986,49.0,"0.034,262.20,","6.70,","57.12,",31.91,,,,,,,,,,,,,,,,
264,1986,50.0,"0.032,258.85,","8.96,","62.97,",35.96,,,,,,,,,,,,,,,,
265,1986,51.0,"0.031,255.70,","13.45,","66.77,",40.11,,,,,,,,,,,,,,,,
266,1986,52.0,"0.031,253.61,","16.91,","68.03,",42.47,,,,,,,,,,,,,,,,
267,1987,1.0,"0.030,251.40,","18.27,","71.45,",44.86,,,,,,,,,,,,,,,,
268,1987,2.0,"0.029,250.59,","18.99,","74.33,",46.66,,,,,,,,,,,,,,,,
269,1987,3.0,"0.029,250.69,","20.59,","75.78,",48.18,,,,,,,,,,,,,,,,
270,1987,4.0,"0.026,251.33,","18.86,","74.97,",46.91,,,,,,,,,,,,,,,,
271,1987,5.0,"0.023,251.89,","15.76,","75.01,",45.38,,,,,,,,,,,,,,,,
272,1987,6.0,"0.021,252.89,","14.05,","76.22,",45.14,,,,,,,,,,,,,,,,
273,1987,7.0,"0.021,254.68,","11.91,","75.93,",43.92,,,,,,,,,,,,,,,,
274,1987,8.0,"0.022,256.24,","11.52,","77.54,",44.53,,,,,,,,,,,,,,,,
275,1987,9.0,"0.023,257.88,","10.86,","80.44,",45.65,,,,,,,,,,,,,,,,
276,1987,10.0,"0.024,258.98,","7.22,","88.02,",47.62,,,,,,,,,,,,,,,,
277,1987,11.0,"0.028,260.84,","4.57,","91.51,",48.04,,,,,,,,,,,,,,,,
278,1987,12.0,"0.035,263.82,","2.54,","91.96,",47.25,,,,,,,,,,,,,,,,
