,Mean,data,for,UKR,Province=,9:,"Kherson,",from,1981,to,2017<br>The,data.1,below,were,extracted,from.1,weekly,files,like:,"../AVHRR_VHP/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_198135.txt<br><tt><pre>year,week,,","provinceID,","SMN,SMT,VCI,TCI,VHI"
68,1982,51.0,"0.044,262.81,","14.80,","55.39,",35.09,,,,,,,,,,,,,,,,
69,1982,52.0,"0.045,261.67,","16.63,","55.08,",35.86,,,,,,,,,,,,,,,,
70,1983,1.0,"0.044,261.47,","17.88,","54.41,",36.15,,,,,,,,,,,,,,,,
71,1983,2.0,"0.043,261.65,","19.03,","52.54,",35.79,,,,,,,,,,,,,,,,
72,1983,3.0,"0.044,262.56,","21.11,","49.09,",35.1,,,,,,,,,,,,,,,,
73,1983,4.0,"0.046,263.61,","22.59,","47.07,",34.83,,,,,,,,,,,,,,,,
74,1983,5.0,"0.048,265.64,","23.87,","42.38,",33.13,,,,,,,,,,,,,,,,
75,1983,6.0,"0.048,266.94,","22.47,","43.35,",32.91,,,,,,,,,,,,,,,,
76,1983,7.0,"0.052,268.34,","22.22,","45.81,",34.01,,,,,,,,,,,,,,,,
77,1983,8.0,"0.059,269.86,","23.43,","47.94,",35.69,,,,,,,,,,,,,,,,
78,1983,9.0,"0.066,272.13,","24.11,","48.59,",36.35,,,,,,,,,,,,,,,,
79,1983,10.0,"0.079,275.54,","26.09,","44.97,",35.53,,,,,,,,,,,,,,,,
80,1983,11.0,"0.097,280.30,","30.31,","34.20,",32.26,,,,,,,,,,,,,,,,
81,1983,12.0,"0.116,284.37,","34.63,","26.23,",30.43,,,,,,,,,,,,,,,,
82,1983,13.0,"0.141,287.94,","40.09,","20.84,",30.47,,,,,,,,,,,,,,,,
83,1983,14.0,"0.164,290.08,","43.42,","21.82,",32.62,,,,,,,,,,,,,,,,
84,1983,15.0,"0.186,291.64,","45.30,","25.68,",35.49,,,,,,,,,,,,,,,,
85,1983,16.0,"0.205,293.01,","44.24,","31.34,",37.79,,,,,,,,,,,,,,,,
86,1983,17.0,"0.223,294.48,","41.98,","38.97,",40.47,,,,,,,,,,,,,,,,
87,1983,18.0,"0.244,296.08,","40.54,","41.26,",40.9,,,,,,,,,,,,,,,,
88,1983,19.0,"0.258,297.05,","36.23,","49.96,",43.09,,,,,,,,,,,,,,,,
89,1983,20.0,"0.265,297.74,","30.48,","56.45,",43.47,,,,,,,,,,,,,,,,
90,1983,21.0,"0.268,298.46,","26.89,","58.57,",42.73,,,,,,,,,,,,,,,,
91,1983,22.0,"0.264,298.81,","22.60,","61.60,",42.1,,,,,,,,,,,,,,,,
92,1983,23.0,"0.258,298.80,","21.31,","65.38,",43.34,,,,,,,,,,,,,,,,
93,1983,24.0,"0.250,298.78,","20.33,","70.12,",45.22,,,,,,,,,,,,,,,,
94,1983,25.0,"0.247,299.28,","21.44,","72.42,",46.93,,,,,,,,,,,,,,,,
95,1983,26.0,"0.246,299.55,","24.49,","74.99,",49.74,,,,,,,,,,,,,,,,
96,1983,27.0,"0.244,299.70,","26.71,","76.67,",51.69,,,,,,,,,,,,,,,,
97,1983,28.0,"0.237,299.40,","27.41,","78.98,",53.19,,,,,,,,,,,,,,,,
98,1983,29.0,"0.233,299.04,","29.01,","82.46,",55.73,,,,,,,,,,,,,,,,
99,1983,30.0,"0.232,298.50,","32.19,","85.65,",58.92,,,,,,,,,,,,,,,,
100,1983,31.0,"0.240,298.15,","39.80,","86.44,",63.12,,,,,,,,,,,,,,,,
101,1983,32.0,"0.249,298.30,","48.49,","83.19,",65.84,,,,,,,,,,,,,,,,
102,1983,33.0,"0.257,298.57,","55.60,","78.88,",67.24,,,,,,,,,,,,,,,,
103,1983,34.0,"0.260,298.67,","60.05,","74.90,",67.47,,,,,,,,,,,,,,,,
104,1983,35.0,"0.258,298.97,","62.03,","64.75,",63.39,,,,,,,,,,,,,,,,
105,1983,36.0,"0.243,298.12,","58.68,","57.46,",58.07,,,,,,,,,,,,,,,,
106,1983,37.0,"0.226,297.49,","54.08,","47.19,",50.63,,,,,,,,,,,,,,,,
107,1983,38.0,"0.209,296.51,","50.56,","40.46,",45.51,,,,,,,,,,,,,,,,
108,1983,39.0,"0.190,294.45,","46.02,","42.64,",44.33,,,,,,,,,,,,,,,,
109,1983,40.0,"0.174,292.46,","42.19,","40.36,",41.28,,,,,,,,,,,,,,,,
110,1983,41.0,"0.157,289.81,","37.62,","40.91,",39.27,,,,,,,,,,,,,,,,
111,1983,42.0,"0.142,287.06,","34.74,","40.01,",37.38,,,,,,,,,,,,,,,,
112,1983,43.0,"0.127,283.87,","32.44,","44.22,",38.33,,,,,,,,,,,,,,,,
113,1983,44.0,"0.112,280.44,","29.56,","44.76,",37.16,,,,,,,,,,,,,,,,
114,1983,45.0,"0.103,277.86,","29.20,","43.76,",36.48,,,,,,,,,,,,,,,,
115,1983,46.0,"0.096,274.85,","29.29,","47.78,",38.54,,,,,,,,,,,,,,,,
116,1983,47.0,"0.089,272.06,","28.90,","51.88,",40.39,,,,,,,,,,,,,,,,
117,1983,48.0,"0.082,270.36,","29.25,","49.12,",39.19,,,,,,,,,,,,,,,,
118,1983,49.0,"0.071,268.05,","26.40,","49.52,",37.96,,,,,,,,,,,,,,,,
119,1983,50.0,"0.062,265.98,","23.87,","49.83,",36.85,,,,,,,,,,,,,,,,
120,1983,51.0,"0.054,264.02,","21.30,","50.55,",35.92,,,,,,,,,,,,,,,,
121,1983,52.0,"0.048,261.98,","19.02,","53.83,",36.42,,,,,,,,,,,,,,,,
122,1984,1.0,"0.046,261.08,","19.79,","55.76,",37.78,,,,,,,,,,,,,,,,
123,1984,2.0,"0.043,259.34,","19.74,","60.87,",40.31,,,,,,,,,,,,,,,,
124,1984,3.0,"0.041,257.94,","19.80,","64.93,",42.37,,,,,,,,,,,,,,,,
125,1984,4.0,"0.039,257.22,","18.29,","67.89,",43.09,,,,,,,,,,,,,,,,
126,1984,5.0,"0.035,256.79,","15.30,","71.12,",43.21,,,,,,,,,,,,,,,,
127,1984,6.0,"0.035,257.23,","14.34,","76.01,",45.17,,,,,,,,,,,,,,,,
128,1984,7.0,"0.037,257.74,","13.33,","82.65,",47.99,,,,,,,,,,,,,,,,
129,1984,8.0,"0.040,258.93,","13.06,","86.93,",50.0,,,,,,,,,,,,,,,,
130,1984,9.0,"0.043,261.63,","12.24,","87.70,",49.97,,,,,,,,,,,,,,,,
131,1984,10.0,"0.048,264.67,","11.38,","86.43,",48.9,,,,,,,,,,,,,,,,
132,1984,11.0,"0.061,269.34,","14.67,","79.98,",47.32,,,,,,,,,,,,,,,,
133,1984,12.0,"0.081,275.00,","19.72,","69.57,",44.64,,,,,,,,,,,,,,,,
134,1984,13.0,"0.105,280.21,","25.43,","59.24,",42.33,,,,,,,,,,,,,,,,
135,1984,14.0,"0.135,284.34,","31.41,","53.08,",42.24,,,,,,,,,,,,,,,,
136,1984,15.0,"0.165,287.40,","36.89,","51.90,",44.39,,,,,,,,,,,,,,,,
137,1984,16.0,"0.198,289.79,","40.91,","55.34,",48.13,,,,,,,,,,,,,,,,
138,1984,17.0,"0.233,292.07,","44.95,","61.41,",53.18,,,,,,,,,,,,,,,,
139,1984,18.0,"0.268,293.71,","49.45,","64.93,",57.19,,,,,,,,,,,,,,,,
140,1984,19.0,"0.298,295.42,","52.22,","68.33,",60.28,,,,,,,,,,,,,,,,
141,1984,20.0,"0.318,296.89,","53.59,","67.21,",60.4,,,,,,,,,,,,,,,,
142,1984,21.0,"0.326,297.79,","54.21,","67.07,",60.64,,,,,,,,,,,,,,,,
143,1984,22.0,"0.324,298.46,","51.53,","67.33,",59.43,,,,,,,,,,,,,,,,
144,1984,23.0,"0.314,298.73,","48.53,","68.82,",58.68,,,,,,,,,,,,,,,,
145,1984,24.0,"0.305,299.35,","47.30,","68.46,",57.88,,,,,,,,,,,,,,,,
146,1984,25.0,"0.295,300.29,","44.82,","66.91,",55.86,,,,,,,,,,,,,,,,
147,1984,26.0,"0.279,300.83,","39.96,","66.82,",53.39,,,,,,,,,,,,,,,,
148,1984,27.0,"0.264,301.13,","35.31,","66.89,",51.1,,,,,,,,,,,,,,,,
149,1984,28.0,"0.248,301.35,","31.52,","65.10,",48.31,,,,,,,,,,,,,,,,
150,1984,29.0,"0.235,301.62,","29.14,","63.18,",46.16,,,,,,,,,,,,,,,,
151,1984,30.0,"0.223,301.61,","27.69,","62.02,",44.85,,,,,,,,,,,,,,,,
152,1984,31.0,"0.211,301.17,","25.98,","63.43,",44.71,,,,,,,,,,,,,,,,
153,1984,32.0,"0.203,300.85,","25.94,","63.29,",44.62,,,,,,,,,,,,,,,,
154,1984,33.0,"0.201,300.58,","27.34,","62.88,",45.11,,,,,,,,,,,,,,,,
155,1984,34.0,"0.198,300.19,","28.57,","62.34,",45.45,,,,,,,,,,,,,,,,
156,1984,35.0,"0.194,299.51,","29.22,","60.20,",44.71,,,,,,,,,,,,,,,,
157,1984,36.0,"0.187,298.41,","28.95,","54.90,",41.93,,,,,,,,,,,,,,,,
158,1984,37.0,"0.182,297.80,","29.99,","44.06,",37.02,,,,,,,,,,,,,,,,
159,1984,38.0,"0.170,296.78,","29.13,","37.15,",33.14,,,,,,,,,,,,,,,,
160,1984,39.0,"0.154,294.86,","26.11,","37.07,",31.59,,,,,,,,,,,,,,,,
161,1984,40.0,"0.138,291.90,","22.78,","43.46,",33.12,,,,,,,,,,,,,,,,
162,1984,41.0,"0.126,289.14,","21.74,","43.02,",32.38,,,,,,,,,,,,,,,,
163,1984,42.0,"0.116,286.63,","22.13,","39.43,",30.78,,,,,,,,,,,,,,,,
164,1984,43.0,"0.102,283.50,","20.62,","43.57,",32.09,,,,,,,,,,,,,,,,
165,1984,44.0,"0.087,280.15,","17.64,","43.70,",30.67,,,,,,,,,,,,,,,,
166,1984,45.0,"0.078,277.42,","16.63,","44.14,",30.39,,,,,,,,,,,,,,,,
167,1984,46.0,"0.070,274.92,","16.32,","45.81,",31.07,,,,,,,,,,,,,,,,
168,1984,47.0,"0.067,273.13,","17.16,","45.26,",31.21,,,,,,,,,,,,,,,,
169,1984,48.0,"0.067,272.07,","20.60,","40.22,",30.41,,,,,,,,,,,,,,,,
170,1984,49.0,"0.067,271.97,","23.26,","31.86,",27.56,,,,,,,,,,,,,,,,
171,1985,9.0,"0.032,265.91,","6.75,","69.96,",38.35,,,,,,,,,,,,,,,,
172,1985,10.0,"0.029,266.61,","3.68,","75.03,",39.36,,,,,,,,,,,,,,,,
173,1985,11.0,"0.031,268.86,","2.91,","78.04,",40.47,,,,,,,,,,,,,,,,
174,1985,12.0,"0.038,272.26,","3.36,","77.51,",40.43,,,,,,,,,,,,,,,,
175,1985,13.0,"0.052,276.73,","5.28,","71.30,",38.29,,,,,,,,,,,,,,,,
176,1985,14.0,"0.068,280.94,","7.28,","66.02,",36.65,,,,,,,,,,,,,,,,
177,1985,15.0,"0.089,284.81,","9.61,","63.82,",36.71,,,,,,,,,,,,,,,,
178,1985,16.0,"0.116,288.12,","11.75,","63.74,",37.74,,,,,,,,,,,,,,,,
179,1985,17.0,"0.153,291.26,","15.47,","65.28,",40.38,,,,,,,,,,,,,,,,
180,1985,18.0,"0.186,293.87,","17.58,","61.17,",39.37,,,,,,,,,,,,,,,,
181,1985,19.0,"0.217,296.54,","18.06,","55.54,",36.8,,,,,,,,,,,,,,,,
182,1985,20.0,"0.242,298.28,","19.39,","52.80,",36.1,,,,,,,,,,,,,,,,
183,1985,21.0,"0.264,298.48,","23.37,","59.83,",41.6,,,,,,,,,,,,,,,,
184,1985,22.0,"0.283,298.48,","29.96,","66.22,",48.09,,,,,,,,,,,,,,,,
185,1985,23.0,"0.299,298.64,","39.58,","68.92,",54.25,,,,,,,,,,,,,,,,
186,1985,24.0,"0.312,298.81,","50.13,","72.49,",61.31,,,,,,,,,,,,,,,,
187,1985,25.0,"0.322,299.03,","59.00,","77.01,",68.0,,,,,,,,,,,,,,,,
188,1985,26.0,"0.324,299.02,","62.98,","81.11,",72.05,,,,,,,,,,,,,,,,
189,1985,27.0,"0.323,299.19,","64.59,","81.69,",73.14,,,,,,,,,,,,,,,,
190,1985,28.0,"0.322,299.49,","66.44,","78.74,",72.59,,,,,,,,,,,,,,,,
191,1985,29.0,"0.320,299.95,","68.39,","75.18,",71.78,,,,,,,,,,,,,,,,
192,1985,30.0,"0.317,300.41,","71.02,","70.18,",70.6,,,,,,,,,,,,,,,,
193,1985,31.0,"0.311,300.92,","73.57,","64.19,",68.88,,,,,,,,,,,,,,,,
194,1985,32.0,"0.304,301.25,","75.80,","58.81,",67.31,,,,,,,,,,,,,,,,
195,1985,33.0,"0.295,301.25,","75.68,","55.87,",65.77,,,,,,,,,,,,,,,,
196,1985,34.0,"0.282,300.64,","72.36,","56.38,",64.37,,,,,,,,,,,,,,,,
197,1985,35.0,"0.266,299.51,","67.39,","57.30,",62.34,,,,,,,,,,,,,,,,
198,1985,36.0,"0.245,297.86,","60.96,","57.02,",58.99,,,,,,,,,,,,,,,,
199,1985,37.0,"0.225,295.92,","54.52,","59.42,",56.97,,,,,,,,,,,,,,,,
200,1985,38.0,"0.208,293.98,","50.67,","63.72,",57.2,,,,,,,,,,,,,,,,
201,1985,39.0,"0.188,291.80,","45.60,","67.91,",56.75,,,,,,,,,,,,,,,,
202,1985,40.0,"0.168,289.38,","39.37,","69.60,",54.49,,,,,,,,,,,,,,,,
203,1985,41.0,"0.150,286.86,","34.46,","67.73,",51.09,,,,,,,,,,,,,,,,
204,1985,42.0,"0.132,284.46,","30.27,","61.93,",46.1,,,,,,,,,,,,,,,,
205,1985,43.0,"0.118,282.12,","28.59,","56.66,",42.63,,,,,,,,,,,,,,,,
206,1985,44.0,"0.107,279.43,","27.54,","50.81,",39.18,,,,,,,,,,,,,,,,
207,1985,45.0,"0.094,277.05,","24.85,","47.94,",36.39,,,,,,,,,,,,,,,,
208,1985,46.0,"0.078,275.07,","20.70,","45.82,",33.26,,,,,,,,,,,,,,,,
209,1985,47.0,"0.061,272.41,","14.56,","49.13,",31.85,,,,,,,,,,,,,,,,
210,1985,48.0,"0.048,268.92,","9.91,","55.05,",32.48,,,,,,,,,,,,,,,,
211,1985,49.0,"0.040,265.83,","7.48,","58.68,",33.08,,,,,,,,,,,,,,,,
212,1985,50.0,"0.036,263.42,","7.33,","59.96,",33.65,,,,,,,,,,,,,,,,
213,1985,51.0,"0.036,262.02,","9.08,","58.12,",33.6,,,,,,,,,,,,,,,,
214,1985,52.0,"0.033,260.76,","8.16,","58.26,",33.21,,,,,,,,,,,,,,,,
215,1986,1.0,"0.033,260.34,","10.02,","58.76,",34.39,,,,,,,,,,,,,,,,
216,1986,2.0,"0.035,260.93,","13.23,","55.42,",34.33,,,,,,,,,,,,,,,,
217,1986,3.0,"0.037,262.52,","16.37,","49.58,",32.98,,,,,,,,,,,,,,,,
218,1986,4.0,"0.039,264.00,","17.76,","46.20,",31.98,,,,,,,,,,,,,,,,
219,1986,5.0,"0.039,265.08,","17.62,","44.67,",31.15,,,,,,,,,,,,,,,,
220,1986,6.0,"0.040,266.98,","17.33,","43.49,",30.41,,,,,,,,,,,,,,,,
221,1986,7.0,"0.044,269.43,","17.60,","41.96,",29.78,,,,,,,,,,,,,,,,
222,1986,8.0,"0.048,271.62,","17.12,","41.43,",29.28,,,,,,,,,,,,,,,,
223,1986,9.0,"0.053,273.76,","17.45,","42.23,",29.84,,,,,,,,,,,,,,,,
224,1986,10.0,"0.063,277.16,","18.70,","38.30,",28.5,,,,,,,,,,,,,,,,
225,1986,11.0,"0.082,281.49,","23.96,","28.65,",26.31,,,,,,,,,,,,,,,,
226,1986,12.0,"0.106,286.00,","30.41,","17.95,",24.18,,,,,,,,,,,,,,,,
227,1986,13.0,"0.134,289.91,","36.87,","10.44,",23.66,,,,,,,,,,,,,,,,
228,1986,14.0,"0.164,292.40,","43.18,","8.68,",25.93,,,,,,,,,,,,,,,,
229,1986,15.0,"0.195,294.10,","48.32,","10.05,",29.19,,,,,,,,,,,,,,,,
230,1986,16.0,"0.228,295.46,","52.29,","13.25,",32.77,,,,,,,,,,,,,,,,
231,1986,17.0,"0.262,296.63,","55.85,","19.81,",37.83,,,,,,,,,,,,,,,,
232,1986,18.0,"0.292,297.51,","58.44,","27.65,",43.04,,,,,,,,,,,,,,,,
233,1986,19.0,"0.312,298.38,","58.36,","37.04,",47.7,,,,,,,,,,,,,,,,
234,1986,20.0,"0.326,299.54,","57.70,","40.28,",48.99,,,,,,,,,,,,,,,,
235,1986,21.0,"0.334,300.49,","58.15,","41.65,",49.9,,,,,,,,,,,,,,,,
236,1986,22.0,"0.335,301.12,","58.05,","43.29,",50.67,,,,,,,,,,,,,,,,
237,1986,23.0,"0.326,301.41,","55.05,","45.14,",50.1,,,,,,,,,,,,,,,,
238,1986,24.0,"0.312,301.60,","51.16,","48.32,",49.74,,,,,,,,,,,,,,,,
239,1986,25.0,"0.298,301.97,","46.58,","51.74,",49.16,,,,,,,,,,,,,,,,
240,1986,26.0,"0.287,302.32,","43.41,","53.78,",48.59,,,,,,,,,,,,,,,,
241,1986,27.0,"0.274,302.37,","39.69,","56.57,",48.13,,,,,,,,,,,,,,,,
242,1986,28.0,"0.261,302.41,","37.21,","56.76,",46.98,,,,,,,,,,,,,,,,
243,1986,29.0,"0.253,302.80,","37.01,","54.01,",45.51,,,,,,,,,,,,,,,,
244,1986,30.0,"0.251,303.42,","39.51,","47.94,",43.73,,,,,,,,,,,,,,,,
245,1986,31.0,"0.246,303.87,","41.69,","42.81,",42.25,,,,,,,,,,,,,,,,
246,1986,32.0,"0.240,303.85,","42.93,","40.06,",41.5,,,,,,,,,,,,,,,,
247,1986,33.0,"0.233,303.89,","42.94,","36.47,",39.71,,,,,,,,,,,,,,,,
248,1986,34.0,"0.226,303.62,","42.12,","33.61,",37.86,,,,,,,,,,,,,,,,
249,1986,35.0,"0.213,302.77,","38.61,","31.01,",34.81,,,,,,,,,,,,,,,,
250,1986,36.0,"0.196,301.11,","33.05,","29.59,",31.32,,,,,,,,,,,,,,,,
251,1986,37.0,"0.179,298.96,","27.69,","32.64,",30.16,,,,,,,,,,,,,,,,
252,1986,38.0,"0.163,296.52,","24.20,","39.97,",32.08,,,,,,,,,,,,,,,,
253,1986,39.0,"0.147,293.94,","21.61,","47.80,",34.7,,,,,,,,,,,,,,,,
254,1986,40.0,"0.126,291.21,","16.00,","53.10,",34.55,,,,,,,,,,,,,,,,
255,1986,41.0,"0.104,288.37,","10.08,","54.59,",32.33,,,,,,,,,,,,,,,,
256,1986,42.0,"0.083,285.56,","5.83,","52.84,",29.33,,,,,,,,,,,,,,,,
257,1986,43.0,"0.066,282.04,","3.56,","57.67,",30.61,,,,,,,,,,,,,,,,
258,1986,44.0,"0.054,278.61,","2.97,","56.67,",29.82,,,,,,,,,,,,,,,,
259,1986,45.0,"0.048,276.16,","3.31,","53.78,",28.55,,,,,,,,,,,,,,,,
260,1986,46.0,"0.045,274.05,","4.58,","51.82,",28.2,,,,,,,,,,,,,,,,
261,1986,47.0,"0.043,271.63,","5.97,","53.82,",29.9,,,,,,,,,,,,,,,,
262,1986,48.0,"0.041,269.26,","6.56,","54.19,",30.37,,,,,,,,,,,,,,,,
263,1986,49.0,"0.037,266.35,","6.15,","57.03,",31.59,,,,,,,,,,,,,,,,
264,1986,50.0,"0.036,262.75,","7.12,","63.31,",35.22,,,,,,,,,,,,,,,,
265,1986,51.0,"0.034,259.48,","7.82,","68.19,",38.0,,,,,,,,,,,,,,,,
266,1986,52.0,"0.033,257.01,","8.17,","71.84,",40.0,,,,,,,,,,,,,,,,
267,1987,1.0,"0.030,254.92,","7.88,","77.96,",42.92,,,,,,,,,,,,,,,,
268,1987,2.0,"0.029,253.82,","9.06,","80.86,",44.96,,,,,,,,,,,,,,,,
269,1987,3.0,"0.028,253.49,","10.24,","80.80,",45.52,,,,,,,,,,,,,,,,
270,1987,4.0,"0.025,254.28,","8.44,","78.83,",43.63,,,,,,,,,,,,,,,,
271,1987,5.0,"0.023,255.28,","6.77,","77.59,",42.18,,,,,,,,,,,,,,,,
272,1987,6.0,"0.022,257.69,","5.92,","75.81,",40.86,,,,,,,,,,,,,,,,
273,1987,7.0,"0.022,260.25,","4.24,","75.13,",39.69,,,,,,,,,,,,,,,,
274,1987,8.0,"0.021,261.19,","3.04,","79.87,",41.46,,,,,,,,,,,,,,,,
275,1987,9.0,"0.022,263.03,","1.89,","83.18,",42.54,,,,,,,,,,,,,,,,
276,1987,10.0,"0.024,264.90,","0.90,","85.97,",43.43,,,,,,,,,,,,,,,,
277,1987,11.0,"0.028,266.53,","0.55,","90.80,",45.68,,,,,,,,,,,,,,,,
278,1987,12.0,"0.033,268.83,","0.34,","94.41,",47.38,,,,,,,,,,,,,,,,
